,1 vs. 0
0,0.127
,"[-0.015, 0.27]"
1,-0.162
,"[-0.24, -0.084]"
2,0.053
,"[-0.025, 0.131]"
3,-0.006
,"[-0.055, 0.043]"
4,0.015
,"[-0.067, 0.097]"
5,0.015
,"[-0.048, 0.079]"
6,0.219
,"[0.049, 0.389]"
7,0.271
,"[0.095, 0.448]"
