Treat 0,Treat 1
0.17064563492063498,0.999
0.03149920634920634,0.9822119047619049
0.10371031746031749,0.850277380952381
0.1128742063492064,0.999
0.19510595238095224,0.11562063492063501
0.04197276334776337,0.9842714285714286
0.20469722222222225,0.841713888888889
0.04077619047619049,0.2981484126984127
0.17120440115440116,0.8401138888888892
0.011186904761904766,0.999
0.01955238095238095,0.9913833333333333
0.030130555555555563,0.9420710317460319
0.0867539682539683,0.5789388528138528
0.04663174603174604,0.9886440476190478
0.3980395021645022,0.9902555555555552
0.12396587301587313,0.9973333333333334
0.10211071428571435,0.996375
0.6190518037518037,0.9707095238095241
0.023479761904761906,0.9979166666666667
0.07287460317460318,0.7179499999999999
0.11669285714285721,0.4111990259740262
0.29426911976912007,0.9788440476190476
0.12250479797979798,0.9961333333333333
0.368220815295815,0.4961995310245307
0.10506269841269847,0.986347619047619
0.22357316017316015,0.7944753968253966
0.11920952380952383,0.929455555555556
0.010144047619047619,0.8424546176046178
0.5768801587301586,0.8933563492063497
0.03791984126984127,0.9895916666666666
0.4789047619047617,0.44849259351759335
0.08302741702741709,0.9404762987012987
0.21766085858585874,0.9916952380952381
0.07126666666666673,0.9662333333333334
0.33508055555555544,0.5354322871572873
0.37852741702741705,0.9742095238095239
0.10637142857142853,0.8317591269841272
0.1706361111111111,0.6531472943722939
0.10859920634920633,1.0
0.08162976190476184,0.40263769841269814
0.030567857142857136,0.9943571428571429
0.0030666666666666646,0.9968333333333335
0.044748412698412676,0.8641039682539686
0.06191558441558441,0.9278967532467532
0.11580898268398271,0.8459678571428573
0.07496785714285718,0.38358650793650817
0.11918055555555557,0.9968333333333335
0.1271043650793652,0.8088531746031746
0.28233784271284273,0.9995
0.24096525974025962,0.69661626984127
0.5760760073260071,0.9870000000000001
0.25254397546897567,0.9874119047619044
0.4319828643578645,0.9977833333333334
0.024559523809523816,0.9207749999999998
0.26508556998557015,0.9940333333333334
0.2149285714285715,0.7914234126984127
0.02424761904761905,0.9461896825396824
0.2183161255411254,0.6366704906204906
0.20402763347763345,0.7442857503607501
0.028677777777777774,1.0
0.10810873015873011,0.9990714285714286
0.17875324675324678,0.983309523809524
0.02507222222222222,0.9947341269841267
0.32874920634920635,1.0
0.05143531746031747,0.8505491702741704
0.024830158730158734,1.0
0.16427337662337674,0.3402539682539681
0.04319999999999999,1.0
0.01316666666666666,0.9843404761904762
0.10408650793650798,0.8891249999999997
0.16872698412698411,0.9901460317460319
0.0393761904761905,0.99975
0.08119285714285714,0.8192023809523811
0.15241453823953835,0.999
0.021732539682539683,0.6543408730158734
0.27782705627705645,0.9847404761904762
0.1814765873015873,0.3527146825396826
0.09846554834054834,0.7625785714285715
0.569434523809524,1.0
0.0515618326118326,0.9994166666666666
0.25347420634920637,1.0
0.2331298340548342,0.6508514430014429
0.059847619047619045,0.7016920634920635
0.1629178571428572,0.3515269841269845
0.15492817460317462,0.9273595238095238
0.11787777777777772,0.8448492424242424
0.42439206349206376,0.8948126984126982
0.15694813797313784,0.9511904761904763
0.029937301587301585,0.98525
0.07961731601731603,0.8577170634920634
0.5442577200577202,0.9504619047619045
0.08967103174603182,0.7821704184704187
0.19085714285714306,0.9824571428571428
0.06116280663780668,0.7957746031746029
0.1668488455988456,0.6607436507936508
0.11709761904761906,0.9988000000000001
0.02503690476190476,0.45940753968253967
0.14429801587301597,0.6555579725829725
0.1605698412698413,0.7724924603174602
0.027343290043290055,1.0
0.14358452380952388,0.7185480158730158
0.33127348484848496,0.8704452380952381
0.2690103174603175,0.8116924603174605
0.04633730158730159,0.6249773448773445
0.07035476190476192,0.5216007936507938
0.09123650793650794,0.6549884920634921
0.22662626262626276,1.0
0.07018333333333333,0.6301111111111112
0.017313492063492062,0.7605638888888892
0.47758142135642145,0.9913722222222222
0.10210555555555548,0.1524698412698414
0.05096825396825397,0.44773373015873014
0.051048015873015884,0.99305
0.34104323454323415,0.4689964285714288
0.4114369047619048,0.9528833333333334
0.22535129870129844,0.7536295454545454
0.017157142857142847,0.8260930375180378
0.03193809523809525,0.7948334415584417
0.3515089466089467,0.8086194444444446
0.1324047619047619,0.5367626984126987
0.06299642857142858,0.748543253968254
0.02659880952380952,0.3305940836940834
0.1732861111111112,0.9657207431457432
0.12033849206349201,0.8648337301587302
0.34420147907647897,0.6294047619047621
0.04550714285714285,0.5266416666666667
0.08483888888888892,0.43535191197691164
0.12838809523809533,0.8191087301587304
0.16936865079365085,0.8027662698412698
0.7258547619047622,0.9721238095238096
0.06003928571428576,0.8897468253968251
0.03240674603174603,0.9960833333333333
0.010182539682539687,0.11987380952380955
0.04482261904761905,0.6202575396825399
0.3695551587301587,0.9164535714285715
0.03211071428571429,0.4610131451881451
0.07739166666666669,0.9865285714285714
0.31332658730158747,0.7775174603174605
0.027509523809523817,0.5219488095238094
0.3309484126984128,0.9438166666666667
0.4895670634920634,0.28505674603174624
0.06850833333333335,0.9792833333333331
0.22328928571428583,0.9969166666666667
0.02678333333333332,0.9255380952380955
0.1875047619047618,0.9881555555555556
0.15353809523809514,0.9434000000000001
0.09734401154401157,0.9948999999999997
0.23790945165945185,0.7453063492063494
0.05860690975690976,0.7977488095238092
0.2054833333333333,0.8258809523809526
0.02572063492063493,0.9555166666666663
0.12274007936507943,1.0
0.28998459595959597,0.9519567460317461
0.14006230158730162,0.9981666666666666
0.16277777777777783,0.785819047619048
0.13520992063492068,0.9911
0.6096813131313134,0.4567063492063493
0.24228809523809522,0.6635155122655128
0.10762936507936517,0.07939761904761908
0.3119392857142856,0.8595130952380953
0.06667182539682537,0.5934753968253969
0.1726170995670995,0.9982666666666667
0.1314892857142857,0.5988690476190477
0.31193766788766797,1.0
0.015409523809523809,0.278263888888889
0.1376015873015874,0.8878103174603171
0.005351190476190476,1.0
0.6292694444444447,0.8300126984126986
0.7488293650793654,0.8032250000000003
0.16882301587301596,1.0
0.15579126984126979,0.6477491702741702
0.20963968253968254,0.18091006493506484
0.020778571428571427,0.5202626984126988
0.11217182539682535,0.993875
0.06684047619047617,0.8303450937950941
0.1005317460317461,0.8210960317460315
0.12884967532467528,0.9768083333333334
0.07961948051948056,1.0
0.050957142857142895,0.9599306277056278
0.18085079365079373,0.9991666666666666
0.06806865079365085,0.16324642857142857
