line_Treat 0,line_Treat 1,line_Treat 2,line_Treat 3,bin_Treat 0,bin_Treat 1,bin_Treat 2,bin_Treat 3
0.1415075005132393,1.389060571710433,2.2139944575417534,4.405767333535034,0.01431547619047619,0.0016666666666666666,0.002933333333333331,0.0
0.2986063948967534,1.798104526862226,2.8657488203081285,4.649160481508834,0.10237640692640693,0.04086708238851096,0.031575550964187314,0.009264089079934151
0.5508088166606777,2.177554002574081,3.43046240938079,4.839295301848958,0.19043733766233767,0.08006749811035525,0.0602177685950413,0.018528178159868302
0.8881468852434741,2.4670797204672823,3.7976956458220497,4.968717652429227,0.2784982683982684,0.11926791383219955,0.08885998622589529,0.02779226723980245
1.2518458258741434,2.614915636529532,3.888128396284453,5.032237394578885,0.36655919913419915,0.15846832955404386,0.11750220385674927,0.037056356319736604
1.5424071466067677,2.5929397775938767,3.6814083151058528,5.0272737016721765,0.4546201298701299,0.19766874527588815,0.14614442148760326,0.04632044539967076
1.661228398936551,2.4054006707729383,3.2235939294723575,4.954029035388284,0.5426810606060607,0.23686916099773245,0.17478663911845727,0.0555845344796049
1.5640181894262788,2.0875778240201015,2.610475484861857,4.815475444568537,0.6307419913419914,0.2760695767195767,0.20342885674931124,0.06484862355953906
1.2871714164718016,1.6949549953673564,1.9550229429649537,4.61715447887601,0.7188029220779222,0.315269992441421,0.23207107438016522,0.07411271263947321
0.9260045257980342,1.2874605108891264,1.3540573132917,4.3668094907537665,0.806863852813853,0.3544704081632653,0.2607132920110192,0.08337680171940735
0.5823337570267314,0.9148921738723353,0.8673116607856912,4.073884325913822,0.8949247835497837,0.3936708238851096,0.2893555096418732,0.09264089079934151
0.32012011037038973,0.6082276474419085,0.5137670800629471,3.748933605640815,0.9829857142857144,0.4328712396069539,0.3179977272727272,0.10190497987927566
NaN,0.3782880756562415,0.28145586979160647,3.4029957937654474,NaN,0.4720716553287982,0.3466399449035812,0.1111690689592098
NaN,0.22010980826951101,0.1425959848507113,3.0469805585514838,NaN,0.5112720710506425,0.37528216253443514,0.12043315803914396
NaN,0.11981643367318165,0.06681242471643885,2.6911168885731427,NaN,0.5504724867724868,0.40392438016528914,0.12969724711907812
NaN,0.06101739062923704,0.02895076998271628,2.3444989790005804,NaN,0.5896729024943311,0.4325665977961431,0.13896133619901227
NaN,0.029070407759049864,0.011601548340327986,2.014754534109852,NaN,0.6288733182161754,0.4612088154269971,0.14822542527894642
NaN,0.012957131460705278,0.004299567174341854,1.7078465365033904,NaN,0.6680737339380197,0.4898510330578511,0.15748951435888056
NaN,0.0054028990874826705,0.0014736232759660682,1.4280063955001197,NaN,0.707274149659864,0.5184932506887051,0.1667536034388147
NaN,0.002107682048462271,0.00046709063095082173,1.177785136580877,NaN,0.7464745653817083,0.5471354683195591,0.17601769251874888
NaN,0.0007692076353563454,0.00013692059861072025,0.9582009426791828,NaN,0.7856749811035526,0.575777685950413,0.18528178159868303
NaN,0.00026262878584539537,3.711841060953192e-05,0.7689564177163093,NaN,0.8248753968253969,0.6044199035812671,0.19454587067861717
NaN,NaN,9.305996903019524e-06,0.6086974266159154,NaN,NaN,0.633062121212121,0.20380995975855132
