Treat 0,Treat 1,Treat 2,Treat 3
0.7187124236874236,0.17258690476190483,0.035584126984127,0.0029
0.7128742063492062,0.41380238095238087,0.2617848484848485,0.025760714285714303
0.3242799422799422,0.05498690476190478,0.01130963203463204,0.0
0.43959209956709944,0.04916547619047622,0.20002532467532474,0.028040476190476202
0.8601630591630588,0.32909963924963936,0.061083225108225066,0.00033333333333333343
0.7853039321789319,0.03758513708513709,0.07767380952380952,0.006773484848484848
0.41741515151515174,0.07817023809523814,0.25443623321123326,0.02958492063492062
0.2708500721500723,0.13789642857142878,0.12009920634920636,0.0022833333333333334
0.48176468253968274,0.3245442279942277,0.06145447330447331,0.0023714285714285708
0.7021254689754689,0.1520500360750362,0.014735714285714298,0.0003928571428571429
0.22539960317460322,0.6212690476190476,0.05626428571428567,0.0005000000000000002
0.5286222222222222,0.19864329004328973,0.010206060606060614,0.016835714285714305
0.7045130591630593,0.12411984126984131,0.3677404401154401,0.0009285714285714288
0.6950033549783547,0.027064213564213582,0.19152182539682525,0.004276190476190476
0.5626718253968251,0.07299650072150073,0.024898412698412694,0.001425
0.5997894300144295,0.22169163059163083,0.0677044011544011,0.01010714285714286
0.6129003108003108,0.12346230158730168,0.12577619047619046,0.017076190476190474
0.9351071428571426,0.07623888888888895,0.29924552669552695,0.001976190476190476
0.8227099206349209,0.24746327561327577,0.07111666666666663,0.018878571428571425
0.5725583694083696,0.0869400793650794,0.011908333333333321,0.009916666666666664
0.8095876623376626,0.11237936507936536,0.055072979797979725,0.03478095238095241
0.8255642857142858,0.2884305555555555,0.4612333333333333,0.0
0.5661146825396827,0.199302453102453,0.11744455266955257,0.007133333333333335
0.4503286075036074,0.17231744644244645,0.11497925685425676,0.0
0.3736308802308804,0.07780079365079362,0.13544880952380964,0.0
0.5189508297258294,0.22232738095238092,0.08646944444444449,0.0
0.7568206349206347,0.06473499278499283,0.04592619047619047,0.0029166666666666664
0.5390276917526918,0.0490654761904762,0.20977332112332098,0.007249999999999998
0.6758261904761905,0.13076673881673878,0.10309563492063487,0.001
0.9641666666666668,0.2009230158730158,0.41320346320346313,0.15444411976911981
0.23893556998556964,0.130581746031746,0.0740552308802309,0.0008571428571428571
0.6951746031746032,0.30420674603174586,0.08570432900432899,0.0
0.652568217893218,0.2347979437229437,0.127284126984127,0.0012833333333333332
0.3185904761904761,0.10132619047619044,0.202286111111111,0.011954761904761916
0.4663999999999999,0.18797499999999984,0.0673814213564214,0.0007666666666666667
0.9414305555555552,0.0016666666666666666,0.05752222222222228,0.0
0.11336865079365074,0.050602777777777844,0.035657142857142866,0.0
0.7230976190476194,0.2725960317460317,0.041311147186147174,0.0
0.5579912698412702,0.15178571428571433,0.06143614718614721,0.006879761904761905
0.17150039682539692,0.12797940115440115,0.0522527777777778,0.002846031746031746
0.9262769841269841,0.08381666666666668,0.2146112554112555,0.0007023809523809524
0.22922182539682517,0.210317857142857,0.10535396825396821,0.0008333333333333333
0.4452448412698415,0.28717579365079365,0.042371428571428525,0.006375
0.8147650072150074,0.11127222222222231,0.0378496031746032,0.0
0.6303501443001439,0.3816670995670998,0.03365119047619047,0.00040000000000000024
0.7371963564213564,0.046422619047619046,0.06170674603174599,0.0
0.42577983405483416,0.06311150793650801,0.12947579365079376,0.029244047619047617
0.40137460317460305,0.4950535714285715,0.11933221500721518,0.030275000000000007
0.4179464285714288,0.009555555555555552,0.13977142857142852,0.07472222222222225
0.7455484126984125,0.4368098346098347,0.4762908369408367,0.0338357142857143
0.3532523809523811,0.019271428571428568,0.07192424242424239,0.015594047619047617
0.7321018398268397,0.31140952380952386,0.022622619047619048,0.051897619047619054
