,year,hc,country
235,1975,1.7039167881011963,ALB
236,1976,1.7390090227127075,ALB
237,1977,1.7734824419021606,ALB
238,1978,1.8086391687393188,ALB
239,1979,1.844492793083191,ALB
240,1980,1.8810572624206543,ALB
241,1981,1.9506222009658813,ALB
242,1982,2.0227599143981934,ALB
243,1983,2.097565174102783,ALB
244,1984,2.1751370429992676,ALB
245,1985,2.255577564239502,ALB
246,1986,2.3054399490356445,ALB
247,1987,2.3564047813415527,ALB
248,1988,2.408496141433716,ALB
249,1989,2.4617390632629395,ALB
250,1990,2.5161588191986084,ALB
251,1991,2.515733242034912,ALB
252,1992,2.515307903289795,ALB
253,1993,2.5148825645446777,ALB
254,1994,2.5144572257995605,ALB
255,1995,2.5140318870544434,ALB
256,1996,2.5811893939971924,ALB
257,1997,2.6345043182373047,ALB
258,1998,2.688920259475708,ALB
259,1999,2.744460105895996,ALB
260,2000,2.8011474609375,ALB
261,2001,2.815089702606201,ALB
262,2002,2.8291015625,ALB
263,2003,2.8431832790374756,ALB
264,2004,2.857334852218628,ALB
265,2005,2.8715567588806152,ALB
266,2006,2.8780317306518555,ALB
267,2007,2.884521484375,ALB
268,2008,2.8910255432128906,ALB
269,2009,2.8975446224212646,ALB
270,2010,2.9040780067443848,ALB
271,2011,2.910693407058716,ALB
272,2012,2.917346239089966,ALB
273,2013,2.924036979675293,ALB
274,2014,2.9307658672332764,ALB
275,2015,2.937533378601074,ALB
276,2016,2.9443392753601074,ALB
277,2017,2.9511842727661133,ALB
278,2018,2.958068370819092,ALB
279,2019,2.964992046356201,ALB
280,1950,,ARE
281,1951,,ARE
282,1952,,ARE
283,1953,,ARE
284,1954,,ARE
285,1955,,ARE
286,1956,,ARE
287,1957,,ARE
288,1958,,ARE
289,1959,,ARE
290,1960,,ARE
291,1961,,ARE
292,1962,,ARE
293,1963,,ARE
294,1964,,ARE
295,1965,,ARE
296,1966,,ARE
297,1967,,ARE
298,1968,,ARE
299,1969,,ARE
300,1970,1.3766510486602783,ARE
301,1971,1.3981539011001587,ARE
302,1972,1.4199926853179932,ARE
303,1973,1.4421725273132324,ARE
304,1974,1.4646987915039062,ARE
305,1975,1.487576961517334,ARE
306,1976,1.5126897096633911,ARE
307,1977,1.5382264852523804,ARE
308,1978,1.5641943216323853,ARE
309,1979,1.5906004905700684,ARE
310,1980,1.6174525022506714,ARE
311,1981,1.6562840938568115,ARE
312,1982,1.6960479021072388,ARE
313,1983,1.7299258708953857,ARE
314,1984,1.7611380815505981,ARE
315,1985,1.7929134368896484,ARE
316,1986,1.8351694345474243,ARE
317,1987,1.8784213066101074,ARE
318,1988,1.9226925373077393,ARE
319,1989,1.9680070877075195,ARE
320,1990,2.014389753341675,ARE
321,1991,2.0747251510620117,ARE
322,1992,2.1368680000305176,ARE
323,1993,2.2008719444274902,ARE
324,1994,2.2667930126190186,ARE
325,1995,2.334688425064087,ARE
326,1996,2.3920247554779053,ARE
327,1997,2.4507689476013184,ARE
328,1998,2.510955810546875,ARE
329,1999,2.568484306335449,ARE
330,2000,2.6107840538024902,ARE
331,2001,2.628685712814331,ARE
332,2002,2.6467106342315674,ARE
333,2003,2.664858818054199,ARE
334,2004,2.683131694793701,ARE
335,2005,2.7015295028686523,ARE
336,2006,2.704702854156494,ARE
337,2007,2.7078795433044434,ARE
338,2008,2.7110602855682373,ARE
339,2009,2.7142443656921387,ARE
340,2010,2.717432737350464,ARE
341,2011,2.7206432819366455,ARE
342,2012,2.7238640785217285,ARE
343,2013,2.727094888687134,ARE
344,2014,2.7303359508514404,ARE
345,2015,2.7335870265960693,ARE
346,2016,2.7368485927581787,ARE
347,2017,2.7401201725006104,ARE
348,2018,2.7434022426605225,ARE
349,2019,2.746694803237915,ARE
350,1950,1.8165029287338257,ARG
351,1951,1.8307689428329468,ARG
352,1952,1.8451471328735352,ARG
353,1953,1.8596382141113281,ARG
354,1954,1.8742430210113525,ARG
355,1955,1.8889626264572144,ARG
356,1956,1.9017683267593384,ARG
357,1957,1.9146610498428345,ARG
358,1958,1.9276410341262817,ARG
359,1959,1.9407092332839966,ARG
360,1960,1.9538657665252686,ARG
361,1961,1.9649277925491333,ARG
362,1962,1.9760525226593018,ARG
363,1963,1.9872403144836426,ARG
364,1964,1.9984914064407349,ARG
365,1965,2.0098061561584473,ARG
366,1966,2.0227134227752686,ARG
367,1967,2.035703420639038,ARG
368,1968,2.048776865005493,ARG
369,1969,2.061934232711792,ARG
370,1970,2.075176239013672,ARG
371,1971,2.096463441848755,ARG
372,1972,2.117969036102295,ARG
373,1973,2.139695167541504,ARG
374,1974,2.161644220352173,ARG
375,1975,2.1838183403015137,ARG
376,1976,2.196906328201294,ARG
377,1977,2.2100729942321777,ARG
378,1978,2.223318338394165,ARG
379,1979,2.236643075942993,ARG
380,1980,2.2500476837158203,ARG
381,1981,2.2831640243530273,ARG
382,1982,2.316767930984497,ARG
383,1983,2.3508665561676025,ARG
384,1984,2.3854668140411377,ARG
385,1985,2.420576333999634,ARG
386,1986,2.4418883323669434,ARG
387,1987,2.463388204574585,ARG
388,1988,2.485077142715454,ARG
389,1989,2.5069570541381836,ARG
390,1990,2.529029607772827,ARG
391,1991,2.552567958831787,ARG
392,1992,2.5709738731384277,ARG
393,1993,2.58705997467041,ARG
394,1994,2.6032464504241943,ARG
395,1995,2.619534492492676,ARG
396,1996,2.627023935317993,ARG
397,1997,2.6345345973968506,ARG
398,1998,2.6420669555664062,ARG
399,1999,2.649620771408081,ARG
400,2000,2.657196044921875,ARG
401,2001,2.6830029487609863,ARG
402,2002,2.709059953689575,ARG
403,2003,2.735370397567749,ARG
404,2004,2.7619361877441406,ARG
405,2005,2.788760185241699,ARG
406,2006,2.7969753742218018,ARG
407,2007,2.8052146434783936,ARG
408,2008,2.8134782314300537,ARG
409,2009,2.8217661380767822,ARG
410,2010,2.830078363418579,ARG
411,2011,2.8585422039031982,ARG
412,2012,2.8872923851013184,ARG
413,2013,2.9163317680358887,ARG
414,2014,2.9456627368927,ARG
415,2015,2.9752891063690186,ARG
416,2016,3.005213499069214,ARG
417,2017,3.0354387760162354,ARG
418,2018,3.0659680366516113,ARG
419,2019,3.09680438041687,ARG
420,1950,,ARM
421,1951,,ARM
422,1952,,ARM
423,1953,,ARM
424,1954,,ARM
425,1955,,ARM
426,1956,,ARM
427,1957,,ARM
428,1958,,ARM
429,1959,,ARM
430,1960,,ARM
431,1961,,ARM
432,1962,,ARM
433,1963,,ARM
434,1964,,ARM
435,1965,,ARM
436,1966,,ARM
437,1967,,ARM
438,1968,,ARM
439,1969,,ARM
440,1970,,ARM
441,1971,,ARM
442,1972,,ARM
443,1973,,ARM
444,1974,,ARM
445,1975,,ARM
446,1976,,ARM
447,1977,,ARM
448,1978,,ARM
449,1979,,ARM
450,1980,,ARM
451,1981,,ARM
452,1982,,ARM
453,1983,,ARM
454,1984,,ARM
455,1985,,ARM
456,1986,,ARM
457,1987,,ARM
458,1988,,ARM
459,1989,,ARM
460,1990,2.948580503463745,ARM
461,1991,2.9629828929901123,ARM
462,1992,2.9774558544158936,ARM
463,1993,2.9919991493225098,ARM
464,1994,3.0066137313842773,ARM
465,1995,3.0212996006011963,ARM
466,1996,3.0366134643554688,ARM
467,1997,3.0520050525665283,ARM
468,1998,3.067474365234375,ARM
469,1999,3.083022356033325,ARM
470,2000,3.098649024963379,ARM
471,2001,3.09845232963562,ARM
472,2002,3.0982556343078613,ARM
473,2003,3.0980591773986816,ARM
474,2004,3.097862482070923,ARM
475,2005,3.097665786743164,ARM
476,2006,3.1003735065460205,ARM
477,2007,3.103083372116089,ARM
478,2008,3.1057956218719482,ARM
479,2009,3.1085102558135986,ARM
480,2010,3.111227512359619,ARM
481,2011,3.1139566898345947,ARM
482,2012,3.1166915893554688,ARM
483,2013,3.119431972503662,ARM
484,2014,3.122178077697754,ARM
485,2015,3.1249301433563232,ARM
486,2016,3.127687692642212,ARM
487,2017,3.130450963973999,ARM
488,2018,3.1332199573516846,ARM
489,2019,3.1359946727752686,ARM
490,1950,,ATG
491,1951,,ATG
492,1952,,ATG
493,1953,,ATG
494,1954,,ATG
495,1955,,ATG
496,1956,,ATG
497,1957,,ATG
498,1958,,ATG
499,1959,,ATG
500,1960,,ATG
501,1961,,ATG
502,1962,,ATG
