,year,hc,country
3200,2000,3.5736892223358154,CZE
3201,2001,3.58205246925354,CZE
3202,2002,3.590435266494751,CZE
3203,2003,3.5988376140594482,CZE
3204,2004,3.607259750366211,CZE
3205,2005,3.61570143699646,CZE
3206,2006,3.6198322772979736,CZE
3207,2007,3.6239678859710693,CZE
3208,2008,3.628108501434326,CZE
3209,2009,3.632253408432007,CZE
3210,2010,3.6364033222198486,CZE
3211,2011,3.640573740005493,CZE
3212,2012,3.644754409790039,CZE
3213,2013,3.648944854736328,CZE
3214,2014,3.6531457901000977,CZE
3215,2015,3.6573569774627686,CZE
3216,2016,3.6615781784057617,CZE
3217,2017,3.6658101081848145,CZE
3218,2018,3.6700518131256104,CZE
3219,2019,3.674304246902466,CZE
3220,1950,2.426997184753418,DEU
3221,1951,2.469304084777832,DEU
3222,1952,2.512348175048828,DEU
3223,1953,2.556143045425415,DEU
3224,1954,2.5873258113861084,DEU
3225,1955,2.617605447769165,DEU
3226,1956,2.6197686195373535,DEU
3227,1957,2.6219334602355957,DEU
3228,1958,2.6241002082824707,DEU
3229,1959,2.6262686252593994,DEU
3230,1960,2.628438949584961,DEU
3231,1961,2.6557140350341797,DEU
3232,1962,2.683272123336792,DEU
3233,1963,2.711116075515747,DEU
3234,1964,2.7392489910125732,DEU
3235,1965,2.767673969268799,DEU
3236,1966,2.796393871307373,DEU
3237,1967,2.825411558151245,DEU
3238,1968,2.8547306060791016,DEU
3239,1969,2.8843538761138916,DEU
3240,1970,2.9142844676971436,DEU
3241,1971,2.9396884441375732,DEU
3242,1972,2.965313673019409,DEU
3243,1973,2.9911625385284424,DEU
3244,1974,3.0172364711761475,DEU
3245,1975,3.0435378551483154,DEU
3246,1976,3.070068359375,DEU
3247,1977,3.096830129623413,DEU
3248,1978,3.1238253116607666,DEU
3249,1979,3.1510558128356934,DEU
3250,1980,3.178523540496826,DEU
3251,1981,3.202843189239502,DEU
3252,1982,3.227349042892456,DEU
3253,1983,3.252042293548584,DEU
3254,1984,3.2769243717193604,DEU
3255,1985,3.3019967079162598,DEU
3256,1986,3.327261209487915,DEU
3257,1987,3.3527188301086426,DEU
3258,1988,3.378371477127075,DEU
3259,1989,3.4042201042175293,DEU
3260,1990,3.4302666187286377,DEU
3261,1991,3.4436352252960205,DEU
3262,1992,3.4570555686950684,DEU
3263,1993,3.4705281257629395,DEU
3264,1994,3.484053373336792,DEU
3265,1995,3.497631549835205,DEU
3266,1996,3.5112621784210205,DEU
3267,1997,3.5249462127685547,DEU
3268,1998,3.5386836528778076,DEU
3269,1999,3.5524744987487793,DEU
3270,2000,3.566318988800049,DEU
3271,2001,3.5749263763427734,DEU
3272,2002,3.58355450630188,DEU
3273,2003,3.592203378677368,DEU
3274,2004,3.6008732318878174,DEU
3275,2005,3.6095640659332275,DEU
3276,2006,3.6182756423950195,DEU
3277,2007,3.6270084381103516,DEU
3278,2008,3.6357622146606445,DEU
3279,2009,3.6445372104644775,DEU
3280,2010,3.6533331871032715,DEU
3281,2011,3.655776262283325,DEU
3282,2012,3.6582205295562744,DEU
3283,2013,3.6606667041778564,DEU
3284,2014,3.663114547729492,DEU
3285,2015,3.6655640602111816,DEU
3286,2016,3.6680150032043457,DEU
3287,2017,3.6704676151275635,DEU
3288,2018,3.672922134399414,DEU
3289,2019,3.67537784576416,DEU
3290,1950,,DJI
3291,1951,,DJI
3292,1952,,DJI
3293,1953,,DJI
3294,1954,,DJI
3295,1955,,DJI
3296,1956,,DJI
3297,1957,,DJI
3298,1958,,DJI
3299,1959,,DJI
3300,1960,,DJI
3301,1961,,DJI
3302,1962,,DJI
3303,1963,,DJI
3304,1964,,DJI
3305,1965,,DJI
3306,1966,,DJI
3307,1967,,DJI
3308,1968,,DJI
3309,1969,,DJI
3310,1970,,DJI
3311,1971,,DJI
3312,1972,,DJI
3313,1973,,DJI
3314,1974,,DJI
3315,1975,,DJI
3316,1976,,DJI
3317,1977,,DJI
3318,1978,,DJI
3319,1979,,DJI
3320,1980,,DJI
3321,1981,,DJI
3322,1982,,DJI
3323,1983,,DJI
3324,1984,,DJI
3325,1985,,DJI
3326,1986,,DJI
3327,1987,,DJI
3328,1988,,DJI
3329,1989,,DJI
3330,1990,,DJI
3331,1991,,DJI
3332,1992,,DJI
3333,1993,,DJI
3334,1994,,DJI
3335,1995,,DJI
3336,1996,,DJI
3337,1997,,DJI
3338,1998,,DJI
3339,1999,,DJI
3340,2000,,DJI
3341,2001,,DJI
3342,2002,,DJI
3343,2003,,DJI
3344,2004,,DJI
3345,2005,,DJI
3346,2006,,DJI
3347,2007,,DJI
3348,2008,,DJI
3349,2009,,DJI
3350,2010,,DJI
3351,2011,,DJI
3352,2012,,DJI
3353,2013,,DJI
3354,2014,,DJI
3355,2015,,DJI
3356,2016,,DJI
3357,2017,,DJI
3358,2018,,DJI
3359,2019,,DJI
3360,1950,,DMA
3361,1951,,DMA
3362,1952,,DMA
3363,1953,,DMA
3364,1954,,DMA
3365,1955,,DMA
3366,1956,,DMA
3367,1957,,DMA
3368,1958,,DMA
3369,1959,,DMA
3370,1960,,DMA
3371,1961,,DMA
3372,1962,,DMA
3373,1963,,DMA
3374,1964,,DMA
3375,1965,,DMA
3376,1966,,DMA
3377,1967,,DMA
3378,1968,,DMA
3379,1969,,DMA
3380,1970,,DMA
3381,1971,,DMA
3382,1972,,DMA
3383,1973,,DMA
3384,1974,,DMA
3385,1975,,DMA
3386,1976,,DMA
3387,1977,,DMA
3388,1978,,DMA
3389,1979,,DMA
3390,1980,,DMA
3391,1981,,DMA
3392,1982,,DMA
3393,1983,,DMA
3394,1984,,DMA
3395,1985,,DMA
3396,1986,,DMA
3397,1987,,DMA
3398,1988,,DMA
3399,1989,,DMA
3400,1990,,DMA
3401,1991,,DMA
3402,1992,,DMA
3403,1993,,DMA
3404,1994,,DMA
3405,1995,,DMA
3406,1996,,DMA
3407,1997,,DMA
3408,1998,,DMA
3409,1999,,DMA
3410,2000,,DMA
3411,2001,,DMA
3412,2002,,DMA
3413,2003,,DMA
3414,2004,,DMA
3415,2005,,DMA
3416,2006,,DMA
3417,2007,,DMA
3418,2008,,DMA
3419,2009,,DMA
3420,2010,,DMA
3421,2011,,DMA
3422,2012,,DMA
3423,2013,,DMA
3424,2014,,DMA
3425,2015,,DMA
3426,2016,,DMA
3427,2017,,DMA
3428,2018,,DMA
3429,2019,,DMA
3430,1950,2.8421761989593506,DNK
3431,1951,2.7610554695129395,DNK
3432,1952,2.6822500228881836,DNK
3433,1953,2.605693817138672,DNK
3434,1954,2.5175304412841797,DNK
3435,1955,2.4115476608276367,DNK
3436,1956,2.4438982009887695,DNK
3437,1957,2.4766829013824463,DNK
3438,1958,2.5099072456359863,DNK
3439,1959,2.5435774326324463,DNK
3440,1960,2.57189679145813,DNK
3441,1961,2.589850664138794,DNK
3442,1962,2.6079299449920654,DNK
3443,1963,2.6261353492736816,DNK
3444,1964,2.644467830657959,DNK
3445,1965,2.662928342819214,DNK
3446,1966,2.6815176010131836,DNK
3447,1967,2.7002367973327637,DNK
3448,1968,2.7190864086151123,DNK
3449,1969,2.738067865371704,DNK
3450,1970,2.7571816444396973,DNK
3451,1971,2.7752223014831543,DNK
3452,1972,2.7933809757232666,DNK
3453,1973,2.8116583824157715,DNK
3454,1974,2.8300554752349854,DNK
3455,1975,2.8485727310180664,DNK
3456,1976,2.86721134185791,DNK
3457,1977,2.885971784591675,DNK
3458,1978,2.904855251312256,DNK
3459,1979,2.9238619804382324,DNK
3460,1980,2.9429931640625,DNK
3461,1981,2.958743095397949,DNK
3462,1982,2.974576950073242,DNK
3463,1983,2.9904956817626953,DNK
3464,1984,3.0064995288848877,DNK
3465,1985,3.0225892066955566,DNK
3466,1986,3.0387649536132812,DNK
3467,1987,3.0550272464752197,DNK
3468,1988,3.071376323699951,DNK
3469,1989,3.087813138961792,DNK
3470,1990,3.1043379306793213,DNK
3471,1991,3.1234817504882812,DNK
3472,1992,3.1427435874938965,DNK
3473,1993,3.1621243953704834,DNK
3474,1994,3.1816246509552,DNK
3475,1995,3.201244831085205,DNK
3476,1996,3.2209866046905518,DNK
3477,1997,3.240849733352661,DNK
3478,1998,3.260835647583008,DNK
3479,1999,3.280944347381592,DNK
3480,2000,3.301177501678467,DNK
3481,2001,3.314718723297119,DNK
3482,2002,3.3283157348632812,DNK
3483,2003,3.341968536376953,DNK
3484,2004,3.3556771278381348,DNK
3485,2005,3.3694419860839844,DNK
3486,2006,3.38326358795166,DNK
3487,2007,3.397141695022583,DNK
3488,2008,3.411076784133911,DNK
3489,2009,3.4250690937042236,DNK
3490,2010,3.4391186237335205,DNK
3491,2011,3.456554889678955,DNK
3492,2012,3.4740793704986572,DNK
3493,2013,3.4916930198669434,DNK
3494,2014,3.5093955993652344,DNK
3495,2015,3.527188301086426,DNK
3496,2016,3.5450711250305176,DNK
3497,2017,3.563044309616089,DNK
3498,2018,3.581108808517456,DNK
3499,2019,3.5992648601531982,DNK
3500,1950,,DOM
3501,1951,1.379530429840088,DOM
3502,1952,1.3797144889831543,DOM
3503,1953,1.3798984289169312,DOM
3504,1954,1.380082368850708,DOM
3505,1955,1.3802664279937744,DOM
3506,1956,1.380366325378418,DOM
3507,1957,1.380466103553772,DOM
3508,1958,1.380565881729126,DOM
3509,1959,1.38066565990448,DOM
3510,1960,1.3807655572891235,DOM
3511,1961,1.3887763023376465,DOM
3512,1962,1.3968335390090942,DOM
3513,1963,1.404937505722046,DOM
3514,1964,1.4130885601043701,DOM
3515,1965,1.4212868213653564,DOM
3516,1966,1.4373712539672852,DOM
3517,1967,1.453637719154358,DOM
3518,1968,1.470088243484497,DOM
3519,1969,1.4867249727249146,DOM
3520,1970,1.5035500526428223,DOM
3521,1971,1.5199965238571167,DOM
3522,1972,1.5366231203079224,DOM
3523,1973,1.5534313917160034,DOM
3524,1974,1.5704236030578613,DOM
3525,1975,1.587601661682129,DOM
3526,1976,1.6098655462265015,DOM
3527,1977,1.632441759109497,DOM
3528,1978,1.65533447265625,DOM
3529,1979,1.6785482168197632,DOM
3530,1980,1.7020875215530396,DOM
3531,1981,1.722701072692871,DOM
3532,1982,1.7417855262756348,DOM
3533,1983,1.7610814571380615,DOM
3534,1984,1.7805911302566528,DOM
3535,1985,1.8003169298171997,DOM
3536,1986,1.8231457471847534,DOM
3537,1987,1.8462638854980469,DOM
3538,1988,1.8696751594543457,DOM
3539,1989,1.8933833837509155,DOM
3540,1990,1.9173922538757324,DOM
3541,1991,1.9422297477722168,DOM
3542,1992,1.9673887491226196,DOM
3543,1993,1.9928739070892334,DOM
3544,1994,2.018688917160034,DOM
3545,1995,2.0448384284973145,DOM
3546,1996,2.067142963409424,DOM
3547,1997,2.0896904468536377,DOM
3548,1998,2.1124842166900635,DOM
3549,1999,2.135526418685913,DOM
3550,2000,2.1588199138641357,DOM
3551,2001,2.175164222717285,DOM
3552,2002,2.1916325092315674,DOM
3553,2003,2.2082252502441406,DOM
3554,2004,2.2249436378479004,DOM
3555,2005,2.241788625717163,DOM
3556,2006,2.2771096229553223,DOM
3557,2007,2.3129873275756836,DOM
3558,2008,2.3494300842285156,DOM
3559,2009,2.386446952819824,DOM
3560,2010,2.4240472316741943,DOM
3561,2011,2.4703102111816406,DOM
3562,2012,2.517455816268921,DOM
3563,2013,2.5636966228485107,DOM
3564,2014,2.59653639793396,DOM
3565,2015,2.6297967433929443,DOM
3566,2016,2.6634833812713623,DOM
3567,2017,2.697601318359375,DOM
3568,2018,2.732156276702881,DOM
3569,2019,2.7671539783477783,DOM
3570,1950,,DZA
3571,1951,,DZA
3572,1952,,DZA
3573,1953,,DZA
3574,1954,,DZA
3575,1955,,DZA
3576,1956,,DZA
3577,1957,,DZA
3578,1958,,DZA
3579,1959,,DZA
3580,1960,1.1372805833816528,DZA
3581,1961,1.1406382322311401,DZA
3582,1962,1.1440057754516602,DZA
3583,1963,1.1473833322525024,DZA
3584,1964,1.1507707834243774,DZA
3585,1965,1.1541682481765747,DZA
3586,1966,1.1575758457183838,DZA
3587,1967,1.1609933376312256,DZA
3588,1968,1.1644210815429688,DZA
3589,1969,1.1678588390350342,DZA
3590,1970,1.1713067293167114,DZA
3591,1971,1.1791808605194092,DZA
3592,1972,1.1871079206466675,DZA
3593,1973,1.1950881481170654,DZA
3594,1974,1.2031221389770508,DZA
3595,1975,1.2112101316452026,DZA
3596,1976,1.2193524837493896,DZA
3597,1977,1.2275495529174805,DZA
3598,1978,1.2358018159866333,DZA
3599,1979,1.2441095113754272,DZA
3600,1980,1.252472996711731,DZA
3601,1981,1.2763621807098389,DZA
3602,1982,1.3007069826126099,DZA
3603,1983,1.3255162239074707,DZA
3604,1984,1.3507986068725586,DZA
3605,1985,1.376563310623169,DZA
3606,1986,1.402819275856018,DZA
3607,1987,1.4295761585235596,DZA
3608,1988,1.4568432569503784,DZA
3609,1989,1.4846305847167969,DZA
3610,1990,1.512947916984558,DZA
3611,1991,1.5515462160110474,DZA
3612,1992,1.591129183769226,DZA
3613,1993,1.631722092628479,DZA
3614,1994,1.6733505725860596,DZA
3615,1995,1.7143430709838867,DZA
3616,1996,1.7472060918807983,DZA
3617,1997,1.7806990146636963,DZA
3618,1998,1.8148339986801147,DZA
3619,1999,1.849623203277588,DZA
3620,2000,1.8850795030593872,DZA
3621,2001,1.9000146389007568,DZA
3622,2002,1.91506826877594,DZA
3623,2003,1.9302409887313843,DZA
3624,2004,1.945534110069275,DZA
3625,2005,1.9609482288360596,DZA
3626,2006,1.9764845371246338,DZA
3627,2007,1.992143988609314,DZA
3628,2008,2.007927417755127,DZA
3629,2009,2.0238358974456787,DZA
3630,2010,2.039870500564575,DZA
3631,2011,2.0755085945129395,DZA
3632,2012,2.111769199371338,DZA
3633,2013,2.1486635208129883,DZA
3634,2014,2.18620228767395,DZA
3635,2015,2.2243967056274414,DZA
3636,2016,2.263258695602417,DZA
3637,2017,2.3027994632720947,DZA
3638,2018,2.3430309295654297,DZA
3639,2019,2.383965492248535,DZA
3640,1950,1.5026816129684448,ECU
3641,1951,1.5152307748794556,ECU
3642,1952,1.527884602546692,ECU
3643,1953,1.5406441688537598,ECU
3644,1954,1.553510308265686,ECU
3645,1955,1.5664838552474976,ECU
3646,1956,1.5855705738067627,ECU
3647,1957,1.6048898696899414,ECU
3648,1958,1.624444603919983,ECU
3649,1959,1.6442375183105469,ECU
3650,1960,1.6642717123031616,ECU
3651,1961,1.6771583557128906,ECU
3652,1962,1.6901447772979736,ECU
3653,1963,1.7032318115234375,ECU
3654,1964,1.7146284580230713,ECU
3655,1965,1.7246259450912476,ECU
3656,1966,1.7346817255020142,ECU
3657,1967,1.7447961568832397,ECU
3658,1968,1.754969596862793,ECU
3659,1969,1.765202283859253,ECU
3660,1970,1.7754945755004883,ECU
3661,1971,1.7943718433380127,ECU
3662,1972,1.8134498596191406,ECU
3663,1973,1.8327306509017944,ECU
3664,1974,1.8522164821624756,ECU
3665,1975,1.8719096183776855,ECU
3666,1976,1.8918119668960571,ECU
3667,1977,1.911926031112671,ECU
3668,1978,1.9322538375854492,ECU
3669,1979,1.9527978897094727,ECU
3670,1980,1.9735602140426636,ECU
3671,1981,1.996592402458191,ECU
3672,1982,2.0198934078216553,ECU
3673,1983,2.043466091156006,ECU
3674,1984,2.0673141479492188,ECU
3675,1985,2.091440439224243,ECU
3676,1986,2.1158483028411865,ECU
3677,1987,2.1405410766601562,ECU
3678,1988,2.1655218601226807,ECU
3679,1989,2.1907942295074463,ECU
3680,1990,2.2163615226745605,ECU
3681,1991,2.239013671875,ECU
3682,1992,2.261897087097168,ECU
3683,1993,2.2850143909454346,ECU
3684,1994,2.30836820602417,ECU
3685,1995,2.331960439682007,ECU
3686,1996,2.3557939529418945,ECU
3687,1997,2.379871129989624,ECU
3688,1998,2.4041941165924072,ECU
3689,1999,2.4287657737731934,ECU
3690,2000,2.4535887241363525,ECU
3691,2001,2.484276533126831,ECU
3692,2002,2.515348196029663,ECU
3693,2003,2.5468084812164307,ECU
3694,2004,2.5725436210632324,ECU
3695,2005,2.5941624641418457,ECU
3696,2006,2.6159629821777344,ECU
3697,2007,2.637946844100952,ECU
3698,2008,2.6601152420043945,ECU
3699,2009,2.6824700832366943,ECU
3700,2010,2.705012559890747,ECU
3701,2011,2.711337089538574,ECU
3702,2012,2.7176766395568848,ECU
3703,2013,2.7240309715270996,ECU
3704,2014,2.7304000854492188,ECU
3705,2015,2.736783981323242,ECU
3706,2016,2.743182897567749,ECU
3707,2017,2.74959659576416,ECU
3708,2018,2.756025552749634,ECU
3709,2019,2.762469530105591,ECU
3710,1950,1.0784038305282593,EGY
3711,1951,1.080399751663208,EGY
3712,1952,1.0823993682861328,EGY
3713,1953,1.0844025611877441,EGY
3714,1954,1.086409568786621,EGY
3715,1955,1.0884202718734741,EGY
3716,1956,1.09310781955719,EGY
3717,1957,1.0978153944015503,EGY
3718,1958,1.1025433540344238,EGY
3719,1959,1.1072916984558105,EGY
3720,1960,1.1120604276657104,EGY
3721,1961,1.1180683374404907,EGY
3722,1962,1.1241086721420288,EGY
3723,1963,1.1301816701889038,EGY
3724,1964,1.1362873315811157,EGY
3725,1965,1.1424261331558228,EGY
3726,1966,1.148598074913025,EGY
3727,1967,1.1548032760620117,EGY
3728,1968,1.1610420942306519,EGY
3729,1969,1.1673146486282349,EGY
3730,1970,1.1736209392547607,EGY
3731,1971,1.1838313341140747,EGY
3732,1972,1.1941306591033936,EGY
3733,1973,1.204519510269165,EGY
3734,1974,1.214998722076416,EGY
3735,1975,1.2255691289901733,EGY
3736,1976,1.2362314462661743,EGY
3737,1977,1.2469865083694458,EGY
3738,1978,1.2578352689743042,EGY
3739,1979,1.2687783241271973,EGY
3740,1980,1.2798166275024414,EGY
3741,1981,1.3155516386032104,EGY
3742,1982,1.3522844314575195,EGY
3743,1983,1.3900429010391235,EGY
3744,1984,1.4288556575775146,EGY
3745,1985,1.468752145767212,EGY
3746,1986,1.5097626447677612,EGY
3747,1987,1.5519182682037354,EGY
3748,1988,1.5952508449554443,EGY
3749,1989,1.6397933959960938,EGY
3750,1990,1.6855796575546265,EGY
3751,1991,1.7169228792190552,EGY
3752,1992,1.7428767681121826,EGY
3753,1993,1.7692228555679321,EGY
3754,1994,1.7959672212600708,EGY
3755,1995,1.8231159448623657,EGY
3756,1996,1.8506749868392944,EGY
3757,1997,1.8786506652832031,EGY
3758,1998,1.9070491790771484,EGY
3759,1999,1.9358770847320557,EGY
3760,2000,1.965140700340271,EGY
3761,2001,2.0011308193206787,EGY
3762,2002,2.0377800464630127,EGY
3763,2003,2.0751004219055176,EGY
3764,2004,2.1131043434143066,EGY
3765,2005,2.1518044471740723,EGY
3766,2006,2.1912131309509277,EGY
3767,2007,2.2313437461853027,EGY
3768,2008,2.2722091674804688,EGY
3769,2009,2.3138229846954346,EGY
3770,2010,2.356199026107788,EGY
3771,2011,2.395590305328369,EGY
3772,2012,2.4356400966644287,EGY
3773,2013,2.4763596057891846,EGY
3774,2014,2.5177597999572754,EGY
3775,2015,2.559852123260498,EGY
3776,2016,2.588629961013794,EGY
3777,2017,2.617687940597534,EGY
3778,2018,2.6470723152160645,EGY
3779,2019,2.676786422729492,EGY
3780,1950,1.871699571609497,ESP
3781,1951,1.871073842048645,ESP
3782,1952,1.870448350906372,ESP
3783,1953,1.8698230981826782,ESP
3784,1954,1.8691980838775635,ESP
3785,1955,1.8685731887817383,ESP
3786,1956,1.8829706907272339,ESP
3787,1957,1.8974791765213013,ESP
3788,1958,1.9120993614196777,ESP
3789,1959,1.9268323183059692,ESP
3790,1960,1.9416786432266235,ESP
3791,1961,1.95259690284729,ESP
3792,1962,1.9635764360427856,ESP
3793,1963,1.9746177196502686,ESP
3794,1964,1.985721230506897,ESP
3795,1965,1.9968870878219604,ESP
3796,1966,2.008115530014038,ESP
3797,1967,2.0194075107574463,ESP
3798,1968,2.0307626724243164,ESP
3799,1969,2.0421817302703857,ESP
3800,1970,2.0536651611328125,ESP
3801,1971,2.068417549133301,ESP
3802,1972,2.08327579498291,ESP
3803,1973,2.098241090774536,ESP
3804,1974,2.113313674926758,ESP
3805,1975,2.1284945011138916,ESP
3806,1976,2.143784523010254,ESP
3807,1977,2.159184217453003,ESP
3808,1978,2.174694538116455,ESP
3809,1979,2.1903164386749268,ESP
3810,1980,2.206050395965576,ESP
3811,1981,2.2275304794311523,ESP
3812,1982,2.2492194175720215,ESP
3813,1983,2.2711195945739746,ESP
3814,1984,2.2932331562042236,ESP
3815,1985,2.3155622482299805,ESP
3816,1986,2.3381083011627197,ESP
3817,1987,2.3608739376068115,ESP
3818,1988,2.383861541748047,ESP
3819,1989,2.4070727825164795,ESP
3820,1990,2.4305100440979004,ESP
3821,1991,2.453719139099121,ESP
3822,1992,2.477149486541748,ESP
3823,1993,2.5008039474487305,ESP
3824,1994,2.524683952331543,ESP
3825,1995,2.5487921237945557,ESP
3826,1996,2.568826913833618,ESP
3827,1997,2.5853164196014404,ESP
3828,1998,2.6019115447998047,ESP
3829,1999,2.6186132431030273,ESP
3830,2000,2.635422468185425,ESP
3831,2001,2.651724100112915,ESP
3832,2002,2.6681265830993652,ESP
3833,2003,2.6846306324005127,ESP
3834,2004,2.7012367248535156,ESP
3835,2005,2.7179458141326904,ESP
3836,2006,2.734758138656616,ESP
3837,2007,2.751674175262451,ESP
3838,2008,2.768695116043091,ESP
3839,2009,2.7858211994171143,ESP
3840,2010,2.803053140640259,ESP
3841,2011,2.822751760482788,ESP
3842,2012,2.842588424682617,ESP
3843,2013,2.8625648021698,ESP
3844,2014,2.882681369781494,ESP
3845,2015,2.902939558029175,ESP
3846,2016,2.92333984375,ESP
3847,2017,2.9438836574554443,ESP
3848,2018,2.964571714401245,ESP
3849,2019,2.985405206680298,ESP
3850,1950,,EST
3851,1951,,EST
3852,1952,,EST
3853,1953,,EST
3854,1954,,EST
3855,1955,,EST
3856,1956,,EST
3857,1957,,EST
3858,1958,,EST
3859,1959,,EST
3860,1960,,EST
3861,1961,,EST
3862,1962,,EST
3863,1963,,EST
3864,1964,,EST
3865,1965,,EST
3866,1966,,EST
3867,1967,,EST
3868,1968,,EST
3869,1969,,EST
3870,1970,,EST
3871,1971,,EST
3872,1972,,EST
3873,1973,,EST
3874,1974,,EST
3875,1975,,EST
3876,1976,,EST
3877,1977,,EST
3878,1978,,EST
3879,1979,,EST
3880,1980,,EST
3881,1981,,EST
3882,1982,,EST
3883,1983,,EST
3884,1984,,EST
3885,1985,,EST
3886,1986,,EST
3887,1987,,EST
3888,1988,,EST
3889,1989,,EST
3890,1990,2.798409938812256,EST
3891,1991,2.8435614109039307,EST
3892,1992,2.88944149017334,EST
3893,1993,2.936061382293701,EST
3894,1994,2.983433961868286,EST
3895,1995,3.0315706729888916,EST
3896,1996,3.083890438079834,EST
3897,1997,3.137112855911255,EST
3898,1998,3.191254138946533,EST
3899,1999,3.2463295459747314,EST
3900,2000,3.3023555278778076,EST
3901,2001,3.31723690032959,EST
3902,2002,3.3321855068206787,EST
3903,2003,3.347201347351074,EST
3904,2004,3.3622848987579346,EST
3905,2005,3.377436399459839,EST
3906,2006,3.396261215209961,EST
3907,2007,3.415191173553467,EST
3908,2008,3.4342265129089355,EST
3909,2009,3.4533679485321045,EST
3910,2010,3.472615957260132,EST
3911,2011,3.4923617839813232,EST
3912,2012,3.5123534202575684,EST
3913,2013,3.5325937271118164,EST
3914,2014,3.5530872344970703,EST
3915,2015,3.5738375186920166,EST
3916,2016,3.594849109649658,EST
3917,2017,3.6161255836486816,EST
3918,2018,3.63767147064209,EST
3919,2019,3.6594910621643066,EST
3920,1950,,ETH
3921,1951,,ETH
3922,1952,,ETH
3923,1953,,ETH
3924,1954,,ETH
3925,1955,,ETH
3926,1956,,ETH
3927,1957,,ETH
3928,1958,,ETH
3929,1959,,ETH
3930,1960,1.015876054763794,ETH
3931,1961,1.01590895652771,ETH
3932,1962,1.015941858291626,ETH
3933,1963,1.015974760055542,ETH
3934,1964,1.0160077810287476,ETH
3935,1965,1.0160406827926636,ETH
3936,1966,1.0160735845565796,ETH
3937,1967,1.0161064863204956,ETH
3938,1968,1.0161395072937012,ETH
3939,1969,1.0161724090576172,ETH
3940,1970,1.0162053108215332,ETH
3941,1971,1.0175585746765137,ETH
3942,1972,1.0189135074615479,ETH
3943,1973,1.0202703475952148,ETH
3944,1974,1.021628975868225,ETH
3945,1975,1.0229893922805786,ETH
3946,1976,1.024351716041565,ETH
3947,1977,1.025715708732605,ETH
3948,1978,1.0270816087722778,ETH
3949,1979,1.028449296951294,ETH
3950,1980,1.0298187732696533,ETH
3951,1981,1.0341700315475464,ETH
3952,1982,1.0385395288467407,ETH
3953,1983,1.042927622795105,ETH
3954,1984,1.0473341941833496,ETH
3955,1985,1.0517593622207642,ETH
3956,1986,1.0562033653259277,ETH
3957,1987,1.0606659650802612,ETH
3958,1988,1.0651475191116333,ETH
3959,1989,1.069648027420044,ETH
3960,1990,1.0741674900054932,ETH
3961,1991,1.0851845741271973,ETH
3962,1992,1.0963146686553955,ETH
3963,1993,1.1075589656829834,ETH
3964,1994,1.118918538093567,ETH
3965,1995,1.1303945779800415,ETH
3966,1996,1.1419883966445923,ETH
3967,1997,1.1537010669708252,ETH
3968,1998,1.1655339002609253,ETH
3969,1999,1.177488088607788,ETH
3970,2000,1.1895649433135986,ETH
3971,2001,1.198455572128296,ETH
3972,2002,1.2074127197265625,ETH
3973,2003,1.2164368629455566,ETH
3974,2004,1.225528359413147,ETH
3975,2005,1.2346878051757812,ETH
3976,2006,1.2439157962799072,ETH
3977,2007,1.2532126903533936,ETH
3978,2008,1.262579083442688,ETH
3979,2009,1.2720154523849487,ETH
3980,2010,1.2815223932266235,ETH
3981,2011,1.299747347831726,ETH
3982,2012,1.3182315826416016,ETH
3983,2013,1.3369786739349365,ETH
3984,2014,1.355992317199707,ETH
3985,2015,1.3752763271331787,ETH
3986,2016,1.3948346376419067,ETH
3987,2017,1.4146710634231567,ETH
3988,2018,1.4347896575927734,ETH
3989,2019,1.455194354057312,ETH
3990,1950,2.1192474365234375,FIN
3991,1951,2.127149820327759,FIN
3992,1952,2.1350815296173096,FIN
3993,1953,2.143043041229248,FIN
3994,1954,2.151034116744995,FIN
3995,1955,2.159054756164551,FIN
3996,1956,2.1667587757110596,FIN
3997,1957,2.174490213394165,FIN
3998,1958,2.1822493076324463,FIN
3999,1959,2.1900360584259033,FIN
4000,1960,2.1978507041931152,FIN
4001,1961,2.21825909614563,FIN
4002,1962,2.2388570308685303,FIN
4003,1963,2.259646415710449,FIN
4004,1964,2.2806286811828613,FIN
4005,1965,2.3018057346343994,FIN
4006,1966,2.3231797218322754,FIN
4007,1967,2.3447518348693848,FIN
4008,1968,2.3665244579315186,FIN
4009,1969,2.3884990215301514,FIN
4010,1970,2.410677909851074,FIN
4011,1971,2.446342706680298,FIN
4012,1972,2.482534885406494,FIN
4013,1973,2.5192627906799316,FIN
4014,1974,2.5565340518951416,FIN
4015,1975,2.5830745697021484,FIN
4016,1976,2.6087419986724854,FIN
4017,1977,2.634664297103882,FIN
4018,1978,2.660844326019287,FIN
4019,1979,2.687284469604492,FIN
4020,1980,2.713987112045288,FIN
4021,1981,2.7376420497894287,FIN
4022,1982,2.761502981185913,FIN
4023,1983,2.7855722904205322,FIN
4024,1984,2.8098509311676025,FIN
4025,1985,2.834341287612915,FIN
4026,1986,2.8590452671051025,FIN
4027,1987,2.8839645385742188,FIN
4028,1988,2.9091010093688965,FIN
4029,1989,2.9344563484191895,FIN
4030,1990,2.9600329399108887,FIN
4031,1991,2.97676420211792,FIN
4032,1992,2.9935903549194336,FIN
4033,1993,3.0105113983154297,FIN
4034,1994,3.0275280475616455,FIN
4035,1995,3.0446407794952393,FIN
