,country,year,gdp_pc_lag1
259,AGO,1990,1360.0
260,AGO,1991,1384.0
261,AGO,1992,1437.1472449740334
262,AGO,1993,1389.3294866999718
263,AGO,1994,1080.480643920332
264,AGO,1995,1120.8481500960654
265,AGO,1996,1319.158949903447
266,AGO,1997,1533.9839313399602
267,AGO,1998,1687.317788312541
268,AGO,1999,1811.1681411006944
269,AGO,2000,1899.415206073724
270,AGO,2001,2013.6362295189435
271,AGO,2002,2162.4850193097
272,AGO,2003,2522.6718607988428
273,AGO,2004,2711.9283105741374
274,AGO,2005,3064.2986504347236
275,AGO,2006,3708.7705819422217
276,AGO,2007,4592.337305661669
277,AGO,2008,5773.548289088469
278,AGO,2009,6743.748195802765
279,AGO,2010,7087.604112584768
280,AGO,2011,7520.665769678626
281,AGO,2012,8016.0
282,AGO,2013,8376.94607723474
283,AGO,2014,8463.941947082867
284,AGO,2015,8548.292822031946
285,AGO,2016,8319.567355048026
286,AGO,2017,7819.147303059392
287,AGO,2018,7535.612410800351
288,AGO,2019,7180.355234634125
289,AGO,2020,6886.954136020846
290,AGO,2021,6279.929084992991
291,AGO,2022,6137.003844650216
312,ARG,1970,11217.0
313,ARG,1971,11639.0
314,ARG,1972,12003.0
315,ARG,1973,12170.0
316,ARG,1974,12691.0
317,ARG,1975,13284.0
318,ARG,1976,12946.0
319,ARG,1977,12696.0
320,ARG,1978,13236.0
321,ARG,1979,12444.0
322,ARG,1980,13114.0
323,ARG,1981,13080.0
324,ARG,1982,12125.0
325,ARG,1983,11550.0
326,ARG,1984,11775.0
327,ARG,1985,11837.0
328,ARG,1986,10895.0
329,ARG,1987,11515.0
330,ARG,1988,11633.0
331,ARG,1989,11244.0
332,ARG,1990,10393.0
333,ARG,1991,10254.0
334,ARG,1992,11223.984636540246
335,ARG,1993,12267.083586781191
336,ARG,1994,12926.794665217649
337,ARG,1995,13571.379431200983
338,ARG,1996,13086.036451554311
339,ARG,1997,13715.22681870774
340,ARG,1998,14722.645940036531
341,ARG,1999,15185.958688486142
342,ARG,2000,14577.832273029322
343,ARG,2001,14368.942737362304
344,ARG,2002,13651.98098793502
345,ARG,2003,12094.7728377935
346,ARG,2004,13088.565010832575
347,ARG,2005,14183.225137777
348,ARG,2006,15344.157134056735
349,ARG,2007,16490.47358157608
350,ARG,2008,17891.943410848908
351,ARG,2009,18520.30408357946
352,ARG,2010,17328.975752420036
353,ARG,2011,18979.99170299205
354,ARG,2012,20003.0
355,ARG,2013,19573.963185451754
356,ARG,2014,19821.64247991229
357,ARG,2015,19112.23290002307
358,ARG,2016,19423.666977703655
359,ARG,2017,18819.642886952533
360,ARG,2018,19150.5204834216
361,ARG,2019,18460.86900858157
362,ARG,2020,17912.635765177303
363,ARG,2021,15975.838772553549
364,ARG,2022,17470.682415187282
385,ARM,1970,
386,ARM,1971,
387,ARM,1972,
388,ARM,1973,
389,ARM,1974,9806.0
390,ARM,1975,
391,ARM,1976,
392,ARM,1977,
393,ARM,1978,
394,ARM,1979,
395,ARM,1980,
396,ARM,1981,9291.0
397,ARM,1982,9548.0
398,ARM,1983,9809.0
399,ARM,1984,9865.0
400,ARM,1985,10181.0
401,ARM,1986,10485.0
402,ARM,1987,10394.0
403,ARM,1988,9789.0
404,ARM,1989,9301.0
405,ARM,1990,10525.0
406,ARM,1991,9669.0
407,ARM,1992,8141.671123568718
408,ARM,1993,4699.61095270265
409,ARM,1994,4130.1472172755
410,ARM,1995,4392.979876584909
411,ARM,1996,4703.130733517876
412,ARM,1997,4811.489547018747
413,ARM,1998,4836.044220565851
414,ARM,1999,4994.053039773923
415,ARM,2000,5000.452449359477
416,ARM,2001,5139.825500062924
417,ARM,2002,5457.510062027403
418,ARM,2003,6082.14618880966
419,ARM,2004,6743.240978250471
420,ARM,2005,7229.648226319801
421,ARM,2006,8006.960425531473
422,ARM,2007,8798.750189147131
423,ARM,2008,9713.21328027296
424,ARM,2009,10080.81283336882
425,ARM,2010,8399.086872960954
426,ARM,2011,8330.81117545937
427,ARM,2012,8465.0
428,ARM,2013,9076.433081469568
429,ARM,2014,9395.086636007349
430,ARM,2015,9745.135587230588
431,ARM,2016,10076.35190972202
432,ARM,2017,10113.050506422302
433,ARM,2018,10894.956738487192
434,ARM,2019,11490.36868672189
435,ARM,2020,12399.231837035535
436,ARM,2021,11546.175309736023
437,ARM,2022,12242.47747221923
458,AUS,1970,18428.0
459,AUS,1971,19166.0
460,AUS,1972,19590.0
461,AUS,1973,19772.0
462,AUS,1974,20527.0
463,AUS,1975,20698.0
464,AUS,1976,20993.0
465,AUS,1977,21613.0
466,AUS,1978,21592.0
467,AUS,1979,21948.0
468,AUS,1980,22826.0
469,AUS,1981,22972.0
470,AUS,1982,23368.0
471,AUS,1983,22972.0
472,AUS,1984,22697.0
473,AUS,1985,24009.0
474,AUS,1986,24927.0
475,AUS,1987,25116.0
476,AUS,1988,25971.0
477,AUS,1989,26702.0
478,AUS,1990,27407.0
479,AUS,1991,27373.0
480,AUS,1992,26861.27495928565
481,AUS,1993,27560.178277338375
482,AUS,1994,28622.475758458215
483,AUS,1995,29844.171324434927
484,AUS,1996,30690.062439852092
485,AUS,1997,31740.469747404717
486,AUS,1998,32857.993780602534
487,AUS,1999,34337.13943209703
488,AUS,2000,35551.01950597368
489,AUS,2001,36603.04499594468
490,AUS,2002,37275.991248909515
491,AUS,2003,38567.06548833767
492,AUS,2004,39523.65519744592
493,AUS,2005,40887.72533639703
494,AUS,2006,41904.44587071131
495,AUS,2007,42650.98593084963
496,AUS,2008,44033.58376177127
497,AUS,2009,44421.64047072811
498,AUS,2010,44686.54138346301
499,AUS,2011,45400.22339879672
500,AUS,2012,46132.0
501,AUS,2013,47045.129467942694
502,AUS,2014,47260.95483154365
503,AUS,2015,47753.84577656612
504,AUS,2016,48145.53099929047
505,AUS,2017,48675.13532835784
506,AUS,2018,49001.900439710065
507,AUS,2019,49614.38597627688
508,AUS,2020,49814.66995597035
509,AUS,2021,48268.94507651192
510,AUS,2022,50704.93485344902
531,AUT,1970,14555.0
532,AUT,1971,15537.0
533,AUT,1972,16259.0
534,AUT,1973,17169.0
535,AUT,1974,17908.0
536,AUT,1975,18583.0
537,AUT,1976,18564.0
538,AUT,1977,19448.0
539,AUT,1978,20350.0
540,AUT,1979,20293.0
