,indicator,year,Gross capital formation (% of GDP),country
0,Gross capital formation (% of GDP),1970,,ABW
1,Gross capital formation (% of GDP),1970,,Africa Eastern and Southern
2,Gross capital formation (% of GDP),1970,,AFG
3,Gross capital formation (% of GDP),1970,,Africa Western and Central
4,Gross capital formation (% of GDP),1970,,AGO
5,Gross capital formation (% of GDP),1970,,ALB
6,Gross capital formation (% of GDP),1970,,AND
7,Gross capital formation (% of GDP),1970,19.5848501204906,Arab World
8,Gross capital formation (% of GDP),1970,,ARE
9,Gross capital formation (% of GDP),1970,24.4400952475051,ARG
10,Gross capital formation (% of GDP),1970,,ARM
11,Gross capital formation (% of GDP),1970,,ASM
12,Gross capital formation (% of GDP),1970,,ATG
13,Gross capital formation (% of GDP),1970,32.9729583265594,AUS
14,Gross capital formation (% of GDP),1970,31.4333409830536,AUT
15,Gross capital formation (% of GDP),1970,,AZE
16,Gross capital formation (% of GDP),1970,4.53079461935769,BDI
17,Gross capital formation (% of GDP),1970,29.6566888191858,BEL
18,Gross capital formation (% of GDP),1970,11.5923801456269,BEN
19,Gross capital formation (% of GDP),1970,10.270033771264,BFA
20,Gross capital formation (% of GDP),1970,11.3446569376759,BGD
21,Gross capital formation (% of GDP),1970,,BGR
22,Gross capital formation (% of GDP),1970,,BHR
23,Gross capital formation (% of GDP),1970,,BHS
24,Gross capital formation (% of GDP),1970,,BIH
25,Gross capital formation (% of GDP),1970,,BLR
26,Gross capital formation (% of GDP),1970,,BLZ
27,Gross capital formation (% of GDP),1970,,BMU
28,Gross capital formation (% of GDP),1970,16.3880152292667,BOL
29,Gross capital formation (% of GDP),1970,20.5420007091554,BRA
30,Gross capital formation (% of GDP),1970,,BRB
31,Gross capital formation (% of GDP),1970,,BRN
32,Gross capital formation (% of GDP),1970,,BTN
33,Gross capital formation (% of GDP),1970,45.3226976069616,BWA
34,Gross capital formation (% of GDP),1970,17.9836725059846,CAF
35,Gross capital formation (% of GDP),1970,22.1242947392729,CAN
36,Gross capital formation (% of GDP),1970,,Central Europe and the Baltics
37,Gross capital formation (% of GDP),1970,40.5072897198929,CHE
38,Gross capital formation (% of GDP),1970,,Channel Islands
39,Gross capital formation (% of GDP),1970,16.9120916809652,CHL
40,Gross capital formation (% of GDP),1970,32.8162153192607,CHN
41,Gross capital formation (% of GDP),1970,22.4956529301408,CIV
42,Gross capital formation (% of GDP),1970,16.0276563140363,CMR
43,Gross capital formation (% of GDP),1970,,COD
44,Gross capital formation (% of GDP),1970,24.2105182894737,COG
45,Gross capital formation (% of GDP),1970,20.2322848879248,COL
46,Gross capital formation (% of GDP),1970,,COM
47,Gross capital formation (% of GDP),1970,,CPV
48,Gross capital formation (% of GDP),1970,20.5364402034314,CRI
49,Gross capital formation (% of GDP),1970,,Caribbean small states
50,Gross capital formation (% of GDP),1970,25.9269410117525,CUB
51,Gross capital formation (% of GDP),1970,,CUW
52,Gross capital formation (% of GDP),1970,,CYM
53,Gross capital formation (% of GDP),1970,,CYP
54,Gross capital formation (% of GDP),1970,,CZE
55,Gross capital formation (% of GDP),1970,33.278578878368,DEU
56,Gross capital formation (% of GDP),1970,,DJI
57,Gross capital formation (% of GDP),1970,,DMA
58,Gross capital formation (% of GDP),1970,26.7461761278856,DNK
59,Gross capital formation (% of GDP),1970,19.1434533826994,DOM
60,Gross capital formation (% of GDP),1970,36.6490688527348,DZA
61,Gross capital formation (% of GDP),1970,31.0740099744239,East Asia & Pacific (
62,Gross capital formation (% of GDP),1970,21.5471444663048,Early-demographic dividend
63,Gross capital formation (% of GDP),1970,36.7799589357921,East Asia & Pacific
64,Gross capital formation (% of GDP),1970,,Europe & Central Asia (
65,Gross capital formation (% of GDP),1970,29.5855946738495,Europe & Central Asia
66,Gross capital formation (% of GDP),1970,16.3593990071063,ECU
67,Gross capital formation (% of GDP),1970,14.6020739630185,EGY
68,Gross capital formation (% of GDP),1970,30.0489614837337,Euro area
69,Gross capital formation (% of GDP),1970,,ERI
70,Gross capital formation (% of GDP),1970,28.3592795052176,ESP
71,Gross capital formation (% of GDP),1970,,EST
72,Gross capital formation (% of GDP),1970,,ETH
73,Gross capital formation (% of GDP),1970,30.1876623869633,European Union
74,Gross capital formation (% of GDP),1970,,Fragile and conflict affected situations
75,Gross capital formation (% of GDP),1970,31.8216799928711,FIN
76,Gross capital formation (% of GDP),1970,,FJI
77,Gross capital formation (% of GDP),1970,28.7562583855433,FRA
78,Gross capital formation (% of GDP),1970,,FRO
79,Gross capital formation (% of GDP),1970,,FSM
80,Gross capital formation (% of GDP),1970,31.9553001217206,GAB
81,Gross capital formation (% of GDP),1970,24.4080218912417,GBR
82,Gross capital formation (% of GDP),1970,,GEO
83,Gross capital formation (% of GDP),1970,14.165559982293,GHA
84,Gross capital formation (% of GDP),1970,,GIB
85,Gross capital formation (% of GDP),1970,,GIN
86,Gross capital formation (% of GDP),1970,6.889857732905,GMB
87,Gross capital formation (% of GDP),1970,29.5728972581679,GNB
88,Gross capital formation (% of GDP),1970,,GNQ
89,Gross capital formation (% of GDP),1970,33.6493817892242,GRC
90,Gross capital formation (% of GDP),1970,,GRD
91,Gross capital formation (% of GDP),1970,,GRL
92,Gross capital formation (% of GDP),1970,12.8256302521008,GTM
93,Gross capital formation (% of GDP),1970,,GUM
94,Gross capital formation (% of GDP),1970,22.7595220313667,GUY
95,Gross capital formation (% of GDP),1970,26.8426300739806,High income
96,Gross capital formation (% of GDP),1970,20.4059551631611,HKG
97,Gross capital formation (% of GDP),1970,20.8852005532503,HND
98,Gross capital formation (% of GDP),1970,,Heavily indebted poor countries (HIPC)
99,Gross capital formation (% of GDP),1970,,HRV
100,Gross capital formation (% of GDP),1970,,HTI
101,Gross capital formation (% of GDP),1970,,HUN
102,Gross capital formation (% of GDP),1970,24.3717071441562,IBRD only
103,Gross capital formation (% of GDP),1970,23.0213293104907,IDA & IBRD total
104,Gross capital formation (% of GDP),1970,,IDA total
105,Gross capital formation (% of GDP),1970,,IDA blend
106,Gross capital formation (% of GDP),1970,13.622754491018,IDN
107,Gross capital formation (% of GDP),1970,,IDA only
108,Gross capital formation (% of GDP),1970,,IMN
109,Gross capital formation (% of GDP),1970,18.2114387329179,IND
110,Gross capital formation (% of GDP),1970,,Not classified
111,Gross capital formation (% of GDP),1970,24.0135413025636,IRL
112,Gross capital formation (% of GDP),1970,40.6364036052024,IRN
113,Gross capital formation (% of GDP),1970,17.3052308217425,IRQ
114,Gross capital formation (% of GDP),1970,27.8077669902913,ISL
115,Gross capital formation (% of GDP),1970,32.5830550422497,ISR
116,Gross capital formation (% of GDP),1970,26.7016664925425,ITA
117,Gross capital formation (% of GDP),1970,31.5393842080458,JAM
118,Gross capital formation (% of GDP),1970,,JOR
119,Gross capital formation (% of GDP),1970,42.583674392608,JPN
120,Gross capital formation (% of GDP),1970,,KAZ
121,Gross capital formation (% of GDP),1970,24.3966751650194,KEN
122,Gross capital formation (% of GDP),1970,,KGZ
123,Gross capital formation (% of GDP),1970,,KHM
124,Gross capital formation (% of GDP),1970,,KIR
125,Gross capital formation (% of GDP),1970,,KNA
126,Gross capital formation (% of GDP),1970,26.3248229993564,KOR
127,Gross capital formation (% of GDP),1970,12.1212121212121,KWT
128,Gross capital formation (% of GDP),1970,21.7618497255628,Latin America & Caribbean (
129,Gross capital formation (% of GDP),1970,,LAO
130,Gross capital formation (% of GDP),1970,,LBN
131,Gross capital formation (% of GDP),1970,,LBR
132,Gross capital formation (% of GDP),1970,,LBY
133,Gross capital formation (% of GDP),1970,,LCA
134,Gross capital formation (% of GDP),1970,22.4766186029186,Latin America & Caribbean
135,Gross capital formation (% of GDP),1970,,Least developed countries: UN classification
136,Gross capital formation (% of GDP),1970,,Low income
137,Gross capital formation (% of GDP),1970,,LIE
138,Gross capital formation (% of GDP),1970,18.9475995316159,LKA
139,Gross capital formation (% of GDP),1970,18.5905233364969,Lower middle income
140,Gross capital formation (% of GDP),1970,22.4007494410752,Low & middle income
141,Gross capital formation (% of GDP),1970,10.183299389002,LSO
142,Gross capital formation (% of GDP),1970,27.1331719663491,Late-demographic dividend
143,Gross capital formation (% of GDP),1970,,LTU
144,Gross capital formation (% of GDP),1970,21.9872223427476,LUX
145,Gross capital formation (% of GDP),1970,,LVA
146,Gross capital formation (% of GDP),1970,,MAC
147,Gross capital formation (% of GDP),1970,,MAF
148,Gross capital formation (% of GDP),1970,18.4855901303631,MAR
149,Gross capital formation (% of GDP),1970,,MCO
150,Gross capital formation (% of GDP),1970,,MDA
151,Gross capital formation (% of GDP),1970,9.91271736606304,MDG
152,Gross capital formation (% of GDP),1970,,MDV
153,Gross capital formation (% of GDP),1970,25.3874972057184,AFG
154,Gross capital formation (% of GDP),1970,22.7391891891892,MEX
155,Gross capital formation (% of GDP),1970,,MHL
156,Gross capital formation (% of GDP),1970,22.9650515083197,Middle income
157,Gross capital formation (% of GDP),1970,,MKD
158,Gross capital formation (% of GDP),1970,15.2773172101041,MLI
159,Gross capital formation (% of GDP),1970,30.0268419309424,MLT
160,Gross capital formation (% of GDP),1970,,MMR
161,Gross capital formation (% of GDP),1970,22.3596642604622,AFG
162,Gross capital formation (% of GDP),1970,,MNE
163,Gross capital formation (% of GDP),1970,,MNG
164,Gross capital formation (% of GDP),1970,,MNP
165,Gross capital formation (% of GDP),1970,,MOZ
166,Gross capital formation (% of GDP),1970,11.1695335240344,MRT
167,Gross capital formation (% of GDP),1970,,MUS
168,Gross capital formation (% of GDP),1970,,MWI
169,Gross capital formation (% of GDP),1970,17.5078197649844,MYS
170,Gross capital formation (% of GDP),1970,21.4710788103379,North America
171,Gross capital formation (% of GDP),1970,,NAM
172,Gross capital formation (% of GDP),1970,,NCL
173,Gross capital formation (% of GDP),1970,9.84969371869597,NER
174,Gross capital formation (% of GDP),1970,,NGA
175,Gross capital formation (% of GDP),1970,18.5942136316761,NIC
176,Gross capital formation (% of GDP),1970,29.3003313331511,NLD
177,Gross capital formation (% of GDP),1970,32.9072435267126,NOR
178,Gross capital formation (% of GDP),1970,5.96487226277372,NPL
179,Gross capital formation (% of GDP),1970,,NRU
180,Gross capital formation (% of GDP),1970,24.3166205913662,NZL
181,Gross capital formation (% of GDP),1970,26.5700054038482,OECD members
182,Gross capital formation (% of GDP),1970,13.7640449438202,OMN
183,Gross capital formation (% of GDP),1970,,Other small states
184,Gross capital formation (% of GDP),1970,15.7923394274465,PAK
185,Gross capital formation (% of GDP),1970,34.4343742561101,PAN
186,Gross capital formation (% of GDP),1970,17.1313142760216,PER
187,Gross capital formation (% of GDP),1970,,PHL
188,Gross capital formation (% of GDP),1970,,PLW
189,Gross capital formation (% of GDP),1970,41.6030462173757,PNG
190,Gross capital formation (% of GDP),1970,,POL
191,Gross capital formation (% of GDP),1970,,Pre-demographic dividend
192,Gross capital formation (% of GDP),1970,28.6412298647387,PRI
193,Gross capital formation (% of GDP),1970,,PRK
194,Gross capital formation (% of GDP),1970,28.0652022282216,PRT
195,Gross capital formation (% of GDP),1970,14.7275129803393,PRY
196,Gross capital formation (% of GDP),1970,,PSE
197,Gross capital formation (% of GDP),1970,,Pacific island small states
198,Gross capital formation (% of GDP),1970,26.7119405937428,Post-demographic dividend
199,Gross capital formation (% of GDP),1970,,PYF
200,Gross capital formation (% of GDP),1970,,QAT
201,Gross capital formation (% of GDP),1970,,ROU
202,Gross capital formation (% of GDP),1970,,RUS
203,Gross capital formation (% of GDP),1970,7.04865828880423,RWA
204,Gross capital formation (% of GDP),1970,17.6403890689499,South Asia
205,Gross capital formation (% of GDP),1970,22.3985453343252,SAU
206,Gross capital formation (% of GDP),1970,,SDN
207,Gross capital formation (% of GDP),1970,9.54329231600746,SEN
208,Gross capital formation (% of GDP),1970,38.17631350671,SGP
209,Gross capital formation (% of GDP),1970,,SLB
210,Gross capital formation (% of GDP),1970,,SLE
211,Gross capital formation (% of GDP),1970,13.2471842672033,SLV
212,Gross capital formation (% of GDP),1970,,SMR
213,Gross capital formation (% of GDP),1970,10.8789459209487,SOM
214,Gross capital formation (% of GDP),1970,,SRB
215,Gross capital formation (% of GDP),1970,,Sub-Saharan Africa (
216,Gross capital formation (% of GDP),1970,,SSD
217,Gross capital formation (% of GDP),1970,,Sub-Saharan Africa
218,Gross capital formation (% of GDP),1970,,Small states
219,Gross capital formation (% of GDP),1970,,STP
220,Gross capital formation (% of GDP),1970,,SUR
221,Gross capital formation (% of GDP),1970,,SVK
222,Gross capital formation (% of GDP),1970,,SVN
223,Gross capital formation (% of GDP),1970,32.9090621824442,SWE
224,Gross capital formation (% of GDP),1970,,SWZ
225,Gross capital formation (% of GDP),1970,,SXM
226,Gross capital formation (% of GDP),1970,,SYC
227,Gross capital formation (% of GDP),1970,,SYR
228,Gross capital formation (% of GDP),1970,,TCA
229,Gross capital formation (% of GDP),1970,16.0926226734141,TCD
230,Gross capital formation (% of GDP),1970,31.0701676708234,East Asia & Pacific (IDA & IBRD countries)
231,Gross capital formation (% of GDP),1970,,Europe & Central Asia (IDA & IBRD countries)
232,Gross capital formation (% of GDP),1970,14.3826322928159,TGO
233,Gross capital formation (% of GDP),1970,25.5976934382554,THA
234,Gross capital formation (% of GDP),1970,,TJK
235,Gross capital formation (% of GDP),1970,,TKM
236,Gross capital formation (% of GDP),1970,22.213832106068,Latin America & the Caribbean (IDA & IBRD countries)
237,Gross capital formation (% of GDP),1970,,TLS
238,Gross capital formation (% of GDP),1970,22.2093884510657,AFG
239,Gross capital formation (% of GDP),1970,,TON
240,Gross capital formation (% of GDP),1970,17.6403890689499,South Asia (IDA & IBRD)
241,Gross capital formation (% of GDP),1970,,Sub-Saharan Africa (IDA & IBRD countries)
242,Gross capital formation (% of GDP),1970,,TTO
243,Gross capital formation (% of GDP),1970,21.148755955532,TUN
244,Gross capital formation (% of GDP),1970,14.7073791348601,TUR
245,Gross capital formation (% of GDP),1970,,TUV
246,Gross capital formation (% of GDP),1970,,TZA
247,Gross capital formation (% of GDP),1970,14.0046682227409,UGA
248,Gross capital formation (% of GDP),1970,,UKR
249,Gross capital formation (% of GDP),1970,25.2880744919549,Upper middle income
250,Gross capital formation (% of GDP),1970,3.39622641509434,URY
251,Gross capital formation (% of GDP),1970,21.4148288041681,USA
252,Gross capital formation (% of GDP),1970,,UZB
253,Gross capital formation (% of GDP),1970,,VCT
254,Gross capital formation (% of GDP),1970,36.5499279192696,VEN
255,Gross capital formation (% of GDP),1970,,VGB
256,Gross capital formation (% of GDP),1970,,VIR
257,Gross capital formation (% of GDP),1970,,VNM
258,Gross capital formation (% of GDP),1970,,VUT
259,Gross capital formation (% of GDP),1970,26.2806277472839,World
260,Gross capital formation (% of GDP),1970,,WSM
261,Gross capital formation (% of GDP),1970,,XKX
262,Gross capital formation (% of GDP),1970,,YEM
263,Gross capital formation (% of GDP),1970,25.2837160200581,ZAF
264,Gross capital formation (% of GDP),1970,,ZMB
265,Gross capital formation (% of GDP),1970,18.3377796794332,ZWE
266,Gross capital formation (% of GDP),1971,,ABW
267,Gross capital formation (% of GDP),1971,,Africa Eastern and Southern
268,Gross capital formation (% of GDP),1971,,AFG
269,Gross capital formation (% of GDP),1971,,Africa Western and Central
270,Gross capital formation (% of GDP),1971,,AGO
271,Gross capital formation (% of GDP),1971,,ALB
272,Gross capital formation (% of GDP),1971,,AND
273,Gross capital formation (% of GDP),1971,18.7093618096965,Arab World
274,Gross capital formation (% of GDP),1971,,ARE
275,Gross capital formation (% of GDP),1971,24.1130324177909,ARG
276,Gross capital formation (% of GDP),1971,,ARM
277,Gross capital formation (% of GDP),1971,,ASM
278,Gross capital formation (% of GDP),1971,,ATG
279,Gross capital formation (% of GDP),1971,32.0957075273079,AUS
280,Gross capital formation (% of GDP),1971,31.4265276695276,AUT
281,Gross capital formation (% of GDP),1971,,AZE
282,Gross capital formation (% of GDP),1971,7.60767864326492,BDI
283,Gross capital formation (% of GDP),1971,28.5570889394491,BEL
284,Gross capital formation (% of GDP),1971,10.285643631099,BEN
285,Gross capital formation (% of GDP),1971,14.8739002346814,BFA
286,Gross capital formation (% of GDP),1971,8.22782728437302,BGD
287,Gross capital formation (% of GDP),1971,,BGR
288,Gross capital formation (% of GDP),1971,,BHR
289,Gross capital formation (% of GDP),1971,,BHS
290,Gross capital formation (% of GDP),1971,,BIH
291,Gross capital formation (% of GDP),1971,,BLR
292,Gross capital formation (% of GDP),1971,,BLZ
293,Gross capital formation (% of GDP),1971,,BMU
294,Gross capital formation (% of GDP),1971,16.8331284572833,BOL
295,Gross capital formation (% of GDP),1971,21.2625148787298,BRA
296,Gross capital formation (% of GDP),1971,,BRB
297,Gross capital formation (% of GDP),1971,,BRN
298,Gross capital formation (% of GDP),1971,,BTN
299,Gross capital formation (% of GDP),1971,50.4405286343612,BWA
300,Gross capital formation (% of GDP),1971,18.7486065298326,CAF
301,Gross capital formation (% of GDP),1971,23.096440598999,CAN
302,Gross capital formation (% of GDP),1971,,Central Europe and the Baltics
303,Gross capital formation (% of GDP),1971,40.7850688756549,CHE
304,Gross capital formation (% of GDP),1971,,Channel Islands
305,Gross capital formation (% of GDP),1971,15.0605729268696,CHL
306,Gross capital formation (% of GDP),1971,33.5845171488947,CHN
307,Gross capital formation (% of GDP),1971,21.8019049040204,CIV
308,Gross capital formation (% of GDP),1971,16.6471026211096,CMR
309,Gross capital formation (% of GDP),1971,,COD
310,Gross capital formation (% of GDP),1971,26.6065356460421,COG
311,Gross capital formation (% of GDP),1971,19.4154702795633,COL
312,Gross capital formation (% of GDP),1971,,COM
313,Gross capital formation (% of GDP),1971,,CPV
314,Gross capital formation (% of GDP),1971,24.3365569988745,CRI
315,Gross capital formation (% of GDP),1971,,Caribbean small states
316,Gross capital formation (% of GDP),1971,25.9369732566977,CUB
317,Gross capital formation (% of GDP),1971,,CUW
318,Gross capital formation (% of GDP),1971,,CYM
319,Gross capital formation (% of GDP),1971,,CYP
320,Gross capital formation (% of GDP),1971,,CZE
321,Gross capital formation (% of GDP),1971,32.3681640596784,DEU
322,Gross capital formation (% of GDP),1971,,DJI
323,Gross capital formation (% of GDP),1971,,DMA
324,Gross capital formation (% of GDP),1971,25.9119088737487,DNK
325,Gross capital formation (% of GDP),1971,17.8577857785779,DOM
326,Gross capital formation (% of GDP),1971,35.2813421933013,DZA
327,Gross capital formation (% of GDP),1971,31.9386009124988,East Asia & Pacific (
328,Gross capital formation (% of GDP),1971,21.5693501541335,Early-demographic dividend
329,Gross capital formation (% of GDP),1971,35.1023180975354,East Asia & Pacific
330,Gross capital formation (% of GDP),1971,,Europe & Central Asia (
331,Gross capital formation (% of GDP),1971,28.6247424348807,Europe & Central Asia
332,Gross capital formation (% of GDP),1971,18.6803734243888,ECU
333,Gross capital formation (% of GDP),1971,12.8654797523477,EGY
334,Gross capital formation (% of GDP),1971,28.9242022924317,Euro area
335,Gross capital formation (% of GDP),1971,,ERI
336,Gross capital formation (% of GDP),1971,26.0720252569383,ESP
337,Gross capital formation (% of GDP),1971,,EST
338,Gross capital formation (% of GDP),1971,,ETH
339,Gross capital formation (% of GDP),1971,28.9696507806218,European Union
340,Gross capital formation (% of GDP),1971,,Fragile and conflict affected situations
341,Gross capital formation (% of GDP),1971,31.9418924071406,FIN
342,Gross capital formation (% of GDP),1971,,FJI
343,Gross capital formation (% of GDP),1971,27.8764152696192,FRA
344,Gross capital formation (% of GDP),1971,,FRO
345,Gross capital formation (% of GDP),1971,,FSM
346,Gross capital formation (% of GDP),1971,31.9695432921028,GAB
347,Gross capital formation (% of GDP),1971,23.825203746303,GBR
348,Gross capital formation (% of GDP),1971,,GEO
349,Gross capital formation (% of GDP),1971,14.12,GHA
350,Gross capital formation (% of GDP),1971,,GIB
351,Gross capital formation (% of GDP),1971,,GIN
352,Gross capital formation (% of GDP),1971,5.59310043668122,GMB
353,Gross capital formation (% of GDP),1971,28.0001794857061,GNB
354,Gross capital formation (% of GDP),1971,,GNQ
355,Gross capital formation (% of GDP),1971,35.0893015799055,GRC
356,Gross capital formation (% of GDP),1971,,GRD
357,Gross capital formation (% of GDP),1971,,GRL
358,Gross capital formation (% of GDP),1971,14.3843208383716,GTM
359,Gross capital formation (% of GDP),1971,,GUM
360,Gross capital formation (% of GDP),1971,18.6314483247651,GUY
361,Gross capital formation (% of GDP),1971,26.4808353259221,High income
362,Gross capital formation (% of GDP),1971,24.3431655485177,HKG
363,Gross capital formation (% of GDP),1971,17.0998632010944,HND
364,Gross capital formation (% of GDP),1971,,Heavily indebted poor countries (HIPC)
365,Gross capital formation (% of GDP),1971,,HRV
366,Gross capital formation (% of GDP),1971,,HTI
367,Gross capital formation (% of GDP),1971,,HUN
368,Gross capital formation (% of GDP),1971,24.5960137107319,IBRD only
369,Gross capital formation (% of GDP),1971,23.3906711953954,IDA & IBRD total
370,Gross capital formation (% of GDP),1971,,IDA total
371,Gross capital formation (% of GDP),1971,,IDA blend
372,Gross capital formation (% of GDP),1971,15.7952069716776,IDN
373,Gross capital formation (% of GDP),1971,,IDA only
374,Gross capital formation (% of GDP),1971,,IMN
375,Gross capital formation (% of GDP),1971,19.2036157433701,IND
376,Gross capital formation (% of GDP),1971,,Not classified
377,Gross capital formation (% of GDP),1971,23.5371863049837,IRL
378,Gross capital formation (% of GDP),1971,34.805595861571,IRN
379,Gross capital formation (% of GDP),1971,15.3249414519906,IRQ
380,Gross capital formation (% of GDP),1971,37.1877230549607,ISL
381,Gross capital formation (% of GDP),1971,35.6254423930809,ISR
382,Gross capital formation (% of GDP),1971,24.4717523440514,ITA
383,Gross capital formation (% of GDP),1971,32.0882719900187,JAM
384,Gross capital formation (% of GDP),1971,,JOR
385,Gross capital formation (% of GDP),1971,39.0203866095606,JPN
386,Gross capital formation (% of GDP),1971,,KAZ
387,Gross capital formation (% of GDP),1971,23.9159870264823,KEN
388,Gross capital formation (% of GDP),1971,,KGZ
389,Gross capital formation (% of GDP),1971,,KHM
390,Gross capital formation (% of GDP),1971,,KIR
391,Gross capital formation (% of GDP),1971,,KNA
392,Gross capital formation (% of GDP),1971,24.9767306573589,KOR
393,Gross capital formation (% of GDP),1971,9.37907145600459,KWT
394,Gross capital formation (% of GDP),1971,21.4401833730033,Latin America & Caribbean (
395,Gross capital formation (% of GDP),1971,,LAO
396,Gross capital formation (% of GDP),1971,,LBN
397,Gross capital formation (% of GDP),1971,,LBR
398,Gross capital formation (% of GDP),1971,,LBY
399,Gross capital formation (% of GDP),1971,,LCA
400,Gross capital formation (% of GDP),1971,22.3419811480779,Latin America & Caribbean
401,Gross capital formation (% of GDP),1971,,Least developed countries: UN classification
402,Gross capital formation (% of GDP),1971,,Low income
403,Gross capital formation (% of GDP),1971,,LIE
404,Gross capital formation (% of GDP),1971,17.067615658363,LKA
405,Gross capital formation (% of GDP),1971,19.3605131375371,Lower middle income
406,Gross capital formation (% of GDP),1971,22.7452173011659,Low & middle income
407,Gross capital formation (% of GDP),1971,9.14076782449726,LSO
408,Gross capital formation (% of GDP),1971,27.4899860963541,Late-demographic dividend
409,Gross capital formation (% of GDP),1971,,LTU
410,Gross capital formation (% of GDP),1971,25.2812237431209,LUX
411,Gross capital formation (% of GDP),1971,,LVA
412,Gross capital formation (% of GDP),1971,,MAC
413,Gross capital formation (% of GDP),1971,,MAF
414,Gross capital formation (% of GDP),1971,17.9446388800509,MAR
415,Gross capital formation (% of GDP),1971,,MCO
416,Gross capital formation (% of GDP),1971,,MDA
417,Gross capital formation (% of GDP),1971,11.2194733530156,MDG
418,Gross capital formation (% of GDP),1971,,MDV
419,Gross capital formation (% of GDP),1971,24.0066403692384,AFG
420,Gross capital formation (% of GDP),1971,20.2417551020408,MEX
421,Gross capital formation (% of GDP),1971,,MHL
422,Gross capital formation (% of GDP),1971,23.3331930532283,Middle income
423,Gross capital formation (% of GDP),1971,,MKD
424,Gross capital formation (% of GDP),1971,16.0058256996659,MLI
425,Gross capital formation (% of GDP),1971,26.6420115336282,MLT
426,Gross capital formation (% of GDP),1971,,MMR
427,Gross capital formation (% of GDP),1971,20.6408244400314,AFG
428,Gross capital formation (% of GDP),1971,,MNE
429,Gross capital formation (% of GDP),1971,,MNG
430,Gross capital formation (% of GDP),1971,,MNP
431,Gross capital formation (% of GDP),1971,,MOZ
432,Gross capital formation (% of GDP),1971,11.5864678858307,MRT
433,Gross capital formation (% of GDP),1971,,MUS
434,Gross capital formation (% of GDP),1971,,MWI
435,Gross capital formation (% of GDP),1971,20.7487456580471,MYS
436,Gross capital formation (% of GDP),1971,22.0148808845771,North America
437,Gross capital formation (% of GDP),1971,,NAM
438,Gross capital formation (% of GDP),1971,,NCL
439,Gross capital formation (% of GDP),1971,7.77845862336608,NER
440,Gross capital formation (% of GDP),1971,,NGA
441,Gross capital formation (% of GDP),1971,17.7151747282766,NIC
442,Gross capital formation (% of GDP),1971,27.9428175575509,NLD
443,Gross capital formation (% of GDP),1971,34.1457962817186,NOR
444,Gross capital formation (% of GDP),1971,7.75341204952284,NPL
445,Gross capital formation (% of GDP),1971,,NRU
446,Gross capital formation (% of GDP),1971,24.4493070751276,NZL
447,Gross capital formation (% of GDP),1971,26.1657855132219,OECD members
448,Gross capital formation (% of GDP),1971,28.4572342126299,OMN
449,Gross capital formation (% of GDP),1971,,Other small states
450,Gross capital formation (% of GDP),1971,15.5381858990766,PAK
451,Gross capital formation (% of GDP),1971,37.5712210610918,PAN
452,Gross capital formation (% of GDP),1971,19.7833040954229,PER
453,Gross capital formation (% of GDP),1971,,PHL
454,Gross capital formation (% of GDP),1971,,PLW
455,Gross capital formation (% of GDP),1971,42.7556795314645,PNG
456,Gross capital formation (% of GDP),1971,,POL
457,Gross capital formation (% of GDP),1971,,Pre-demographic dividend
458,Gross capital formation (% of GDP),1971,30.2383650917334,PRI
459,Gross capital formation (% of GDP),1971,,PRK
460,Gross capital formation (% of GDP),1971,26.1098272155646,PRT
461,Gross capital formation (% of GDP),1971,14.5636285468616,PRY
462,Gross capital formation (% of GDP),1971,,PSE
463,Gross capital formation (% of GDP),1971,,Pacific island small states
464,Gross capital formation (% of GDP),1971,26.3361795302045,Post-demographic dividend
465,Gross capital formation (% of GDP),1971,,PYF
466,Gross capital formation (% of GDP),1971,,QAT
467,Gross capital formation (% of GDP),1971,,ROU
468,Gross capital formation (% of GDP),1971,,RUS
469,Gross capital formation (% of GDP),1971,9.13180403296094,RWA
470,Gross capital formation (% of GDP),1971,18.18986545111,South Asia
471,Gross capital formation (% of GDP),1971,23.9631479356019,SAU
472,Gross capital formation (% of GDP),1971,,SDN
473,Gross capital formation (% of GDP),1971,10.1853891019399,SEN
474,Gross capital formation (% of GDP),1971,40.0886015671222,SGP
475,Gross capital formation (% of GDP),1971,,SLB
476,Gross capital formation (% of GDP),1971,,SLE
477,Gross capital formation (% of GDP),1971,15.5937004687553,SLV
478,Gross capital formation (% of GDP),1971,,SMR
479,Gross capital formation (% of GDP),1971,11.3990518119135,SOM
480,Gross capital formation (% of GDP),1971,,SRB
481,Gross capital formation (% of GDP),1971,,Sub-Saharan Africa (
482,Gross capital formation (% of GDP),1971,,SSD
483,Gross capital formation (% of GDP),1971,,Sub-Saharan Africa
484,Gross capital formation (% of GDP),1971,,Small states
485,Gross capital formation (% of GDP),1971,,STP
486,Gross capital formation (% of GDP),1971,,SUR
487,Gross capital formation (% of GDP),1971,,SVK
488,Gross capital formation (% of GDP),1971,,SVN
489,Gross capital formation (% of GDP),1971,29.8490024540557,SWE
490,Gross capital formation (% of GDP),1971,,SWZ
491,Gross capital formation (% of GDP),1971,,SXM
492,Gross capital formation (% of GDP),1971,,SYC
493,Gross capital formation (% of GDP),1971,,SYR
494,Gross capital formation (% of GDP),1971,,TCA
495,Gross capital formation (% of GDP),1971,15.8907709674102,TCD
496,Gross capital formation (% of GDP),1971,31.9345468095054,East Asia & Pacific (IDA & IBRD countries)
