,year,Tax revenue (% of GDP),country
254,1961,..,CPV
255,1961,..,KHM
256,1961,..,CMR
257,1961,..,CAN
258,1961,..,CYM
259,1961,..,CAF
260,1961,..,TCD
261,1961,..,Channel Islands
262,1961,..,CHL
263,1961,..,CHN
264,1961,..,COL
265,1961,..,COM
266,1961,..,COD
267,1961,..,COG
268,1961,..,CRI
269,1961,..,CIV
270,1961,..,HRV
271,1961,..,CUB
272,1961,..,CUW
273,1961,..,CYP
274,1961,..,CZE
275,1961,..,DNK
276,1961,..,DJI
277,1961,..,DMA
278,1961,..,DOM
279,1961,..,ECU
280,1961,..,EGY
281,1961,..,SLV
282,1961,..,GNQ
283,1961,..,ERI
284,1961,..,EST
285,1961,..,SWZ
286,1961,..,ETH
287,1961,..,FRO
288,1961,..,FJI
289,1961,..,FIN
290,1961,..,FRA
291,1961,..,PYF
292,1961,..,GAB
293,1961,..,GMB
294,1961,..,GEO
295,1961,..,DEU
296,1961,..,GHA
297,1961,..,GIB
298,1961,..,GRC
299,1961,..,GRL
300,1961,..,GRD
301,1961,..,GUM
302,1961,..,GTM
303,1961,..,GIN
304,1961,..,GNB
305,1961,..,GUY
306,1961,..,HTI
307,1961,..,HND
308,1961,..,HKG
309,1961,..,HUN
310,1961,..,ISL
311,1961,..,IND
312,1961,..,IDN
313,1961,..,IRN
314,1961,..,IRQ
315,1961,..,IRL
316,1961,..,IMN
317,1961,..,ISR
318,1961,..,ITA
319,1961,..,JAM
320,1961,..,JPN
321,1961,..,JOR
322,1961,..,KAZ
323,1961,..,KEN
324,1961,..,KIR
325,1961,..,PRK
326,1961,..,KOR
327,1961,..,XKX
328,1961,..,KWT
329,1961,..,KGZ
330,1961,..,LAO
331,1961,..,LVA
332,1961,..,LBN
333,1961,..,LSO
334,1961,..,LBR
335,1961,..,LBY
336,1961,..,LIE
337,1961,..,LTU
338,1961,..,LUX
339,1961,..,MAC
340,1961,..,MDG
341,1961,..,MWI
342,1961,..,MYS
343,1961,..,MDV
344,1961,..,MLI
345,1961,..,MLT
346,1961,..,MHL
347,1961,..,MRT
348,1961,..,MUS
349,1961,..,MEX
350,1961,..,FSM
351,1961,..,MDA
352,1961,..,MCO
353,1961,..,MNG
354,1961,..,MNE
355,1961,..,MAR
356,1961,..,MOZ
357,1961,..,MMR
358,1961,..,NAM
359,1961,..,NRU
360,1961,..,NPL
361,1961,..,NLD
362,1961,..,NCL
363,1961,..,NZL
364,1961,..,NIC
365,1961,..,NER
366,1961,..,NGA
367,1961,..,MKD
368,1961,..,MNP
369,1961,..,NOR
370,1961,..,OMN
371,1961,..,PAK
372,1961,..,PLW
373,1961,..,PAN
374,1961,..,PNG
375,1961,..,PRY
376,1961,..,PER
377,1961,..,PHL
378,1961,..,POL
379,1961,..,PRT
380,1961,..,PRI
381,1961,..,QAT
382,1961,..,ROU
383,1961,..,RUS
384,1961,..,RWA
385,1961,..,WSM
386,1961,..,SMR
387,1961,..,STP
388,1961,..,SAU
389,1961,..,SEN
390,1961,..,SRB
391,1961,..,SYC
392,1961,..,SLE
393,1961,..,SGP
394,1961,..,SXM
395,1961,..,SVK
396,1961,..,SVN
397,1961,..,SLB
398,1961,..,SOM
399,1961,..,ZAF
400,1961,..,SSD
401,1961,..,ESP
402,1961,..,LKA
403,1961,..,KNA
404,1961,..,LCA
405,1961,..,MAF
406,1961,..,VCT
407,1961,..,SDN
408,1961,..,SUR
409,1961,..,SWE
410,1961,..,CHE
411,1961,..,SYR
412,1961,..,TJK
413,1961,..,TZA
414,1961,..,THA
415,1961,..,TLS
416,1961,..,TGO
417,1961,..,TON
418,1961,..,TTO
419,1961,..,TUN
420,1961,..,TUR
421,1961,..,TKM
422,1961,..,TCA
423,1961,..,TUV
424,1961,..,UGA
425,1961,..,UKR
426,1961,..,ARE
427,1961,..,GBR
428,1961,..,USA
429,1961,..,URY
430,1961,..,UZB
431,1961,..,VUT
432,1961,..,VEN
433,1961,..,VNM
434,1961,..,VIR
435,1961,..,PSE
436,1961,..,YEM
437,1961,..,ZMB
438,1961,..,ZWE
442,1961,,Data from database: World Development Indicators
443,1961,,Last Updated: 10/07/2025
444,1962,..,AFG
445,1962,..,ALB
446,1962,..,DZA
447,1962,..,ASM
448,1962,..,AND
449,1962,..,AGO
450,1962,..,ATG
451,1962,..,ARG
452,1962,..,ARM
453,1962,..,ABW
454,1962,..,AUS
455,1962,..,AUT
456,1962,..,AZE
457,1962,..,BHS
458,1962,..,BHR
459,1962,..,BGD
460,1962,..,BRB
461,1962,..,BLR
462,1962,..,BEL
463,1962,..,BLZ
464,1962,..,BEN
465,1962,..,BMU
466,1962,..,BTN
467,1962,..,BOL
468,1962,..,BIH
469,1962,..,BWA
470,1962,..,BRA
471,1962,..,VGB
472,1962,..,BRN
473,1962,..,BGR
474,1962,..,BFA
475,1962,..,BDI
476,1962,..,CPV
477,1962,..,KHM
478,1962,..,CMR
479,1962,..,CAN
480,1962,..,CYM
481,1962,..,CAF
482,1962,..,TCD
483,1962,..,Channel Islands
484,1962,..,CHL
485,1962,..,CHN
486,1962,..,COL
487,1962,..,COM
488,1962,..,COD
489,1962,..,COG
490,1962,..,CRI
491,1962,..,CIV
492,1962,..,HRV
493,1962,..,CUB
494,1962,..,CUW
495,1962,..,CYP
496,1962,..,CZE
497,1962,..,DNK
498,1962,..,DJI
499,1962,..,DMA
500,1962,..,DOM
501,1962,..,ECU
502,1962,..,EGY
503,1962,..,SLV
504,1962,..,GNQ
505,1962,..,ERI
506,1962,..,EST
507,1962,..,SWZ
508,1962,..,ETH
509,1962,..,FRO
510,1962,..,FJI
511,1962,..,FIN
512,1962,..,FRA
513,1962,..,PYF
514,1962,..,GAB
515,1962,..,GMB
516,1962,..,GEO
517,1962,..,DEU
518,1962,..,GHA
519,1962,..,GIB
520,1962,..,GRC
521,1962,..,GRL
522,1962,..,GRD
523,1962,..,GUM
524,1962,..,GTM
525,1962,..,GIN
526,1962,..,GNB
527,1962,..,GUY
528,1962,..,HTI
529,1962,..,HND
530,1962,..,HKG
531,1962,..,HUN
532,1962,..,ISL
533,1962,..,IND
534,1962,..,IDN
535,1962,..,IRN
536,1962,..,IRQ
537,1962,..,IRL
