,year,"Exports of goods, Free on board (FOB), US dollar","Imports of goods, Cost insurance freight (CIF), US dollar",export_share,country
1314,2018,568.851435,2608.362058,0.1790409855218376,BTN
1315,2019,538.749759,2673.182491,0.1677338489938572,BTN
1316,2020,397.99932,2468.576566,0.13884136887628867,BTN
1317,2021,854.956227,3506.66349,0.19601805807775793,BTN
1318,2022,760.968125,4142.040243,0.15520432923723695,BTN
1319,1948,112.6,74.91,0.6005013065969815,BOL
1320,1949,102.5,84.81,0.547221184133255,BOL
1321,1950,93.5,59.9,0.6095176010430248,BOL
1322,1951,150.2,97.79,0.6056695834509456,BOL
1323,1952,141.8,100.65,0.5848628583213034,BOL
1324,1953,124.2,73.7,0.627589691763517,BOL
1325,1954,99.3,65.2,0.6036474164133738,BOL
1326,1955,102.3,82.3,0.5541711809317443,BOL
1327,1956,107.5,84.1,0.5610647181628393,BOL
1328,1957,97.7,92.2,0.5144813059505002,BOL
1329,1958,64.8,69.8,0.4814264487369985,BOL
1330,1959,77.3,58.4,0.56963890935888,BOL
1331,1960,67.9,71.1,0.4884892086330936,BOL
1332,1961,76.2,77.6,0.4954486345903771,BOL
1333,1962,76.0,97.9,0.4370327774583094,BOL
1334,1963,86.3,103.8,0.45397159389794844,BOL
1335,1964,113.9,102.9,0.5253690036900369,BOL
1336,1965,131.9,134.1,0.49586466165413534,BOL
1337,1966,150.4,138.5,0.520595361716857,BOL
1338,1967,170.9,151.2,0.5305805650419124,BOL
1339,1968,170.647,152.849,0.5275088409130252,BOL
1340,1969,198.191,165.005,0.5456860758378396,BOL
1341,1970,228.322,158.529,0.5902065653184301,BOL
1342,1971,212.253,171.283,0.55341089232823,BOL
1343,1972,240.357,185.381,0.5645655309133787,BOL
1344,1973,326.487,227.361,0.5894884517051611,BOL
1345,1974,620.068,388.789,0.6146242728156716,BOL
1346,1975,492.469,553.816,0.4706834179979642,BOL
1347,1976,593.658,584.35,0.5039507371766575,BOL
1348,1977,662.757,579.286,0.533602298793198,BOL
1349,1978,649.069,764.247,0.4592525663050585,BOL
1350,1979,812.376,848.466,0.4891350290996976,BOL
1351,1980,990.693,802.081,0.5526033956315743,BOL
1352,1981,963.657,905.185,0.5156439121124204,BOL
1353,1982,898.536,488.806,0.6476672658940622,BOL
1354,1983,786.72,530.738,0.5971499660710247,BOL
1355,1984,781.506,409.044,0.6564243416908152,BOL
1356,1985,672.505,683.314,0.496013848456173,BOL
1357,1986,640.34,666.569,0.48996525389296425,BOL
1358,1987,569.793,757.494,0.4292914795368296,BOL
1359,1988,600.301628,590.592713,0.5040763125097426,BOL
1360,1989,826.890211,619.951005,0.5715141384249867,BOL
1361,1990,922.94366,700.289854,0.5685834182450228,BOL
1362,1991,652.013506,993.784545,0.3961685977230508,BOL
1363,1992,797.871443,1131.941713,0.41344491849862797,BOL
1364,1993,803.851799,1177.65159,0.40567773109168276,BOL
1365,1994,1122.709,1200.52373,0.4832529197365432,BOL
1366,1995,1138.8428,1449.057781,0.4400643550069978,BOL
1367,1996,1215.672768,1657.101409,0.42317032008047034,BOL
1368,1997,1272.1,1934.28045,0.39674019344772393,BOL
1369,1998,1324.876,2461.5982,0.34989700973005444,BOL
1370,1999,1405.356,2107.01465,0.4001160868372477,BOL
1371,2000,1474.889788,2020.057977,0.4220062464939301,BOL
1372,2001,1352.883249,1706.964123,0.44214076211118936,BOL
1373,2002,1374.526919,1831.721511,0.42870256282667407,BOL
1374,2003,1676.28118,1687.647851,0.49831050671770255,BOL
1375,2004,2272.512256,1883.95325,0.546741516973869,BOL
1376,2005,3365.978548,2343.28906,0.5895639824771023,BOL
1377,2006,4088.314758,2925.549215,0.5828905113840308,BOL
1378,2007,4795.410536,3587.839049,0.5720228757808121,BOL
1379,2008,6932.929441,5099.361019,0.5761936568974749,BOL
1380,2009,5399.575394,4577.379815,0.5412047343992442,BOL
1381,2010,6966.051777,5603.866336,0.5541843402938006,BOL
1382,2011,9145.7635,7935.681034,0.5354209640639986,BOL
1383,2012,11814.578131,8590.036222,0.5790150172214823,BOL
1384,2013,12251.725324,9698.959479,0.5581477495556566,BOL
1385,2014,12899.069895,10673.961421,0.5471960615538174,BOL
1386,2015,8737.099406,9843.070745,0.470237857618853,BOL
1387,2016,7126.324174,8563.810791,0.454191387766689,BOL
1388,2017,8223.138291,9373.688708,0.46730801476125833,BOL
1389,2018,9014.703217,10000.674019,0.4740743822811636,BOL
1390,2019,8804.872212,9823.098066,0.47266943636896,BOL
1391,2020,6974.746128,6954.381407,0.5007310120805782,BOL
1392,2021,10985.584941,9617.76199,0.5331941930498185,BOL
1393,2022,13603.746248,11869.027869,0.5340504408948981,BOL
1394,1993,85.2338751487199,424.15658395272,0.16732522886092463,BIH
1395,1994,36.429465350776,775.132723457938,0.044888076173497604,BIH
1396,1995,51.579534168515,949.602122772275,0.051518656790138756,BIH
1397,1996,181.100130978994,1941.38866802359,0.08532442247238145,BIH
1398,1997,380.657705102796,2400.35689495808,0.1368772767659916,BIH
1399,1998,511.135084038245,2548.23738702962,0.16707187139584698,BIH
1400,1999,599.231789558647,2627.23060322201,0.18572408929961587,BIH
1401,2000,479.381627,2392.121453,0.16694449340447856,BIH
1402,2001,533.401353,2473.489269,0.17739300162678148,BIH
1403,2002,562.080673,2621.484738,0.1765569732155882,BIH
1404,2003,971.915215,3108.083932,0.23821456328358395,BIH
1405,2004,1686.12005,4994.464624,0.2523910903430606,BIH
1406,2005,2280.448553,6729.457381,0.253104590625574,BIH
1407,2006,3646.596097,7704.673306,0.3212500705900126,BIH
1408,2007,4380.874762,9926.135718,0.30620476361040594,BIH
1409,2008,5277.115161,12582.627837,0.2954754254633423,BIH
1410,2009,3962.889963,8579.880574,0.31595012850708265,BIH
1411,2010,4781.680982,9537.251814,0.33394115679736724,BIH
1412,2011,5794.16267,11494.953638,0.3351335352703325,BIH
1413,2012,5066.700997,10271.511053,0.33033191746752516,BIH
1414,2013,5688.104156,10303.305701,0.35569747801255425,BIH
1415,2014,5891.923483,10987.881271,0.3490516370815126,BIH
1416,2015,5095.913595,8982.80294,0.36195867587300634,BIH
1417,2016,5327.745639,9145.026916,0.3681219765427316,BIH
1418,2017,6400.958433,10531.839843,0.3780213009489702,BIH
1419,2018,7182.125338,11629.946589,0.381782791702591,BIH
1420,2019,6578.260731,11159.402401,0.3708640017597556,BIH
1421,2020,6152.491088,9867.976471,0.38403942115557327,BIH
1422,2021,8614.079101,13030.042502,0.39798700353845906,BIH
1423,2022,9678.192327,15382.48051,0.38619044228975985,BIH
1424,2000,2797.005144,2115.997229,0.5693066951018141,BWA
1425,2001,2540.521564,1844.429932,0.5793727858375382,BWA
1426,2002,2765.171639,3421.412231,0.4469626044203293,BWA
1427,2003,3819.37573,3999.744719,0.48846615868265164,BWA
1428,2004,3570.715871,3283.447166,0.5209557828905784,BWA
1429,2005,4533.832467,3205.359743,0.585827608873924,BWA
1430,2006,4595.855679,3082.622786,0.5985372883376316,BWA
1431,2007,5130.224311,4039.919662,0.5594486112873596,BWA
1432,2008,5008.922312,5283.817688,0.48664615175356607,BWA
1433,2009,3506.770285,4836.791481,0.4202965571957629,BWA
1434,2010,4744.055675,5227.72936,0.47574788850229155,BWA
1435,2011,5988.637125,8532.940932,0.4123957535120111,BWA
1436,2012,6801.27026,10541.142525,0.39217554929165527,BWA
1437,2013,8046.668252,9744.892336,0.45227444844986187,BWA
1438,2014,8774.614893,9332.762387,0.4845878426961234,BWA
1439,2015,6496.427332,8189.8253,0.442347513336716,BWA
1440,2016,7494.680193,6208.698174,0.5469220795251796,BWA
1441,2017,5911.828384,5372.565753,0.5238941774123181,BWA
1442,2018,6374.895598,6275.831536,0.5039153505150608,BWA
1443,2019,5051.675882,6422.252932,0.44027429173485544,BWA
1444,2020,3733.633153,6255.37035,0.3737743361366003,BWA
1445,2021,6990.749876,7543.634517,0.48098011494500315,BWA
1446,2022,8137.012298,7902.911682,0.5072974353336056,BWA
1447,1948,1156.3,1246.63,0.48120419654338653,BRA
1448,1949,1081.2,1223.97,0.4690326526893895,BRA
1449,1950,1341.4,1203.29,0.5271369007619789,BRA
1450,1951,1753.5,2197.25,0.44383977725748275,BRA
1451,1952,1406.3,2201.76,0.3897662455724128,BRA
1452,1953,1536.1,1447.82,0.5147926217861069,BRA
1453,1954,1560.6,1796.19,0.4649084393125575,BRA
1454,1955,1422.2,1437.81,0.497270988562977,BRA
1455,1956,1478.8,1355.2,0.5218066337332392,BRA
1456,1957,1390.8,1631.41,0.4601930375453724,BRA
1457,1958,1242.2,1145.32,0.5202888352767726,BRA
1458,1959,1281.6,1499.08,0.46089445747083446,BRA
1459,1960,1269.9,1586.75,0.44454168344039346,BRA
1460,1961,1402.5,1593.35,0.4681476041857904,BRA
1461,1962,1213.5,1610.62,0.42969137288783765,BRA
1462,1963,1406.9,1623.05,0.46433109457251776,BRA
1463,1964,1430.9,1386.77,0.5078309383284771,BRA
1464,1965,1595.3,1205.71,0.569544557141888,BRA
1465,1966,1741.0,1646.7,0.5139179974614045,BRA
1466,1967,1654.6,1837.22,0.4738503130172804,BRA
1467,1968,1881.6,2347.51,0.4449163062677489,BRA
1468,1969,2310.42,2489.157,0.4813799216055915,BRA
1469,1970,2738.37,3134.23,0.466296018799169,BRA
1470,1971,2902.4,4068.9,0.4163355471719765,BRA
1471,1972,4003.54,5261.476,0.43211366283663194,BRA
1472,1973,6198.8,7700.088,0.4459925139334888,BRA
1473,1974,7949.29,15585.372,0.3377694568122542,BRA
1474,1975,8663.0,14951.431,0.3668519474384117,BRA
1475,1976,10097.38,15136.649,0.4001493380228738,BRA
1476,1977,12137.8,14579.378,0.4543069631081546,BRA
1477,1978,12649.11,16559.576,0.4330598781472059,BRA
1478,1979,15239.64,21784.521,0.4116133786259194,BRA
1479,1980,20127.74,27456.451,0.4229921656123144,BRA
1480,1981,23326.41,26482.302,0.4683198794620507,BRA
1481,1982,20165.53,23176.175,0.4652684983204975,BRA
1482,1983,21851.34,18483.102,0.5417538688151432,BRA
1483,1984,27005.51,16730.901,0.6174605867866021,BRA
1484,1985,25638.42,15767.906,0.6191908936813181,BRA
1485,1986,22401.11,17112.48,0.5669216591051333,BRA
1486,1987,26213.14,18240.882,0.5896685793694888,BRA
1487,1988,33764.35,17652.932,0.6566731784850082,BRA
1488,1989,32639.60846,22031.6367458,0.5970160060765785,BRA
1489,1990,31388.884,24977.2904018,0.5568744789427758,BRA
1490,1991,31592.327,25531.2884277,0.5530519516921273,BRA
1491,1992,37017.805,22609.5034,0.6208196545058203,BRA
1492,1993,38766.755,30984.228,0.555787937784332,BRA
1493,1994,43661.329,36386.5568,0.5454401270395577,BRA
1494,1995,46557.103,54354.29406,0.46136615245072893,BRA
1495,1996,47716.5055,58898.105654037,0.44756065780757853,BRA
1496,1997,53906.017,68135.5021530274,0.441702277832247,BRA
1497,1998,51156.522,63313.9122,0.44689724781353196,BRA
1498,1999,48313.2787168,54781.9260791,0.46862779711672264,BRA
1499,2000,59642.914788,59950.338805,0.49871471003687956,BRA
1500,2001,59002.912371,59218.850687,0.4990867234999107,BRA
1501,2002,60354.353291,50066.248661,0.546585983268196,BRA
1502,2003,73666.678762,51363.411757,0.5891915974483387,BRA
1503,2004,97672.031669,66638.554198,0.5944354172533954,BRA
1504,2005,118469.102366,77984.106654,0.603039792309726,BRA
1505,2006,138350.244366,97487.741952,0.5866325714783319,BRA
1506,2007,157093.518058,129503.184743,0.5481344220735113,BRA
1507,2008,197942.442909,183526.719087,0.5188950054921493,BRA
1508,2009,150581.547344,133593.63702,0.52988985537569,BRA
1509,2010,201702.029476,192487.7298,0.5116876446675375,BRA
1510,2011,254965.14576,239188.42201,0.515963381405093,BRA
1511,2012,240803.250713,235825.530481,0.5052217998874621,BRA
1512,2013,240776.284008,253195.763595,0.48742896521446355,BRA
1513,2014,224231.817969,242088.555457,0.48085357352413244,BRA
1514,2015,190601.362558,181626.50789,0.5120555919915375,BRA
1515,2016,184419.093532,145087.903605,0.5596818736305124,BRA
1516,2017,217726.153906,159749.481042,0.576795251794181,BRA
1517,2018,242358.656506,189966.323051,0.5605936921672743,BRA
1518,2019,222199.851539,187973.597556,0.5417216839102046,BRA
1519,2020,211260.755248,168469.406495,0.5563444164621837,BRA
1520,2021,281645.257207,232718.293147,0.5475606835149255,BRA
1521,2022,334463.079195,289063.837876,0.5364051976555091,BRA
1522,1960,3.3,1.3,0.717391304347826,BRN
1523,1961,0.1,0.9,0.1,BRN
1524,1962,1.5,14.9,0.09146341463414635,BRN
1525,1963,1.1,20.3,0.0514018691588785,BRN
1526,1964,0.1,3.6,0.02702702702702703,BRN
1527,1965,0.1,27.5,0.0036231884057971015,BRN
1528,1966,,5.4,,BRN
1529,1967,81.1,42.77,0.6547186566561717,BRN
1530,1968,91.93,67.47,0.5767252195734003,BRN
1531,1969,88.25,72.55,0.548818407960199,BRN
1532,1971,106.03,149.18,0.41546177657615296,BRN
1533,1972,176.39,106.51,0.6235065394132202,BRN
1534,1973,348.73,132.29,0.7249802503014429,BRN
1535,1974,992.22,187.28,0.8412208562950403,BRN
1536,1975,1048.51,272.96,0.793442151543357,BRN
1537,1976,1332.79,259.99,0.8367696731500898,BRN
1538,1977,1639.74,281.58,0.8534445069015052,BRN
1539,1978,1844.75,281.15,0.8677501293569782,BRN
1540,1979,2653.2,396.34,0.8700328574145608,BRN
1541,1980,4588.58,573.12,0.8889668132591976,BRN
1542,1981,4001.21,588.96,0.8716910266940004,BRN
1543,1982,3785.5,731.5,0.8380562320123977,BRN
1544,1983,3367.24,723.96,0.8230445834962847,BRN
1545,1984,3182.96,621.66,0.8366039183939527,BRN
1546,1985,2934.35,605.65,0.828912429378531,BRN
1547,1986,1797.53,653.27,0.7334462216419128,BRN
1548,1987,1900.90087239882,640.741420357028,0.7479025973941101,BRN
1549,1988,1706.72444405816,743.641217298452,0.696518267038257,BRN
1550,1989,1882.40319149845,858.526751010158,0.6867753758695487,BRN
1551,1990,2211.97063650029,1000.16088329526,0.6886301581577458,BRN
1552,1991,2465.79696326154,1110.90885450527,0.6894044656994215,BRN
1553,1992,3913.409,2416.0288,0.6182869827712029,BRN
1554,1993,3632.07,3054.79,0.543165252450328,BRN
1555,1994,3290.36,2760.29,0.543802731937891,BRN
1556,1995,3388.26,2959.59,0.5337649755429004,BRN
1557,1996,3669.64,3516.47,0.5106573653896197,BRN
1558,1997,3972.56,3153.97,0.5574325793899696,BRN
1559,1998,1979.92691933433,2333.96671757658,0.4589651683559159,BRN
1560,1999,2551.77316037578,1327.85058182412,0.6577372781332717,BRN
1561,2000,2890.656863,1247.706629,0.6985024076758891,BRN
1562,2001,3772.519417,1199.584549,0.7587370342207362,BRN
1563,2002,3846.823061,1772.756671,0.6845392795291689,BRN
1564,2003,4422.217712,1506.15671,0.7459410282166553,BRN
1565,2004,5637.922027,1595.960054,0.7793770984749896,BRN
1566,2005,6985.755519,1359.980128,0.8370449070611451,BRN
1567,2006,8137.13811,1823.567511,0.8169238625870641,BRN
1568,2007,8080.919535,2362.921432,0.7737497689340294,BRN
1569,2008,10636.027715,2913.900026,0.7849508807945162,BRN
1570,2009,7215.26252,2688.073166,0.728568913421764,BRN
1571,2010,8886.808237,2526.904063,0.7786080464810735,BRN
1572,2011,12463.488979,3587.735027,0.776482153282585,BRN
1573,2012,12980.988089,3546.171835,0.7854336830219445,BRN
1574,2013,11436.175412,3593.590251,0.7609017777405117,BRN
1575,2014,10614.886227,3574.472158,0.7480878232113242,BRN
1576,2015,6353.266391,3230.25777,0.6629363357640936,BRN
1577,2016,4909.905535,2664.463575,0.6482263359093151,BRN
1578,2017,5585.2742,3081.509475,0.6444460147437567,BRN
1579,2018,6569.775771,4157.361176,0.6124444764208341,BRN
1580,2019,7251.946083,5043.885566,0.5897889862203659,BRN
1581,2020,6607.140774,5342.373418,0.5529212876640098,BRN
1582,2021,11012.507376,8498.327335,0.5644303557034014,BRN
1583,2022,18453.030623,11816.093568,0.6096321289826644,BRN
1584,1948,123.6,135.63,0.4767966670524244,BGR
1585,1955,229.1,214.39,0.5165843649236735,BGR
1586,1956,339.3,273.13,0.5540225005306728,BGR
1587,1981,2003.26636363636,3386.878,0.37165356407725114,BGR
1588,1982,1839.73101912638,2968.20542296965,0.3826446213012636,BGR
1589,1983,1701.41801746008,3082.81212202059,0.3556304709130839,BGR
1590,1984,1880.18230657338,3263.65007567041,0.36552169022141157,BGR
1591,1985,2560.64411309818,4240.95300581347,0.37647688746197283,BGR
1592,1986,2451.87831809309,4452.49303838314,0.3551197048219681,BGR
1593,1987,2726.16318549601,5039.39879394048,0.3510580680078269,BGR
1594,1988,2948.69435741836,5855.87957022179,0.33490483260769044,BGR
1595,1989,2786.68435569515,5144.66076875426,0.3513507875360045,BGR
1596,1990,2031.60860918443,3461.70161403747,0.3698332201586213,BGR
1597,1991,2051.4291854322,2715.05140107594,0.430386560524114,BGR
1598,1992,2443.73731930394,4348.327,0.35979301791334883,BGR
1599,1993,2319.32976481187,4484.82674743735,0.3408695494638438,BGR
1600,1994,3399.71085315957,4724.05342546438,0.4184895987326004,BGR
1601,1995,5220.422,5469.271,0.4883603298990906,BGR
1602,1996,4780.667,4891.372,0.49427705988365017,BGR
1603,1997,4313.587,3879.562,0.5264870686472319,BGR
1604,1998,4150.0,5044.322,0.45136552755059045,BGR
1605,1999,3755.121203,5219.9964678,0.41839242010353345,BGR
1606,2000,4821.382811,6429.97836,0.4285155136097622,BGR
1607,2001,5111.665526,7216.902363,0.4146195707419363,BGR
1608,2002,5747.638395,7904.303552,0.4210125136272673,BGR
1609,2003,7536.07927,10814.00694,0.41068358937154004,BGR
1610,2004,9929.381432,14432.512105,0.40757839356450676,BGR
1611,2005,11439.340614,15488.249474,0.42481858111386744,BGR
1612,2006,14586.153664,19334.398484,0.43000932297206185,BGR
1613,2007,18533.522665,30085.529418,0.3811987661413164,BGR
1614,2008,22178.2315,36863.864372,0.375634217797437,BGR
1615,2009,16107.895463,23362.680242,0.4080988223579295,BGR
1616,2010,20103.656724,25334.975275,0.4424353427815,BGR
1617,2011,27677.619794,32421.301496,0.46053438564138327,BGR
1618,2012,26272.075828,32559.961754,0.44656069903038836,BGR
1619,2013,29200.316231,34157.459357,0.46087975722005237,BGR
1620,2014,28683.152817,34485.584219,0.45407196918712195,BGR
1621,2015,24642.072397,28937.27569,0.45991736138683864,BGR
1622,2016,25403.450217,28611.928172,0.4703003288073476,BGR
1623,2017,29887.368024,33769.112203,0.46951021981456065,BGR
1624,2018,32361.512191,37550.264974,0.4628907103108398,BGR
1625,2019,32452.018457,37370.413393,0.46477926358561805,BGR
1626,2020,31200.613994,34822.677888,0.4725698023322321,BGR
1627,2021,40382.69724,46010.506991,0.4674290946776771,BGR
1628,2022,47954.644329,57731.605977,0.45374534710195435,BGR
1629,1960,0.1,,,BFA
1630,1961,3.7,0.3,0.925,BFA
1631,1962,7.7,34.7,0.18160377358490565,BFA
1632,1963,9.2,36.6,0.20087336244541484,BFA
1633,1964,,0.9,,BFA
1634,1965,14.6,0.8,0.948051948051948,BFA
1635,1966,15.9,37.4,0.2983114446529081,BFA
1636,1967,17.4,35.7,0.327683615819209,BFA
1637,1968,20.9,37.7,0.35665529010238906,BFA
1638,1969,21.587,51.781,0.2942290917021045,BFA
1639,1970,18.839,47.125,0.2855951731247347,BFA
1640,1971,15.882,50.595,0.23890969809106907,BFA
1641,1972,20.465,59.175,0.25696885986941237,BFA
1642,1973,25.145,77.4,0.2452094202545224,BFA
1643,1974,36.352,153.269,0.19170872424467753,BFA
1644,1975,43.714,146.853,0.22938913872811137,BFA
1645,1976,53.057,143.918,0.26935905571773067,BFA
1646,1977,54.708,205.172,0.21051254425119287,BFA
1647,1978,42.135,225.196,0.15761359513112955,BFA
1648,1979,76.337,299.355,0.20319037935330006,BFA
1649,1980,90.231,357.115,0.2017029324057888,BFA
1650,1981,73.304,335.319,0.17939274098619018,BFA
1651,1982,55.111,346.907,0.13708590162629533,BFA
1652,1983,56.972,287.35,0.1654613995039527,BFA
1653,1984,79.94013366368,257.73738699647,0.23673513566256738,BFA
1654,1985,69.3516300369857,324.78207279124,0.17595965414612372,BFA
1655,1986,82.773955008296,403.266392421892,0.1703026414287245,BFA
1656,1987,155.033308608941,434.464601371164,0.262992125984252,BFA
1657,1988,140.834012979255,453.098276100852,0.237121327748288,BFA
1658,1989,94.885040431443,393.126066949924,0.1944321327860536,BFA
1659,1990,151.625032711847,535.7856122969,0.22057417034895882,BFA
1660,1991,105.959170169588,533.490520867138,0.1657036849885699,BFA
1661,1992,75.6818873975699,499.703233104762,0.13153257653151837,BFA
1662,1993,62.5246113749306,430.502978797443,0.12681767231945495,BFA
1663,1994,106.664686615472,348.87547561304,0.23414990698880667,BFA
1664,1995,164.313369825498,480.846942767003,0.25468610920164014,BFA
1665,1996,188.702610534897,603.065519942756,0.2383306466516373,BFA
1666,1997,194.122539860457,529.87120559882,0.2681273713729561,BFA
1667,1998,241.875307251111,778.150250375671,0.23712671260302964,BFA
1668,1999,179.30190491298,601.892567062128,0.229522751818312,BFA
1669,2000,147.076622,475.429326,0.2362654083427328,BFA
1670,2001,164.504973,533.200886,0.23577983598386268,BFA
1671,2002,160.289307,531.860372,0.23158185557722408,BFA
1672,2003,310.36167,715.057973,0.3026679585462164,BFA
1673,2004,387.75358,932.986028,0.2935882119770576,BFA
1674,2005,280.066249,1051.303281,0.21035951528799074,BFA
1675,2006,366.199693,1234.436807,0.2287837950715231,BFA
1676,2007,415.731213,1529.41498,0.2137274897362946,BFA
1677,2008,462.54084,1965.936293,0.19046538825284465,BFA
1678,2009,1024.400024,2366.216445,0.3021279561890785,BFA
1679,2010,1361.86829,2376.443708,0.36430032879240704,BFA
1680,2011,2435.591681,2912.129173,0.4554448048981878,BFA
1681,2012,2300.369836,3801.656341,0.37698458991714023,BFA
1682,2013,2505.713475,4625.552484,0.3513700778243545,BFA
1683,2014,2609.982861,3735.90102,0.41128752273807956,BFA
1684,2015,2218.711873,3273.301608,0.4039887885701277,BFA
1685,2016,2522.153257,3609.580801,0.41132789405786063,BFA
1686,2017,2912.707879,4219.391155,0.40839419995636583,BFA
1687,2018,3254.98407,4315.725761,0.4299443701661533,BFA
1688,2019,3239.480569,4187.891131,0.4361543625183051,BFA
1689,2020,4380.865823,4130.510652,0.5147070906647916,BFA
1690,2021,5040.406639,4609.725961,0.522314754410732,BFA
1691,2022,4542.731249,5536.800407,0.4506887228530969,BFA
1692,1969,11.7,21.7,0.3502994011976048,BDI
1693,1970,24.3,22.3,0.5214592274678111,BDI
1694,1971,18.5,29.9,0.3822314049586777,BDI
1695,1972,26.0,31.3,0.4537521815008726,BDI
1696,1973,29.8,31.2,0.48852459016393446,BDI
1697,1974,29.509,43.119,0.4063033540783169,BDI
1698,1975,31.917,61.659,0.3410810464221596,BDI
1699,1976,62.839,58.283,0.518807483363881,BDI
1700,1977,89.008,72.584,0.5508193474924501,BDI
1701,1978,69.362,98.211,0.413921097074111,BDI
1702,1979,104.002,152.815,0.4049654033806173,BDI
1703,1980,63.506,167.316,0.27512975366299575,BDI
1704,1981,71.369,161.371,0.30664690212254014,BDI
1705,1982,87.584,214.439,0.2899911596136718,BDI
1706,1983,77.133,187.579,0.2913845991114872,BDI
1707,1984,98.807,185.694,0.34729930650507385,BDI
1708,1985,111.739,189.707,0.370676671775376,BDI
1709,1986,169.1,204.799,0.45226117213472083,BDI
1710,1987,87.49,219.124,0.2853424827307299,BDI
1711,1988,101.22,205.737383809965,0.3297526149840544,BDI
1712,1989,77.5487394957983,181.495610804936,0.29936472038772144,BDI
1713,1990,74.6463980458039,234.616228683764,0.24136895827078977,BDI
1714,1991,91.9908674834757,247.69554631404,0.2708111474199575,BDI
1715,1992,73.7138906847087,223.524412245029,0.24799593443424237,BDI
1716,1993,61.8630035423016,197.127440481094,0.23886210850587708,BDI
1717,1994,118.870034136447,233.271289118652,0.33756343344667594,BDI
1718,1995,104.030509594307,233.026435642573,0.30864372048822636,BDI
1719,1996,37.3047872808949,124.995265568572,0.22985074019350468,BDI
1720,1997,87.3112735649365,122.74716147022,0.41565230908401096,BDI
1721,1998,63.9503907362293,156.954360445099,0.28949305252260515,BDI
1722,1999,54.9584118886547,117.656515470777,0.3183873650406618,BDI
1723,2000,38.584328,116.229703,0.24923017475076273,BDI
1724,2001,34.22145,104.921286,0.24594492665430986,BDI
1725,2002,27.660417,98.943751,0.2184795132495164,BDI
1726,2003,34.127676,139.232248,0.19686023858662974,BDI
1727,2004,38.770804,168.751832,0.18682686740737042,BDI
1728,2005,48.305665,264.440764,0.15445632794099784,BDI
1729,2006,48.621096,430.155713,0.10155273832404861,BDI
1730,2007,47.346271,313.544246,0.13119289305127407,BDI
1731,2008,56.200914,391.844914,0.12543563735627508,BDI
1732,2009,68.356539,378.857427,0.15284974128021753,BDI
1733,2010,92.331391,494.354608,0.15737786679310203,BDI
1734,2011,111.406759,697.045124,0.13780258459735692,BDI
1735,2012,111.637152,732.988557,0.132173518767471,BDI
1736,2013,206.580818,747.234655,0.21658363053206622,BDI
1737,2014,142.316066,682.139137,0.17261831265318608,BDI
1738,2015,115.631463,691.850706,0.1432000203090553,BDI
1739,2016,117.203485,501.698659,0.1893732088929393,BDI
1740,2017,163.522968,626.710714,0.20692988887304856,BDI
1741,2018,167.671547,710.717618,0.19088526325344643,BDI
1742,2019,173.162868,790.675485,0.17965965710019843,BDI
1743,2020,153.962615,775.601621,0.16562880652822362,BDI
1744,2021,149.559997,898.788777,0.14266244279501586,BDI
1745,2022,190.85151,1121.592484,0.1454168794039984,BDI
1746,1955,3469.2,3343.7,0.5092104683761688,CIS
1747,1956,3611.5,3883.1,0.48188028714007414,CIS
1748,1957,4380.0,4277.7,0.5059080356214699,CIS
1749,1960,146.7,169.5,0.4639468690702087,CIS
1750,1961,210.7,179.3,0.5402564102564102,CIS
1751,1962,262.4,196.6,0.571677559912854,CIS
1752,1981,38722.3744266373,47239.0898645681,0.4504620151124966,CIS
1753,1982,36725.7463342885,44503.666573122,0.4521237445868335,CIS
1754,1983,36228.3841834862,43234.3104282091,0.4559168847787112,CIS
1755,1984,40475.6030242592,45914.8084895627,0.4685196228956887,CIS
1756,1985,44125.1070415306,54111.0790498682,0.4491736578665286,CIS
1757,1986,42981.9152202465,52006.0500777154,0.45249853584524286,CIS
1758,1987,46730.0173216228,53881.2345459628,0.46446114578838704,CIS
1759,1988,49020.8222566521,62071.5422185388,0.4412618498870767,CIS
1760,1989,50238.3947218043,67379.3451961772,0.427132801198502,CIS
1761,1990,45922.8330313329,58559.3551385962,0.43952786437286634,CIS
1762,1991,44577.2077999718,48384.5591697488,0.47952195029265565,CIS
1763,1992,47827.9751409368,43464.9967827968,0.5238954777470978,CIS
1764,1993,55045.0506671719,39340.8484644761,0.5831914636994231,CIS
1765,1994,83884.2234816103,62337.3642985958,0.5736787895348352,CIS
1766,1995,110228.340428001,83979.5817912926,0.5675790110330028,CIS
1767,1996,117492.169249356,84488.4270579412,0.5817002791228576,CIS
1768,1997,120194.069382967,93458.7982245145,0.5625670777505547,CIS
1769,1998,102480.745657135,80241.7508681693,0.5608545614575869,CIS
1770,1999,101840.052808738,61047.4855278389,0.6252169677848799,CIS
1771,2000,145136.235711,72286.688801,0.6675295902525202,CIS
1772,2001,125838.976296,78961.665232,0.6144462017165874,CIS
1773,2002,153324.595547,89884.054965,0.6304241038475517,CIS
1774,2003,191358.550085,115713.566904,0.6231713643080621,CIS
1775,2004,246935.883209,144906.505655,0.6301918583257364,CIS
1776,2005,334947.781534,187257.705536,0.6414099235405033,CIS
1777,2006,414179.356582,247756.985563,0.62570874298857,CIS
1778,2007,503256.413393,353752.338683,0.5872243570137671,CIS
