,year,Population growth rate - Sex: all - Age: all - Variant: estimates,country
0,1950,1.275,AFG
1,1951,1.36,AFG
2,1952,1.374,AFG
3,1953,1.335,AFG
4,1954,1.394,AFG
5,1955,1.485,AFG
6,1956,1.55,AFG
7,1957,1.596,AFG
8,1958,1.525,AFG
9,1959,1.789,AFG
10,1960,1.913,AFG
11,1961,2.01,AFG
12,1962,2.078,AFG
13,1963,2.132,AFG
14,1964,2.19,AFG
15,1965,2.276,AFG
16,1966,2.263,AFG
17,1967,2.349,AFG
18,1968,2.372,AFG
19,1969,2.413,AFG
20,1970,2.477,AFG
21,1971,2.382,AFG
22,1972,2.502,AFG
23,1973,2.567,AFG
24,1974,2.488,AFG
25,1975,2.344,AFG
26,1976,2.086,AFG
27,1977,2.17,AFG
28,1978,1.851,AFG
29,1979,-1.199,AFG
30,1980,-6.144,AFG
31,1981,-13.883,AFG
32,1982,-2.164,AFG
33,1983,0.833,AFG
34,1984,4.053,AFG
35,1985,0.173,AFG
36,1986,-0.292,AFG
37,1987,-0.274,AFG
38,1988,2.622,AFG
39,1989,3.364,AFG
40,1990,-0.467,AFG
41,1991,3.618,AFG
42,1992,12.347,AFG
43,1993,11.328,AFG
44,1994,5.689,AFG
45,1995,4.136,AFG
46,1996,3.88,AFG
47,1997,3.732,AFG
48,1998,3.796,AFG
49,1999,3.663,AFG
50,2000,-1.208,AFG
51,2001,2.718,AFG
52,2002,7.658,AFG
53,2003,4.723,AFG
54,2004,2.469,AFG
55,2005,4.533,AFG
56,2006,3.67,AFG
57,2007,0.149,AFG
58,2008,4.181,AFG
59,2009,3.131,AFG
60,2010,2.744,AFG
61,2011,4.605,AFG
62,2012,3.513,AFG
63,2013,3.327,AFG
64,2014,3.927,AFG
65,2015,2.337,AFG
66,2016,2.729,AFG
67,2017,2.885,AFG
68,2018,2.935,AFG
69,2019,3.032,AFG
70,2020,3.272,AFG
71,2021,1.462,AFG
72,2022,1.41,AFG
74,1950,2.052,Africa (UN)
75,1951,2.102,Africa (UN)
76,1952,2.137,Africa (UN)
77,1953,2.149,Africa (UN)
78,1954,2.188,Africa (UN)
79,1955,2.223,Africa (UN)
80,1956,2.249,Africa (UN)
81,1957,2.219,Africa (UN)
82,1958,2.192,Africa (UN)
83,1959,2.351,Africa (UN)
84,1960,2.389,Africa (UN)
85,1961,2.407,Africa (UN)
86,1962,2.447,Africa (UN)
87,1963,2.467,Africa (UN)
88,1964,2.507,Africa (UN)
89,1965,2.51,Africa (UN)
90,1966,2.557,Africa (UN)
91,1967,2.599,Africa (UN)
92,1968,2.63,Africa (UN)
93,1969,2.624,Africa (UN)
94,1970,2.653,Africa (UN)
95,1971,2.625,Africa (UN)
96,1972,2.627,Africa (UN)
97,1973,2.754,Africa (UN)
98,1974,2.752,Africa (UN)
99,1975,2.851,Africa (UN)
100,1976,2.834,Africa (UN)
101,1977,2.74,Africa (UN)
102,1978,2.992,Africa (UN)
103,1979,2.918,Africa (UN)
104,1980,2.902,Africa (UN)
105,1981,3.039,Africa (UN)
106,1982,3.032,Africa (UN)
107,1983,2.839,Africa (UN)
108,1984,2.91,Africa (UN)
109,1985,2.901,Africa (UN)
110,1986,2.843,Africa (UN)
111,1987,2.851,Africa (UN)
112,1988,2.737,Africa (UN)
113,1989,2.757,Africa (UN)
114,1990,2.729,Africa (UN)
115,1991,2.585,Africa (UN)
116,1992,2.626,Africa (UN)
117,1993,2.629,Africa (UN)
118,1994,2.443,Africa (UN)
119,1995,2.584,Africa (UN)
120,1996,2.478,Africa (UN)
121,1997,2.492,Africa (UN)
122,1998,2.531,Africa (UN)
123,1999,2.494,Africa (UN)
124,2000,2.505,Africa (UN)
125,2001,2.514,Africa (UN)
126,2002,2.523,Africa (UN)
127,2003,2.525,Africa (UN)
128,2004,2.555,Africa (UN)
129,2005,2.553,Africa (UN)
130,2006,2.555,Africa (UN)
131,2007,2.574,Africa (UN)
132,2008,2.601,Africa (UN)
133,2009,2.579,Africa (UN)
134,2010,2.605,Africa (UN)
135,2011,2.539,Africa (UN)
136,2012,2.61,Africa (UN)
137,2013,2.625,Africa (UN)
138,2014,2.562,Africa (UN)
139,2015,2.561,Africa (UN)
140,2016,2.479,Africa (UN)
141,2017,2.523,Africa (UN)
142,2018,2.482,Africa (UN)
143,2019,2.414,Africa (UN)
144,2020,2.396,Africa (UN)
145,2021,2.318,Africa (UN)
146,2022,2.315,Africa (UN)
148,1950,2.144,ALB
149,1951,2.372,ALB
150,1952,2.577,ALB
151,1953,2.733,ALB
152,1954,2.774,ALB
153,1955,2.623,ALB
154,1956,2.658,ALB
155,1957,2.907,ALB
156,1958,3.141,ALB
157,1959,3.359,ALB
158,1960,3.346,ALB
159,1961,2.568,ALB
160,1962,2.653,ALB
161,1963,2.727,ALB
162,1964,2.795,ALB
163,1965,2.865,ALB
164,1966,2.933,ALB
165,1967,2.975,ALB
166,1968,2.943,ALB
167,1969,2.595,ALB
168,1970,2.453,ALB
169,1971,2.418,ALB
170,1972,2.381,ALB
171,1973,2.354,ALB
172,1974,2.31,ALB
173,1975,2.261,ALB
174,1976,2.228,ALB
175,1977,2.186,ALB
176,1978,2.284,ALB
177,1979,1.998,ALB
178,1980,1.992,ALB
179,1981,1.989,ALB
180,1982,2.019,ALB
181,1983,2.03,ALB
182,1984,2.047,ALB
183,1985,2.045,ALB
184,1986,1.974,ALB
185,1987,1.951,ALB
186,1988,2.077,ALB
187,1989,0.864,ALB
188,1990,0.214,ALB
189,1991,0.069,ALB
190,1992,-0.075,ALB
191,1993,-0.21,ALB
192,1994,-0.304,ALB
193,1995,-0.36,ALB
194,1996,-0.433,ALB
195,1997,-0.557,ALB
196,1998,-0.656,ALB
197,1999,-0.691,ALB
198,2000,-0.723,ALB
199,2001,-0.43,ALB
200,2002,-0.452,ALB
201,2003,-0.572,ALB
202,2004,-0.678,ALB
203,2005,-0.779,ALB
204,2006,-0.876,ALB
205,2007,-0.963,ALB
206,2008,-1.029,ALB
207,2009,-1.084,ALB
208,2010,-1.141,ALB
209,2011,-0.035,ALB
210,2012,-0.068,ALB
211,2013,-0.099,ALB
212,2014,-0.164,ALB
213,2015,-0.189,ALB
214,2016,0.136,ALB
215,2017,-0.11,ALB
216,2018,-0.167,ALB
217,2019,-0.472,ALB
218,2020,-0.435,ALB
219,2021,-1.128,ALB
220,2022,-0.421,ALB
222,1950,2.786,DZA
223,1951,2.714,DZA
224,1952,2.637,DZA
225,1953,2.577,DZA
226,1954,2.314,DZA
227,1955,2.288,DZA
228,1956,2.243,DZA
229,1957,2.198,DZA
230,1958,2.161,DZA
231,1959,2.102,DZA
232,1960,2.06,DZA
233,1961,1.484,DZA
234,1962,1.451,DZA
235,1963,1.598,DZA
236,1964,1.674,DZA
237,1965,1.362,DZA
238,1966,2.222,DZA
239,1967,2.27,DZA
240,1968,2.283,DZA
241,1969,2.271,DZA
242,1970,2.246,DZA
243,1971,2.276,DZA
244,1972,2.325,DZA
245,1973,2.389,DZA
246,1974,2.458,DZA
247,1975,4.582,DZA
248,1976,4.528,DZA
249,1977,2.767,DZA
250,1978,2.92,DZA
251,1979,3.039,DZA
252,1980,3.186,DZA
253,1981,3.3,DZA
254,1982,3.367,DZA
255,1983,3.417,DZA
256,1984,3.41,DZA
257,1985,3.399,DZA
258,1986,3.192,DZA
259,1987,2.859,DZA
260,1988,2.744,DZA
261,1989,2.538,DZA
262,1990,2.421,DZA
263,1991,2.347,DZA
264,1992,2.521,DZA
265,1993,2.294,DZA
266,1994,2.133,DZA
267,1995,2.005,DZA
268,1996,1.911,DZA
269,1997,1.818,DZA
270,1998,1.371,DZA
271,1999,1.406,DZA
272,2000,1.393,DZA
273,2001,1.354,DZA
274,2002,1.307,DZA
275,2003,1.351,DZA
276,2004,1.441,DZA
277,2005,1.486,DZA
278,2006,1.596,DZA
279,2007,1.741,DZA
280,2008,1.896,DZA
281,2009,1.936,DZA
282,2010,1.958,DZA
283,2011,1.956,DZA
284,2012,2.029,DZA
285,2013,2.01,DZA
286,2014,2.065,DZA
287,2015,2.048,DZA
288,2016,2.064,DZA
289,2017,2.001,DZA
290,2018,1.876,DZA
291,2019,1.806,DZA
292,2020,1.62,DZA
293,2021,1.619,DZA
294,2022,1.557,DZA
296,1950,3.419,ASM
297,1951,0.592,ASM
298,1952,0.716,ASM
299,1953,0.437,ASM
300,1954,0.511,ASM
301,1955,0.488,ASM
302,1956,0.296,ASM
303,1957,-0.08,ASM
304,1958,-0.196,ASM
305,1959,-0.025,ASM
306,1960,2.25,ASM
307,1961,2.967,ASM
308,1962,3.062,ASM
309,1963,3.119,ASM
310,1964,3.211,ASM
311,1965,3.149,ASM
312,1966,2.996,ASM
313,1967,2.948,ASM
314,1968,2.999,ASM
315,1969,2.855,ASM
316,1970,2.031,ASM
317,1971,1.693,ASM
318,1972,1.64,ASM
319,1973,1.488,ASM
320,1974,1.572,ASM
321,1975,1.957,ASM
322,1976,1.883,ASM
323,1977,1.835,ASM
324,1978,1.767,ASM
325,1979,1.651,ASM
326,1980,3.275,ASM
327,1981,3.88,ASM
328,1982,3.856,ASM
329,1983,3.8,ASM
330,1984,3.754,ASM
331,1985,3.732,ASM
332,1986,3.638,ASM
333,1987,3.628,ASM
334,1988,3.577,ASM
335,1989,3.523,ASM
336,1990,2.8,ASM
337,1991,2.46,ASM
338,1992,2.315,ASM
339,1993,2.205,ASM
340,1994,2.103,ASM
341,1995,2.011,ASM
342,1996,1.917,ASM
343,1997,1.829,ASM
344,1998,1.715,ASM
345,1999,1.565,ASM
346,2000,0.586,ASM
347,2001,0.114,ASM
348,2002,-0.086,ASM
349,2003,-0.233,ASM
350,2004,-0.303,ASM
351,2005,-0.406,ASM
352,2006,-0.452,ASM
353,2007,-0.478,ASM
354,2008,-0.541,ASM
355,2009,-0.537,ASM
356,2010,-0.545,ASM
357,2011,-0.665,ASM
358,2012,-0.822,ASM
359,2013,-0.959,ASM
360,2014,-1.051,ASM
361,2015,-1.161,ASM
362,2016,-1.25,ASM
363,2017,-1.287,ASM
364,2018,-1.357,ASM
365,2019,-1.41,ASM
366,2020,-0.376,ASM
367,2021,-1.8,ASM
368,2022,-1.823,ASM
370,1950,1.601,AND
371,1951,-7.755,AND
372,1952,-5.042,AND
373,1953,0.188,AND
374,1954,9.79,AND
375,1955,9.398,AND
376,1956,9.157,AND
377,1957,8.804,AND
378,1958,8.496,AND
379,1959,8.225,AND
380,1960,7.975,AND
381,1961,7.658,AND
382,1962,7.4,AND
383,1963,7.036,AND
384,1964,6.733,AND
385,1965,6.471,AND
386,1966,7.538,AND
387,1967,8.34,AND
388,1968,7.911,AND
389,1969,7.549,AND
390,1970,7.227,AND
391,1971,6.938,AND
392,1972,6.728,AND
393,1973,6.478,AND
394,1974,6.221,AND
395,1975,5.99,AND
396,1976,5.644,AND
397,1977,5.346,AND
398,1978,4.932,AND
399,1979,4.455,AND
400,1980,3.977,AND
401,1981,3.635,AND
402,1982,4.75,AND
403,1983,4.337,AND
404,1984,3.923,AND
405,1985,3.298,AND
406,1986,5.194,AND
407,1987,3.068,AND
408,1988,4.177,AND
409,1989,0.678,AND
410,1990,6.87,AND
411,1991,7.996,AND
412,1992,4.212,AND
413,1993,5.707,AND
414,1994,-1.438,AND
415,1995,-0.739,AND
416,1996,0.963,AND
417,1997,1.26,AND
418,1998,0.84,AND
419,1999,0.163,AND
420,2000,-0.237,AND
421,2001,0.744,AND
422,2002,1.23,AND
423,2003,7.402,AND
424,2004,6.108,AND
425,2005,2.135,AND
426,2006,3.364,AND
427,2007,2.329,AND
428,2008,1.589,AND
429,2009,-0.644,AND
430,2010,-7.219,AND
431,2011,-0.028,AND
432,2012,-2.442,AND
433,2013,-1.869,AND
434,2014,-2.045,AND
435,2015,-2.243,AND
436,2016,2.265,AND
437,2017,2.07,AND
438,2018,1.692,AND
439,2019,1.767,AND
440,2020,0.597,AND
441,2021,1.921,AND
442,2022,1.478,AND
444,1950,1.208,AGO
445,1951,1.008,AGO
446,1952,1.115,AGO
447,1953,1.222,AGO
448,1954,1.326,AGO
449,1955,1.425,AGO
450,1956,1.512,AGO
451,1957,1.578,AGO
452,1958,1.628,AGO
453,1959,1.663,AGO
454,1960,1.673,AGO
455,1961,0.987,AGO
456,1962,0.992,AGO
457,1963,1.015,AGO
458,1964,1.04,AGO
459,1965,1.064,AGO
460,1966,1.076,AGO
461,1967,1.077,AGO
462,1968,1.07,AGO
463,1969,1.058,AGO
464,1970,2.003,AGO
465,1971,2.66,AGO
466,1972,3.352,AGO
467,1973,3.469,AGO
468,1974,3.449,AGO
469,1975,3.377,AGO
470,1976,3.285,AGO
471,1977,3.471,AGO
472,1978,3.483,AGO
473,1979,3.532,AGO
474,1980,3.642,AGO
475,1981,3.643,AGO
476,1982,3.712,AGO
477,1983,3.72,AGO
478,1984,3.693,AGO
479,1985,3.665,AGO
480,1986,3.574,AGO
481,1987,3.377,AGO
482,1988,3.429,AGO
483,1989,3.401,AGO
484,1990,3.384,AGO
485,1991,3.335,AGO
486,1992,3.215,AGO
487,1993,3.176,AGO
488,1994,3.305,AGO
489,1995,3.374,AGO
490,1996,3.389,AGO
491,1997,3.402,AGO
492,1998,3.294,AGO
493,1999,3.297,AGO
494,2000,3.327,AGO
495,2001,3.379,AGO
496,2002,3.435,AGO
497,2003,3.55,AGO
498,2004,3.637,AGO
499,2005,3.655,AGO
500,2006,3.714,AGO
501,2007,3.77,AGO
502,2008,3.786,AGO
503,2009,3.817,AGO
504,2010,3.884,AGO
505,2011,3.891,AGO
506,2012,3.876,AGO
507,2013,3.825,AGO
508,2014,3.644,AGO
509,2015,3.568,AGO
510,2016,3.585,AGO
511,2017,3.498,AGO
512,2018,3.41,AGO
513,2019,3.366,AGO
514,2020,3.173,AGO
515,2021,3.19,AGO
516,2022,3.098,AGO
518,1950,4.479,AIA
519,1951,3.704,AIA
520,1952,2.31,AIA
521,1953,2.617,AIA
522,1954,2.445,AIA
523,1955,0.975,AIA
524,1956,0.398,AIA
525,1957,0.138,AIA
526,1958,-0.19,AIA
527,1959,-0.415,AIA
528,1960,0.571,AIA
529,1961,0.842,AIA
530,1962,0.953,AIA
531,1963,0.692,AIA
532,1964,0.854,AIA
533,1965,0.748,AIA
534,1966,1.038,AIA
535,1967,0.881,AIA
536,1968,0.841,AIA
537,1969,0.93,AIA
538,1970,1.0,AIA
539,1971,0.787,AIA
540,1972,0.718,AIA
541,1973,0.651,AIA
542,1974,0.324,AIA
543,1975,0.308,AIA
544,1976,0.353,AIA
545,1977,0.321,AIA
546,1978,0.244,AIA
547,1979,0.228,AIA
548,1980,0.121,AIA
549,1981,0.363,AIA
550,1982,0.347,AIA
551,1983,0.241,AIA
552,1984,2.581,AIA
553,1985,3.61,AIA
554,1986,3.851,AIA
555,1987,3.669,AIA
556,1988,3.842,AIA
557,1989,3.907,AIA
558,1990,3.596,AIA
559,1991,3.505,AIA
560,1992,2.828,AIA
561,1993,2.579,AIA
562,1994,2.535,AIA
563,1995,2.615,AIA
564,1996,2.736,AIA
565,1997,2.721,AIA
566,1998,2.724,AIA
567,1999,2.97,AIA
568,2000,3.123,AIA
569,2001,2.101,AIA
570,2002,1.617,AIA
571,2003,1.575,AIA
572,2004,1.649,AIA
573,2005,1.622,AIA
574,2006,1.66,AIA
575,2007,1.625,AIA
576,2008,1.715,AIA
577,2009,1.731,AIA
578,2010,1.761,AIA
579,2011,1.584,AIA
580,2012,-4.455,AIA
581,2013,2.581,AIA
582,2014,4.451,AIA
583,2015,2.47,AIA
584,2016,-0.901,AIA
585,2017,2.343,AIA
586,2018,1.725,AIA
587,2019,-0.331,AIA
588,2020,0.593,AIA
589,2021,-5.701,AIA
590,2022,1.657,AIA
592,1950,2.181,ATG
593,1951,2.072,ATG
594,1952,2.093,ATG
595,1953,2.024,ATG
596,1954,2.021,ATG
597,1955,2.001,ATG
598,1956,1.962,ATG
599,1957,1.979,ATG
600,1958,1.998,ATG
601,1959,1.961,ATG
602,1960,1.953,ATG
603,1961,1.394,ATG
604,1962,1.401,ATG
605,1963,1.379,ATG
606,1964,1.632,ATG
607,1965,1.561,ATG
608,1966,1.516,ATG
609,1967,1.541,ATG
610,1968,1.576,ATG
611,1969,1.614,ATG
612,1970,0.6,ATG
613,1971,0.025,ATG
614,1972,-0.378,ATG
615,1973,-0.469,ATG
616,1974,-0.414,ATG
617,1975,-0.273,ATG
618,1976,0.031,ATG
619,1977,0.283,ATG
620,1978,0.267,ATG
621,1979,0.467,ATG
622,1980,0.274,ATG
623,1981,0.196,ATG
624,1982,0.176,ATG
625,1983,0.283,ATG
626,1984,-0.442,ATG
627,1985,-0.458,ATG
628,1986,-0.518,ATG
629,1987,-0.513,ATG
630,1988,-0.501,ATG
631,1989,-0.434,ATG
632,1990,-0.385,ATG
633,1991,1.395,ATG
634,1992,1.787,ATG
635,1993,1.851,ATG
636,1994,1.94,ATG
637,1995,2.046,ATG
638,1996,2.085,ATG
639,1997,2.015,ATG
640,1998,1.777,ATG
641,1999,1.658,ATG
642,2000,1.695,ATG
643,2001,1.372,ATG
644,2002,1.145,ATG
645,2003,1.055,ATG
646,2004,1.079,ATG
647,2005,1.172,ATG
648,2006,1.308,ATG
649,2007,1.403,ATG
650,2008,1.532,ATG
651,2009,1.487,ATG
652,2010,1.222,ATG
653,2011,1.135,ATG
654,2012,1.004,ATG
655,2013,0.832,ATG
656,2014,0.753,ATG
657,2015,0.693,ATG
658,2016,0.556,ATG
659,2017,0.55,ATG
660,2018,0.46,ATG
661,2019,0.5,ATG
662,2020,0.553,ATG
663,2021,0.539,ATG
664,2022,0.521,ATG
666,1950,1.979,ARG
667,1951,1.96,ARG
668,1952,1.947,ARG
669,1953,1.886,ARG
670,1954,1.848,ARG
671,1955,1.763,ARG
672,1956,1.774,ARG
673,1957,1.694,ARG
674,1958,1.695,ARG
675,1959,1.679,ARG
676,1960,1.65,ARG
677,1961,1.66,ARG
678,1962,1.653,ARG
679,1963,1.634,ARG
680,1964,1.587,ARG
681,1965,1.541,ARG
682,1966,1.522,ARG
683,1967,1.529,ARG
684,1968,1.531,ARG
685,1969,1.539,ARG
686,1970,1.581,ARG
687,1971,1.568,ARG
688,1972,1.598,ARG
689,1973,1.635,ARG
690,1974,1.654,ARG
691,1975,1.562,ARG
692,1976,1.568,ARG
693,1977,1.599,ARG
694,1978,1.599,ARG
695,1979,1.595,ARG
696,1980,1.591,ARG
697,1981,1.613,ARG
698,1982,1.596,ARG
699,1983,1.608,ARG
700,1984,1.577,ARG
701,1985,1.568,ARG
702,1986,1.543,ARG
703,1987,1.548,ARG
704,1988,1.552,ARG
705,1989,1.511,ARG
706,1990,1.473,ARG
707,1991,1.404,ARG
708,1992,1.365,ARG
709,1993,1.342,ARG
710,1994,1.338,ARG
711,1995,1.283,ARG
712,1996,1.233,ARG
713,1997,1.197,ARG
714,1998,1.154,ARG
715,1999,1.152,ARG
716,2000,1.115,ARG
717,2001,1.081,ARG
718,2002,1.058,ARG
719,2003,1.009,ARG
720,2004,1.019,ARG
721,2005,1.036,ARG
722,2006,1.021,ARG
723,2007,0.962,ARG
724,2008,1.064,ARG
725,2009,1.056,ARG
726,2010,1.057,ARG
727,2011,1.073,ARG
728,2012,0.983,ARG
729,2013,1.003,ARG
730,2014,1.06,ARG
731,2015,1.034,ARG
732,2016,0.904,ARG
733,2017,0.858,ARG
734,2018,0.788,ARG
735,2019,0.635,ARG
736,2020,0.336,ARG
737,2021,0.196,ARG
738,2022,0.225,ARG
740,1950,2.401,ARM
741,1951,2.51,ARM
742,1952,2.618,ARM
743,1953,2.736,ARM
744,1954,2.86,ARM
745,1955,2.98,ARM
746,1956,3.158,ARM
747,1957,3.274,ARM
748,1958,3.353,ARM
749,1959,3.436,ARM
750,1960,3.408,ARM
751,1961,3.323,ARM
752,1962,3.232,ARM
753,1963,3.128,ARM
754,1964,3.015,ARM
755,1965,2.889,ARM
756,1966,2.759,ARM
757,1967,2.631,ARM
758,1968,2.491,ARM
759,1969,2.247,ARM
760,1970,1.969,ARM
761,1971,2.007,ARM
762,1972,2.048,ARM
763,1973,2.082,ARM
764,1974,2.099,ARM
765,1975,2.116,ARM
766,1976,3.228,ARM
767,1977,3.377,ARM
768,1978,3.372,ARM
769,1979,0.968,ARM
770,1980,0.902,ARM
771,1981,0.888,ARM
772,1982,0.878,ARM
773,1983,0.91,ARM
774,1984,1.147,ARM
775,1985,1.067,ARM
776,1986,1.033,ARM
777,1987,1.0,ARM
778,1988,0.593,ARM
779,1989,4.533,ARM
780,1990,1.746,ARM
781,1991,1.707,ARM
782,1992,-4.086,ARM
783,1993,-2.639,ARM
784,1994,-2.565,ARM
785,1995,-0.839,ARM
786,1996,-0.913,ARM
787,1997,-1.077,ARM
788,1998,-1.272,ARM
789,1999,-1.308,ARM
790,2000,-1.341,ARM
791,2001,-1.318,ARM
792,2002,-0.549,ARM
793,2003,-0.544,ARM
794,2004,-0.54,ARM
795,2005,-0.534,ARM
796,2006,-0.531,ARM
797,2007,-0.512,ARM
798,2008,-0.487,ARM
799,2009,-0.493,ARM
800,2010,-0.49,ARM
801,2011,-0.043,ARM
802,2012,-0.008,ARM
803,2013,0.007,ARM
804,2014,-0.014,ARM
805,2015,-0.072,ARM
806,2016,-0.092,ARM
807,2017,-0.171,ARM
808,2018,-0.173,ARM
809,2019,-0.24,ARM
810,2020,-0.664,ARM
811,2021,-0.763,ARM
812,2022,1.491,ARM
814,1950,2.546,ABW
815,1951,2.627,ABW
816,1952,2.643,ABW
817,1953,2.688,ABW
818,1954,2.64,ABW
819,1955,2.654,ABW
820,1956,2.591,ABW
821,1957,2.543,ABW
822,1958,2.468,ABW
823,1959,2.458,ABW
824,1960,1.009,ABW
825,1961,1.366,ABW
826,1962,1.286,ABW
827,1963,1.121,ABW
828,1964,1.034,ABW
829,1965,0.938,ABW
830,1966,0.789,ABW
831,1967,0.219,ABW
832,1968,0.049,ABW
833,1969,-0.108,ABW
834,1970,-0.236,ABW
835,1971,-0.342,ABW
836,1972,0.732,ABW
837,1973,1.092,ABW
838,1974,1.204,ABW
839,1975,1.08,ABW
840,1976,0.424,ABW
841,1977,0.358,ABW
842,1978,0.318,ABW
843,1979,0.255,ABW
844,1980,0.206,ABW
845,1981,0.524,ABW
846,1982,0.712,ABW
847,1983,0.702,ABW
848,1984,0.477,ABW
849,1985,0.127,ABW
850,1986,-0.253,ABW
851,1987,-0.42,ABW
852,1988,-0.226,ABW
853,1989,0.814,ABW
854,1990,2.437,ABW
855,1991,3.983,ABW
856,1992,2.92,ABW
857,1993,3.356,ABW
858,1994,3.251,ABW
859,1995,3.335,ABW
860,1996,3.308,ABW
861,1997,3.271,ABW
862,1998,3.209,ABW
863,1999,3.124,ABW
864,2000,2.117,ABW
865,2001,1.338,ABW
866,2002,1.028,ABW
867,2003,1.001,ABW
868,2004,0.945,ABW
869,2005,1.225,ABW
870,2006,1.228,ABW
871,2007,1.261,ABW
872,2008,1.244,ABW
873,2009,1.237,ABW
874,2010,0.95,ABW
875,2011,0.776,ABW
876,2012,0.767,ABW
877,2013,0.787,ABW
878,2014,0.796,ABW
879,2015,0.769,ABW
880,2016,0.746,ABW
881,2017,0.686,ABW
882,2018,0.637,ABW
883,2019,0.57,ABW
884,2020,0.036,ABW
885,2021,0.257,ABW
886,2022,0.16,ABW
888,1950,1.921,Asia (UN)
889,1951,1.95,Asia (UN)
890,1952,2.251,Asia (UN)
891,1953,2.153,Asia (UN)
892,1954,2.299,Asia (UN)
893,1955,2.313,Asia (UN)
894,1956,2.246,Asia (UN)
895,1957,2.372,Asia (UN)
896,1958,2.24,Asia (UN)
897,1959,1.748,Asia (UN)
898,1960,1.48,Asia (UN)
899,1961,1.616,Asia (UN)
900,1962,2.427,Asia (UN)
901,1963,2.746,Asia (UN)
902,1964,2.536,Asia (UN)
903,1965,2.445,Asia (UN)
904,1966,2.371,Asia (UN)
905,1967,2.328,Asia (UN)
906,1968,2.49,Asia (UN)
907,1969,2.428,Asia (UN)
908,1970,2.448,Asia (UN)
909,1971,2.248,Asia (UN)
910,1972,2.284,Asia (UN)
911,1973,2.225,Asia (UN)
912,1974,2.143,Asia (UN)
913,1975,2.012,Asia (UN)
914,1976,1.963,Asia (UN)
915,1977,1.919,Asia (UN)
916,1978,1.877,Asia (UN)
917,1979,1.949,Asia (UN)
918,1980,1.956,Asia (UN)
919,1981,1.983,Asia (UN)
920,1982,2.048,Asia (UN)
921,1983,1.957,Asia (UN)
922,1984,1.971,Asia (UN)
923,1985,1.973,Asia (UN)
924,1986,2.024,Asia (UN)
925,1987,2.032,Asia (UN)
926,1988,1.96,Asia (UN)
927,1989,1.957,Asia (UN)
928,1990,1.907,Asia (UN)
929,1991,1.744,Asia (UN)
930,1992,1.69,Asia (UN)
931,1993,1.605,Asia (UN)
932,1994,1.544,Asia (UN)
933,1995,1.527,Asia (UN)
934,1996,1.492,Asia (UN)
935,1997,1.454,Asia (UN)
936,1998,1.419,Asia (UN)
937,1999,1.376,Asia (UN)
938,2000,1.377,Asia (UN)
939,2001,1.334,Asia (UN)
940,2002,1.252,Asia (UN)
941,2003,1.251,Asia (UN)
942,2004,1.228,Asia (UN)
943,2005,1.217,Asia (UN)
944,2006,1.217,Asia (UN)
945,2007,1.184,Asia (UN)
946,2008,1.184,Asia (UN)
947,2009,1.197,Asia (UN)
948,2010,1.17,Asia (UN)
949,2011,1.159,Asia (UN)
950,2012,1.164,Asia (UN)
951,2013,1.098,Asia (UN)
952,2014,1.078,Asia (UN)
953,2015,1.001,Asia (UN)
954,2016,1.001,Asia (UN)
955,2017,0.936,Asia (UN)
956,2018,0.856,Asia (UN)
957,2019,0.817,Asia (UN)
958,2020,0.713,Asia (UN)
959,2021,0.572,Asia (UN)
960,2022,0.668,Asia (UN)
962,1950,3.127,AUS
963,1951,2.709,AUS
964,1952,2.273,AUS
965,1953,1.98,AUS
966,1954,2.134,AUS
967,1955,2.385,AUS
968,1956,2.328,AUS
969,1957,2.167,AUS
970,1958,2.121,AUS
971,1959,2.146,AUS
972,1960,2.195,AUS
973,1961,2.034,AUS
974,1962,1.868,AUS
975,1963,1.944,AUS
976,1964,1.958,AUS
977,1965,2.118,AUS
978,1966,1.979,AUS
979,1967,1.75,AUS
980,1968,1.932,AUS
981,1969,2.057,AUS
982,1970,3.188,AUS
983,1971,3.042,AUS
984,1972,1.642,AUS
985,1973,1.547,AUS
986,1974,1.403,AUS
987,1975,1.126,AUS
988,1976,1.061,AUS
989,1977,1.158,AUS
990,1978,1.132,AUS
991,1979,1.164,AUS
992,1980,1.409,AUS
993,1981,1.661,AUS
994,1982,1.569,AUS
995,1983,1.34,AUS
996,1984,1.312,AUS
997,1985,1.422,AUS
998,1986,1.51,AUS
999,1987,1.609,AUS
1000,1988,1.693,AUS
1001,1989,1.598,AUS
1002,1990,1.427,AUS
1003,1991,1.207,AUS
1004,1992,1.041,AUS
1005,1993,0.928,AUS
1006,1994,1.031,AUS
1007,1995,1.168,AUS
1008,1996,1.14,AUS
1009,1997,1.03,AUS
1010,1998,1.086,AUS
1011,1999,1.129,AUS
1012,2000,1.21,AUS
1013,2001,1.211,AUS
1014,2002,1.15,AUS
1015,2003,1.124,AUS
1016,2004,1.156,AUS
1017,2005,1.301,AUS
1018,2006,1.594,AUS
1019,2007,1.908,AUS
1020,2008,2.023,AUS
1021,2009,1.802,AUS
1022,2010,1.466,AUS
1023,2011,1.565,AUS
1024,2012,1.724,AUS
1025,2013,1.607,AUS
1026,2014,1.463,AUS
1027,2015,1.501,AUS
1028,2016,1.662,AUS
1029,2017,1.608,AUS
1030,2018,1.511,AUS
1031,2019,1.359,AUS
1032,2020,0.683,AUS
1033,2021,0.961,AUS
1034,2022,0.915,AUS
