,year,General government final consumption expenditure (% of GDP),country
221,1960,,Last Updated: 10/07/2025
222,1961,..,AFG
223,1961,..,ALB
224,1961,23.2812602858204,DZA
225,1961,..,ASM
226,1961,..,AND
227,1961,..,AGO
228,1961,..,ATG
229,1961,7.78963204832989,ARG
230,1961,..,ARM
231,1961,..,ABW
232,1961,11.3172119487909,AUS
233,1961,..,AUT
234,1961,..,AZE
235,1961,..,BHS
236,1961,..,BHR
237,1961,6.35294149088275,BGD
238,1961,..,BRB
239,1961,..,BLR
240,1961,..,BEL
241,1961,..,BLZ
242,1961,10.1673019035612,BEN
243,1961,..,BMU
244,1961,..,BTN
245,1961,9.23645320197044,BOL
246,1961,..,BIH
247,1961,19.4435112458697,BWA
248,1961,12.9162169083743,BRA
249,1961,..,VGB
250,1961,..,BRN
251,1961,..,BGR
252,1961,7.65368707769187,BFA
253,1961,2.58620699847121,BDI
254,1961,..,CPV
255,1961,..,KHM
256,1961,..,CMR
257,1961,16.0627542530726,CAN
258,1961,..,CYM
259,1961,19.2053010065348,CAF
260,1961,12.6685450915676,TCD
261,1961,..,Channel Islands
262,1961,10.2864269214559,CHL
263,1961,14.4789051745081,CHN
264,1961,6.781266888005,COL
265,1961,..,COM
266,1961,..,COD
267,1961,13.6021457544234,COG
268,1961,11.6205208977009,CRI
269,1961,8.87139590629046,CIV
270,1961,..,HRV
271,1961,..,CUB
272,1961,..,CUW
273,1961,..,CYP
274,1961,..,CZE
275,1961,..,DNK
276,1961,..,DJI
277,1961,..,DMA
278,1961,13.270138122569,DOM
279,1961,9.50732324477706,ECU
280,1961,16.3493483260925,EGY
281,1961,..,SLV
282,1961,..,GNQ
283,1961,..,ERI
284,1961,..,EST
285,1961,..,SWZ
286,1961,..,ETH
287,1961,..,FRO
288,1961,..,FJI
289,1961,..,FIN
290,1961,15.2758509221733,FRA
291,1961,..,PYF
292,1961,10.2714050298011,GAB
293,1961,..,GMB
294,1961,..,GEO
295,1961,..,DEU
296,1961,10.8602150537634,GHA
297,1961,..,GIB
298,1961,11.8509885497247,GRC
299,1961,..,GRL
300,1961,..,GRD
301,1961,..,GUM
302,1961,7.71802802247869,GTM
303,1961,..,GIN
304,1961,..,GNB
305,1961,11.9271814187068,GUY
306,1961,..,HTI
307,1961,11.5103874227962,HND
308,1961,6.31790744466801,HKG
309,1961,..,HUN
310,1961,..,ISL
311,1961,6.89466573155263,IND
312,1961,11.7847266539034,IDN
313,1961,10.4670418370445,IRN
314,1961,..,IRQ
315,1961,..,IRL
316,1961,..,IMN
317,1961,..,ISR
318,1961,..,ITA
319,1961,7.30223818444856,JAM
320,1961,..,JPN
321,1961,..,JOR
322,1961,..,KAZ
323,1961,12.0286048804568,KEN
324,1961,..,KIR
325,1961,..,PRK
326,1961,13.2913490222075,KOR
327,1961,..,XKX
328,1961,..,KWT
329,1961,..,KGZ
330,1961,..,LAO
331,1961,..,LVA
332,1961,..,LBN
333,1961,21.1764705882353,LSO
334,1961,..,LBR
335,1961,..,LBY
336,1961,..,LIE
337,1961,..,LTU
338,1961,..,LUX
339,1961,..,MAC
340,1961,15.4096211017422,MDG
341,1961,..,MWI
342,1961,13.6379251116455,MYS
343,1961,..,MDV
344,1961,..,MLI
345,1961,..,MLT
346,1961,..,MHL
347,1961,..,MRT
348,1961,..,MUS
349,1961,5.71485875706215,MEX
350,1961,..,FSM
351,1961,..,MDA
352,1961,..,MCO
353,1961,..,MNG
354,1961,..,MNE
355,1961,12.7792386810503,MAR
356,1961,..,MOZ
357,1961,..,MMR
358,1961,..,NAM
359,1961,..,NRU
360,1961,..,NPL
361,1961,..,NLD
362,1961,..,NCL
363,1961,..,NZL
364,1961,8.55637297289446,NIC
365,1961,9.23701122202436,NER
366,1961,..,NGA
367,1961,..,MKD
368,1961,..,MNP
369,1961,..,NOR
370,1961,..,OMN
371,1961,9.79452404017743,PAK
372,1961,..,PLW
373,1961,9.94163361441726,PAN
374,1961,28.1793229643184,PNG
375,1961,..,PRY
376,1961,8.563691227928,PER
377,1961,..,PHL
378,1961,..,POL
379,1961,..,PRT
380,1961,..,PRI
381,1961,..,QAT
382,1961,..,ROU
383,1961,..,RUS
384,1961,10.1639314539106,RWA
385,1961,..,WSM
386,1961,..,SMR
387,1961,..,STP
388,1961,..,SAU
389,1961,4.84496823605349,SEN
390,1961,..,SRB
391,1961,..,SYC
392,1961,..,SLE
393,1961,8.89477506728756,SGP
394,1961,..,SXM
395,1961,..,SVK
396,1961,..,SVN
397,1961,..,SLB
398,1961,8.64863794997285,SOM
399,1961,8.36115326251897,ZAF
400,1961,..,SSD
401,1961,..,ESP
402,1961,13.3676317672727,LKA
403,1961,..,KNA
404,1961,..,LCA
405,1961,..,MAF
406,1961,..,VCT
407,1961,10.4978863316111,SDN
408,1961,..,SUR
409,1961,14.9414375541866,SWE
410,1961,..,CHE
411,1961,13.838985903273,SYR
412,1961,..,TJK
413,1961,..,TZA
414,1961,8.80547003185833,THA
415,1961,..,TLS
416,1961,..,TGO
417,1961,..,TON
418,1961,..,TTO
419,1961,..,TUN
420,1961,9.31849791376912,TUR
421,1961,..,TKM
422,1961,..,TCA
423,1961,..,TUV
424,1961,8.47289026480601,UGA
425,1961,..,UKR
426,1961,..,ARE
427,1961,17.5939492166397,GBR
428,1961,15.87869266483,USA
429,1961,10.2272727272727,URY
430,1961,..,UZB
431,1961,..,VUT
432,1961,11.3513913558319,VEN
433,1961,..,VNM
434,1961,..,VIR
435,1961,..,PSE
436,1961,..,YEM
437,1961,..,ZMB
438,1961,11.6113066871315,ZWE
442,1961,,Data from database: World Development Indicators
443,1961,,Last Updated: 10/07/2025
444,1962,..,AFG
445,1962,..,ALB
446,1962,19.4710552766199,DZA
447,1962,..,ASM
448,1962,..,AND
449,1962,..,AGO
450,1962,..,ATG
451,1962,12.1923745358372,ARG
452,1962,..,ARM
453,1962,..,ABW
454,1962,11.9680701557142,AUS
455,1962,..,AUT
456,1962,..,AZE
457,1962,..,BHS
458,1962,..,BHR
459,1962,6.31308914411734,BGD
