,year,fe_etfra,country
4,1950,0.7507970333099365,AFG
5,1951,0.7507970333099365,AFG
6,1952,0.7507970333099365,AFG
7,1953,0.7507970333099365,AFG
8,1954,0.7507970333099365,AFG
9,1955,0.7507970333099365,AFG
10,1956,0.7507970333099365,AFG
11,1957,0.7507970333099365,AFG
12,1958,0.7507970333099365,AFG
13,1959,0.7507970333099365,AFG
14,1960,0.7507970333099365,AFG
15,1961,0.7507970333099365,AFG
16,1962,0.7507970333099365,AFG
17,1963,0.7507970333099365,AFG
18,1964,0.7507970333099365,AFG
19,1965,0.7507970333099365,AFG
20,1966,0.7507970333099365,AFG
21,1967,0.7507970333099365,AFG
22,1968,0.7507970333099365,AFG
23,1969,0.7507970333099365,AFG
24,1970,0.7507970333099365,AFG
25,1971,0.7507970333099365,AFG
26,1972,0.7507970333099365,AFG
27,1973,0.7507970333099365,AFG
28,1974,0.7507970333099365,AFG
29,1975,0.7507970333099365,AFG
30,1976,0.7507970333099365,AFG
31,1977,0.7507970333099365,AFG
32,1978,0.7507970333099365,AFG
33,1979,0.7507970333099365,AFG
34,1980,0.7507970333099365,AFG
35,1981,0.7507970333099365,AFG
36,1982,0.7507970333099365,AFG
37,1983,0.7507970333099365,AFG
38,1984,0.7507970333099365,AFG
39,1985,0.7507970333099365,AFG
40,1986,0.7507970333099365,AFG
41,1987,0.7507970333099365,AFG
42,1988,0.7507970333099365,AFG
43,1989,0.7507970333099365,AFG
44,1990,0.7507970333099365,AFG
45,1991,0.7507970333099365,AFG
46,1992,0.7507970333099365,AFG
47,1993,0.7507970333099365,AFG
48,1994,0.7507970333099365,AFG
49,1995,0.7507970333099365,AFG
50,1996,0.7507970333099365,AFG
51,1997,0.7507970333099365,AFG
52,1998,0.7507970333099365,AFG
53,1999,0.7507970333099365,AFG
54,2000,0.7507970333099365,AFG
55,2001,0.7507970333099365,AFG
56,2002,0.7507970333099365,AFG
57,2003,0.7507970333099365,AFG
58,2004,0.7507970333099365,AFG
59,2005,0.7507970333099365,AFG
60,2006,0.7507970333099365,AFG
61,2007,0.7507970333099365,AFG
62,2008,0.7507970333099365,AFG
63,2009,0.7507970333099365,AFG
64,2010,0.7507970333099365,AFG
65,2011,0.7507970333099365,AFG
66,2012,0.7507970333099365,AFG
67,2013,0.7507970333099365,AFG
68,2014,0.7507970333099365,AFG
69,2015,0.7507970333099365,AFG
70,2016,0.7507970333099365,AFG
71,2017,0.7507970333099365,AFG
72,2018,0.7507970333099365,AFG
73,2019,0.7507970333099365,AFG
74,2020,0.7507970333099365,AFG
75,2021,0.7507970333099365,AFG
76,2022,0.7507970333099365,AFG
83,1950,0.0965999960899353,ALB
84,1951,0.0965999960899353,ALB
85,1952,0.0965999960899353,ALB
86,1953,0.0965999960899353,ALB
87,1954,0.0965999960899353,ALB
88,1955,0.0965999960899353,ALB
89,1956,0.0965999960899353,ALB
90,1957,0.0965999960899353,ALB
91,1958,0.0965999960899353,ALB
92,1959,0.0965999960899353,ALB
93,1960,0.0965999960899353,ALB
94,1961,0.0965999960899353,ALB
95,1962,0.0965999960899353,ALB
96,1963,0.0965999960899353,ALB
97,1964,0.0965999960899353,ALB
98,1965,0.0965999960899353,ALB
99,1966,0.0965999960899353,ALB
100,1967,0.0965999960899353,ALB
101,1968,0.0965999960899353,ALB
102,1969,0.0965999960899353,ALB
103,1970,0.0965999960899353,ALB
104,1971,0.0965999960899353,ALB
105,1972,0.0965999960899353,ALB
106,1973,0.0965999960899353,ALB
107,1974,0.0965999960899353,ALB
108,1975,0.0965999960899353,ALB
109,1976,0.0965999960899353,ALB
110,1977,0.0965999960899353,ALB
111,1978,0.0965999960899353,ALB
112,1979,0.0965999960899353,ALB
113,1980,0.0965999960899353,ALB
114,1981,0.0965999960899353,ALB
115,1982,0.0965999960899353,ALB
116,1983,0.0965999960899353,ALB
117,1984,0.0965999960899353,ALB
118,1985,0.0965999960899353,ALB
119,1986,0.0965999960899353,ALB
120,1987,0.0965999960899353,ALB
121,1988,0.0965999960899353,ALB
122,1989,0.0965999960899353,ALB
123,1990,0.0965999960899353,ALB
124,1991,0.0965999960899353,ALB
125,1992,0.0965999960899353,ALB
126,1993,0.0965999960899353,ALB
127,1994,0.0965999960899353,ALB
128,1995,0.0965999960899353,ALB
129,1996,0.0965999960899353,ALB
130,1997,0.0965999960899353,ALB
131,1998,0.0965999960899353,ALB
132,1999,0.0965999960899353,ALB
133,2000,0.0965999960899353,ALB
134,2001,0.0965999960899353,ALB
135,2002,0.0965999960899353,ALB
136,2003,0.0965999960899353,ALB
137,2004,0.0965999960899353,ALB
138,2005,0.0965999960899353,ALB
139,2006,0.0965999960899353,ALB
140,2007,0.0965999960899353,ALB
141,2008,0.0965999960899353,ALB
142,2009,0.0965999960899353,ALB
143,2010,0.0965999960899353,ALB
144,2011,0.0965999960899353,ALB
145,2012,0.0965999960899353,ALB
146,2013,0.0965999960899353,ALB
147,2014,0.0965999960899353,ALB
148,2015,0.0965999960899353,ALB
149,2016,0.0965999960899353,ALB
150,2017,0.0965999960899353,ALB
151,2018,0.0965999960899353,ALB
152,2019,0.0965999960899353,ALB
153,2020,0.0965999960899353,ALB
154,2021,0.0965999960899353,ALB
155,2022,0.0965999960899353,ALB
158,1963,0.3199999928474426,DZA
159,1964,0.3199999928474426,DZA
160,1965,0.3199999928474426,DZA
161,1966,0.3199999928474426,DZA
162,1967,0.3199999928474426,DZA
163,1968,0.3199999928474426,DZA
164,1969,0.3199999928474426,DZA
165,1970,0.3199999928474426,DZA
166,1971,0.3199999928474426,DZA
167,1972,0.3199999928474426,DZA
168,1973,0.3199999928474426,DZA
169,1974,0.3199999928474426,DZA
170,1975,0.3199999928474426,DZA
171,1976,0.3199999928474426,DZA
172,1977,0.3199999928474426,DZA
173,1978,0.3199999928474426,DZA
174,1979,0.3199999928474426,DZA
175,1980,0.3199999928474426,DZA
176,1981,0.3199999928474426,DZA
177,1982,0.3199999928474426,DZA
178,1983,0.3199999928474426,DZA
179,1984,0.3199999928474426,DZA
180,1985,0.3199999928474426,DZA
181,1986,0.3199999928474426,DZA
182,1987,0.3199999928474426,DZA
183,1988,0.3199999928474426,DZA
184,1989,0.3199999928474426,DZA
185,1990,0.3199999928474426,DZA
186,1991,0.3199999928474426,DZA
187,1992,0.3199999928474426,DZA
188,1993,0.3199999928474426,DZA
189,1994,0.3199999928474426,DZA
190,1995,0.3199999928474426,DZA
191,1996,0.3199999928474426,DZA
192,1997,0.3199999928474426,DZA
193,1998,0.3199999928474426,DZA
194,1999,0.3199999928474426,DZA
195,2000,0.3199999928474426,DZA
196,2001,0.3199999928474426,DZA
197,2002,0.3199999928474426,DZA
198,2003,0.3199999928474426,DZA
199,2004,0.3199999928474426,DZA
200,2005,0.3199999928474426,DZA
201,2006,0.3199999928474426,DZA
202,2007,0.3199999928474426,DZA
203,2008,0.3199999928474426,DZA
204,2009,0.3199999928474426,DZA
205,2010,0.3199999928474426,DZA
206,2011,0.3199999928474426,DZA
207,2012,0.3199999928474426,DZA
