,year,v2x_regime,v2x_polyarchy,v2x_liberal,country
524,1952,3.0,0.77,0.959,SWE
525,1953,3.0,0.773,0.959,SWE
526,1954,3.0,0.773,0.959,SWE
527,1955,3.0,0.773,0.959,SWE
528,1956,3.0,0.772,0.959,SWE
529,1957,3.0,0.772,0.959,SWE
530,1958,3.0,0.772,0.959,SWE
531,1959,3.0,0.772,0.959,SWE
532,1960,3.0,0.776,0.962,SWE
533,1961,3.0,0.775,0.963,SWE
534,1962,3.0,0.775,0.964,SWE
535,1963,3.0,0.775,0.964,SWE
536,1964,3.0,0.776,0.964,SWE
537,1965,3.0,0.778,0.964,SWE
538,1966,3.0,0.776,0.964,SWE
539,1967,3.0,0.776,0.964,SWE
540,1968,3.0,0.776,0.964,SWE
541,1969,3.0,0.776,0.964,SWE
542,1970,3.0,0.776,0.965,SWE
543,1971,3.0,0.895,0.966,SWE
544,1972,3.0,0.895,0.971,SWE
545,1973,3.0,0.896,0.973,SWE
546,1974,3.0,0.901,0.973,SWE
547,1975,3.0,0.906,0.973,SWE
548,1976,3.0,0.908,0.973,SWE
549,1977,3.0,0.909,0.973,SWE
550,1978,3.0,0.909,0.973,SWE
551,1979,3.0,0.909,0.973,SWE
552,1980,3.0,0.911,0.973,SWE
553,1981,3.0,0.911,0.973,SWE
554,1982,3.0,0.91,0.974,SWE
555,1983,3.0,0.908,0.974,SWE
556,1984,3.0,0.908,0.974,SWE
557,1985,3.0,0.909,0.974,SWE
558,1986,3.0,0.907,0.974,SWE
559,1987,3.0,0.907,0.974,SWE
560,1988,3.0,0.908,0.974,SWE
561,1989,3.0,0.91,0.974,SWE
562,1990,3.0,0.912,0.974,SWE
563,1991,3.0,0.912,0.974,SWE
564,1992,3.0,0.912,0.974,SWE
565,1993,3.0,0.912,0.974,SWE
566,1994,3.0,0.912,0.974,SWE
567,1995,3.0,0.912,0.974,SWE
568,1996,3.0,0.912,0.974,SWE
569,1997,3.0,0.912,0.974,SWE
570,1998,3.0,0.912,0.974,SWE
571,1999,3.0,0.911,0.974,SWE
572,2000,3.0,0.911,0.974,SWE
573,2001,3.0,0.911,0.974,SWE
574,2002,3.0,0.91,0.974,SWE
575,2003,3.0,0.909,0.974,SWE
576,2004,3.0,0.909,0.974,SWE
577,2005,3.0,0.909,0.974,SWE
578,2006,3.0,0.911,0.974,SWE
579,2007,3.0,0.915,0.974,SWE
580,2008,3.0,0.915,0.974,SWE
581,2009,3.0,0.915,0.974,SWE
582,2010,3.0,0.915,0.976,SWE
583,2011,3.0,0.917,0.976,SWE
584,2012,3.0,0.918,0.978,SWE
585,2013,3.0,0.918,0.977,SWE
586,2014,3.0,0.916,0.977,SWE
587,2015,3.0,0.916,0.975,SWE
588,2016,3.0,0.917,0.975,SWE
589,2017,3.0,0.917,0.974,SWE
590,2018,3.0,0.91,0.978,SWE
591,2019,3.0,0.902,0.979,SWE
592,2020,3.0,0.902,0.979,SWE
593,2021,3.0,0.903,0.976,SWE
594,2022,3.0,0.896,0.98,SWE
595,2023,3.0,0.881,0.978,SWE
749,1950,3.0,0.619,0.929,CHE
750,1951,3.0,0.619,0.929,CHE
751,1952,3.0,0.619,0.929,CHE
752,1953,3.0,0.619,0.929,CHE
753,1954,3.0,0.619,0.929,CHE
754,1955,3.0,0.619,0.929,CHE
755,1956,3.0,0.617,0.929,CHE
756,1957,3.0,0.617,0.929,CHE
757,1958,3.0,0.617,0.929,CHE
758,1959,3.0,0.618,0.929,CHE
759,1960,3.0,0.622,0.93,CHE
760,1961,3.0,0.622,0.93,CHE
761,1962,3.0,0.622,0.93,CHE
762,1963,3.0,0.623,0.93,CHE
763,1964,3.0,0.624,0.934,CHE
764,1965,3.0,0.624,0.934,CHE
765,1966,3.0,0.624,0.934,CHE
766,1967,3.0,0.626,0.934,CHE
767,1968,3.0,0.625,0.934,CHE
768,1969,3.0,0.625,0.934,CHE
769,1970,3.0,0.627,0.935,CHE
770,1971,3.0,0.63,0.935,CHE
771,1972,3.0,0.856,0.935,CHE
772,1973,3.0,0.856,0.935,CHE
773,1974,3.0,0.856,0.944,CHE
774,1975,3.0,0.861,0.944,CHE
775,1976,3.0,0.862,0.944,CHE
776,1977,3.0,0.868,0.944,CHE
777,1978,3.0,0.868,0.944,CHE
778,1979,3.0,0.867,0.944,CHE
779,1980,3.0,0.871,0.942,CHE
780,1981,3.0,0.871,0.947,CHE
781,1982,3.0,0.871,0.947,CHE
782,1983,3.0,0.871,0.947,CHE
783,1984,3.0,0.871,0.947,CHE
784,1985,3.0,0.871,0.947,CHE
785,1986,3.0,0.871,0.947,CHE
786,1987,3.0,0.871,0.947,CHE
787,1988,3.0,0.871,0.947,CHE
788,1989,3.0,0.876,0.947,CHE
789,1990,3.0,0.886,0.947,CHE
790,1991,3.0,0.886,0.949,CHE
791,1992,3.0,0.883,0.949,CHE
792,1993,3.0,0.883,0.954,CHE
793,1994,3.0,0.883,0.954,CHE
794,1995,3.0,0.884,0.954,CHE
795,1996,3.0,0.889,0.954,CHE
796,1997,3.0,0.889,0.954,CHE
797,1998,3.0,0.889,0.954,CHE
798,1999,3.0,0.889,0.954,CHE
799,2000,3.0,0.889,0.955,CHE
800,2001,3.0,0.889,0.955,CHE
801,2002,3.0,0.889,0.956,CHE
802,2003,3.0,0.889,0.963,CHE
803,2004,3.0,0.888,0.963,CHE
804,2005,3.0,0.888,0.963,CHE
805,2006,3.0,0.888,0.963,CHE
806,2007,3.0,0.89,0.963,CHE
807,2008,3.0,0.897,0.963,CHE
808,2009,3.0,0.897,0.962,CHE
809,2010,3.0,0.897,0.961,CHE
810,2011,3.0,0.898,0.961,CHE
811,2012,3.0,0.905,0.961,CHE
812,2013,3.0,0.905,0.962,CHE
813,2014,3.0,0.905,0.962,CHE
814,2015,3.0,0.904,0.963,CHE
815,2016,3.0,0.903,0.963,CHE
816,2017,3.0,0.907,0.966,CHE
817,2018,3.0,0.907,0.967,CHE
818,2019,3.0,0.906,0.967,CHE
819,2020,3.0,0.902,0.96,CHE
820,2021,3.0,0.896,0.962,CHE
821,2022,3.0,0.896,0.962,CHE
822,2023,3.0,0.887,0.962,CHE
872,1950,0.0,0.107,0.405,GHA
873,1951,0.0,0.282,0.533,GHA
874,1952,0.0,0.291,0.534,GHA
875,1953,0.0,0.292,0.534,GHA
876,1954,0.0,0.293,0.559,GHA
877,1955,0.0,0.29,0.56,GHA
878,1956,0.0,0.29,0.556,GHA
879,1957,1.0,0.436,0.626,GHA
880,1958,1.0,0.4,0.639,GHA
881,1959,1.0,0.392,0.647,GHA
882,1960,1.0,0.351,0.635,GHA
883,1961,1.0,0.311,0.625,GHA
884,1962,1.0,0.296,0.588,GHA
885,1963,1.0,0.294,0.587,GHA
886,1964,1.0,0.287,0.573,GHA
887,1965,1.0,0.259,0.571,GHA
888,1966,1.0,0.149,0.347,GHA
889,1967,0.0,0.142,0.32,GHA
890,1968,0.0,0.143,0.32,GHA
891,1969,1.0,0.248,0.516,GHA
892,1970,1.0,0.387,0.753,GHA
893,1971,1.0,0.439,0.752,GHA
894,1972,0.0,0.148,0.356,GHA
895,1973,0.0,0.112,0.312,GHA
896,1974,0.0,0.114,0.312,GHA
897,1975,0.0,0.113,0.312,GHA
898,1976,0.0,0.113,0.312,GHA
899,1977,0.0,0.113,0.312,GHA
900,1978,0.0,0.116,0.312,GHA
901,1979,1.0,0.307,0.538,GHA
902,1980,2.0,0.542,0.722,GHA
903,1981,0.0,0.255,0.636,GHA
904,1982,0.0,0.11,0.258,GHA
905,1983,0.0,0.102,0.27,GHA
906,1984,0.0,0.1,0.27,GHA
907,1985,0.0,0.101,0.274,GHA
908,1986,0.0,0.101,0.275,GHA
909,1987,0.0,0.101,0.285,GHA
910,1988,0.0,0.101,0.309,GHA
911,1989,0.0,0.101,0.309,GHA
912,1990,0.0,0.105,0.337,GHA
913,1991,0.0,0.107,0.34,GHA
914,1992,1.0,0.174,0.35,GHA
915,1993,1.0,0.441,0.673,GHA
916,1994,1.0,0.477,0.774,GHA
917,1995,1.0,0.493,0.774,GHA
918,1996,2.0,0.519,0.805,GHA
919,1997,2.0,0.602,0.844,GHA
920,1998,2.0,0.602,0.844,GHA
921,1999,2.0,0.607,0.844,GHA
922,2000,2.0,0.671,0.87,GHA
923,2001,2.0,0.726,0.873,GHA
924,2002,2.0,0.733,0.873,GHA
925,2003,3.0,0.733,0.877,GHA
926,2004,3.0,0.744,0.877,GHA
927,2005,3.0,0.736,0.877,GHA
928,2006,3.0,0.736,0.877,GHA
929,2007,3.0,0.738,0.874,GHA
930,2008,3.0,0.737,0.874,GHA
931,2009,3.0,0.759,0.874,GHA
932,2010,3.0,0.766,0.883,GHA
933,2011,3.0,0.766,0.883,GHA
934,2012,3.0,0.776,0.866,GHA
935,2013,3.0,0.756,0.851,GHA
936,2014,3.0,0.747,0.852,GHA
937,2015,2.0,0.74,0.859,GHA
938,2016,2.0,0.731,0.845,GHA
939,2017,2.0,0.743,0.857,GHA
940,2018,2.0,0.742,0.854,GHA
941,2019,2.0,0.722,0.851,GHA
942,2020,2.0,0.719,0.843,GHA
943,2021,2.0,0.665,0.844,GHA
944,2022,2.0,0.662,0.847,GHA
945,2023,2.0,0.664,0.848,GHA
997,1950,1.0,0.2,0.286,ZAF
998,1951,1.0,0.2,0.286,ZAF
999,1952,1.0,0.2,0.286,ZAF
1000,1953,1.0,0.195,0.286,ZAF
1001,1954,1.0,0.193,0.286,ZAF
1002,1955,1.0,0.193,0.286,ZAF
1003,1956,1.0,0.193,0.286,ZAF
1004,1957,1.0,0.193,0.286,ZAF
1005,1958,1.0,0.194,0.286,ZAF
1006,1959,1.0,0.194,0.286,ZAF
1007,1960,1.0,0.189,0.283,ZAF
1008,1961,1.0,0.159,0.283,ZAF
1009,1962,1.0,0.168,0.283,ZAF
1010,1963,1.0,0.168,0.283,ZAF
1011,1964,1.0,0.164,0.283,ZAF
1012,1965,1.0,0.164,0.283,ZAF
1013,1966,1.0,0.164,0.283,ZAF
1014,1967,1.0,0.164,0.283,ZAF
1015,1968,1.0,0.164,0.283,ZAF
1016,1969,1.0,0.164,0.283,ZAF
1017,1970,1.0,0.164,0.285,ZAF
1018,1971,1.0,0.165,0.283,ZAF
1019,1972,1.0,0.165,0.284,ZAF
1020,1973,1.0,0.165,0.284,ZAF
1021,1974,1.0,0.165,0.284,ZAF
1022,1975,1.0,0.165,0.284,ZAF
1023,1976,1.0,0.165,0.283,ZAF
1024,1977,1.0,0.162,0.283,ZAF
1025,1978,1.0,0.163,0.283,ZAF
1026,1979,1.0,0.163,0.283,ZAF
1027,1980,1.0,0.162,0.283,ZAF
1028,1981,1.0,0.178,0.283,ZAF
1029,1982,1.0,0.178,0.283,ZAF
1030,1983,1.0,0.178,0.283,ZAF
1031,1984,0.0,0.179,0.361,ZAF
1032,1985,0.0,0.18,0.364,ZAF
1033,1986,0.0,0.18,0.364,ZAF
1034,1987,0.0,0.178,0.364,ZAF
1035,1988,0.0,0.178,0.364,ZAF
1036,1989,0.0,0.186,0.366,ZAF
1037,1990,0.0,0.223,0.393,ZAF
1038,1991,0.0,0.253,0.395,ZAF
1039,1992,0.0,0.253,0.394,ZAF
1040,1993,0.0,0.264,0.417,ZAF
1041,1994,1.0,0.391,0.655,ZAF
1042,1995,2.0,0.654,0.782,ZAF
1043,1996,3.0,0.659,0.837,ZAF
1044,1997,3.0,0.659,0.837,ZAF
1045,1998,3.0,0.664,0.837,ZAF
1046,1999,3.0,0.705,0.837,ZAF
1047,2000,3.0,0.743,0.84,ZAF
1048,2001,3.0,0.743,0.84,ZAF
1049,2002,3.0,0.743,0.84,ZAF
1050,2003,3.0,0.743,0.839,ZAF
1051,2004,3.0,0.759,0.839,ZAF
1052,2005,3.0,0.77,0.839,ZAF
1053,2006,3.0,0.768,0.839,ZAF
1054,2007,3.0,0.768,0.843,ZAF
1055,2008,3.0,0.766,0.843,ZAF
1056,2009,3.0,0.767,0.846,ZAF
1057,2010,3.0,0.77,0.858,ZAF
1058,2011,3.0,0.77,0.856,ZAF
1059,2012,3.0,0.772,0.855,ZAF
1060,2013,2.0,0.76,0.849,ZAF
1061,2014,2.0,0.752,0.848,ZAF
1062,2015,2.0,0.755,0.86,ZAF
1063,2016,2.0,0.752,0.863,ZAF
1064,2017,2.0,0.743,0.847,ZAF
1065,2018,2.0,0.747,0.854,ZAF
1066,2019,2.0,0.721,0.859,ZAF
1067,2020,2.0,0.723,0.836,ZAF
1068,2021,2.0,0.725,0.837,ZAF
1069,2022,2.0,0.713,0.848,ZAF
1070,2023,2.0,0.705,0.856,ZAF
1233,1950,0.0,0.376,0.886,JPN
1234,1951,0.0,0.376,0.886,JPN
1235,1952,3.0,0.617,0.886,JPN
1236,1953,3.0,0.785,0.912,JPN
1237,1954,3.0,0.785,0.912,JPN
1238,1955,3.0,0.819,0.912,JPN
1239,1956,3.0,0.828,0.912,JPN
1240,1957,3.0,0.828,0.912,JPN
1241,1958,3.0,0.835,0.912,JPN
1242,1959,3.0,0.839,0.912,JPN
1243,1960,3.0,0.839,0.912,JPN
1244,1961,3.0,0.837,0.912,JPN
1245,1962,3.0,0.837,0.912,JPN
1246,1963,3.0,0.837,0.912,JPN
1247,1964,3.0,0.842,0.913,JPN
1248,1965,3.0,0.842,0.914,JPN
1249,1966,3.0,0.842,0.914,JPN
1250,1967,3.0,0.839,0.914,JPN
1251,1968,3.0,0.839,0.914,JPN
1252,1969,3.0,0.839,0.914,JPN
1253,1970,3.0,0.838,0.906,JPN
1254,1971,3.0,0.841,0.906,JPN
1255,1972,3.0,0.841,0.909,JPN
1256,1973,3.0,0.842,0.909,JPN
1257,1974,3.0,0.842,0.909,JPN
1258,1975,3.0,0.842,0.909,JPN
1259,1976,3.0,0.842,0.909,JPN
1260,1977,3.0,0.841,0.909,JPN
1261,1978,3.0,0.841,0.909,JPN
1262,1979,3.0,0.84,0.909,JPN
1263,1980,3.0,0.842,0.909,JPN
1264,1981,3.0,0.842,0.909,JPN
1265,1982,3.0,0.842,0.909,JPN
1266,1983,3.0,0.843,0.909,JPN
1267,1984,3.0,0.843,0.909,JPN
1268,1985,3.0,0.845,0.909,JPN
1269,1986,3.0,0.844,0.909,JPN
1270,1987,3.0,0.842,0.909,JPN
1271,1988,3.0,0.842,0.909,JPN
1272,1989,3.0,0.842,0.909,JPN
1273,1990,3.0,0.845,0.909,JPN
1274,1991,3.0,0.844,0.909,JPN
1275,1992,3.0,0.844,0.909,JPN
1276,1993,3.0,0.845,0.909,JPN
1277,1994,3.0,0.845,0.916,JPN
1278,1995,3.0,0.845,0.916,JPN
1279,1996,3.0,0.845,0.916,JPN
1280,1997,3.0,0.844,0.916,JPN
1281,1998,3.0,0.844,0.916,JPN
1282,1999,3.0,0.844,0.916,JPN
1283,2000,3.0,0.845,0.92,JPN
1284,2001,3.0,0.845,0.92,JPN
1285,2002,3.0,0.845,0.92,JPN
1286,2003,3.0,0.845,0.92,JPN
1287,2004,3.0,0.845,0.92,JPN
1288,2005,3.0,0.847,0.92,JPN
1289,2006,3.0,0.852,0.92,JPN
1290,2007,3.0,0.852,0.92,JPN
1291,2008,3.0,0.857,0.92,JPN
1292,2009,3.0,0.859,0.92,JPN
1293,2010,3.0,0.857,0.92,JPN
1294,2011,3.0,0.857,0.92,JPN
1295,2012,3.0,0.85,0.92,JPN
1296,2013,3.0,0.823,0.919,JPN
1297,2014,3.0,0.823,0.917,JPN
1298,2015,3.0,0.825,0.917,JPN
1299,2016,3.0,0.825,0.917,JPN
1300,2017,3.0,0.823,0.916,JPN
1301,2018,3.0,0.84,0.916,JPN
1302,2019,3.0,0.838,0.916,JPN
1303,2020,3.0,0.836,0.896,JPN
1304,2021,3.0,0.827,0.898,JPN
1305,2022,3.0,0.823,0.901,JPN
1306,2023,3.0,0.828,0.904,JPN
1469,1950,0.0,0.223,0.411,MMR
1470,1951,1.0,0.256,0.411,MMR
1471,1952,1.0,0.392,0.551,MMR
1472,1953,1.0,0.429,0.574,MMR
1473,1954,1.0,0.429,0.574,MMR
1474,1955,1.0,0.429,0.574,MMR
1475,1956,1.0,0.423,0.574,MMR
1476,1957,1.0,0.42,0.574,MMR
1477,1958,1.0,0.402,0.573,MMR
1478,1959,1.0,0.402,0.572,MMR
1479,1960,1.0,0.416,0.569,MMR
1480,1961,1.0,0.422,0.564,MMR
1481,1962,0.0,0.129,0.159,MMR
1482,1963,0.0,0.077,0.051,MMR
1483,1964,0.0,0.069,0.046,MMR
1484,1965,0.0,0.069,0.045,MMR
1485,1966,0.0,0.069,0.039,MMR
1486,1967,0.0,0.069,0.039,MMR
1487,1968,0.0,0.069,0.039,MMR
1488,1969,0.0,0.069,0.039,MMR
1489,1970,0.0,0.069,0.039,MMR
1490,1971,0.0,0.069,0.039,MMR
1491,1972,0.0,0.069,0.039,MMR
1492,1973,0.0,0.069,0.039,MMR
1493,1974,0.0,0.073,0.046,MMR
1494,1975,0.0,0.073,0.059,MMR
1495,1976,0.0,0.135,0.059,MMR
1496,1977,0.0,0.135,0.059,MMR
1497,1978,0.0,0.135,0.059,MMR
1498,1979,0.0,0.135,0.059,MMR
1499,1980,0.0,0.137,0.057,MMR
1500,1981,0.0,0.137,0.057,MMR
1501,1982,0.0,0.137,0.057,MMR
1502,1983,0.0,0.137,0.057,MMR
1503,1984,0.0,0.137,0.057,MMR
1504,1985,0.0,0.137,0.057,MMR
1505,1986,0.0,0.137,0.057,MMR
1506,1987,0.0,0.137,0.056,MMR
1507,1988,0.0,0.124,0.04,MMR
1508,1989,0.0,0.089,0.041,MMR
1509,1990,0.0,0.115,0.042,MMR
1510,1991,0.0,0.094,0.042,MMR
1511,1992,0.0,0.094,0.042,MMR
1512,1993,0.0,0.094,0.042,MMR
1513,1994,0.0,0.094,0.042,MMR
1514,1995,0.0,0.094,0.042,MMR
1515,1996,0.0,0.094,0.042,MMR
1516,1997,0.0,0.094,0.042,MMR
1517,1998,0.0,0.094,0.042,MMR
1518,1999,0.0,0.094,0.042,MMR
1519,2000,0.0,0.094,0.042,MMR
1520,2001,0.0,0.094,0.042,MMR
1521,2002,0.0,0.094,0.042,MMR
1522,2003,0.0,0.094,0.042,MMR
1523,2004,0.0,0.094,0.042,MMR
1524,2005,0.0,0.094,0.042,MMR
1525,2006,0.0,0.095,0.042,MMR
1526,2007,0.0,0.095,0.041,MMR
1527,2008,0.0,0.095,0.044,MMR
1528,2009,0.0,0.097,0.044,MMR
1529,2010,0.0,0.118,0.086,MMR
1530,2011,1.0,0.22,0.288,MMR
1531,2012,1.0,0.3,0.294,MMR
1532,2013,1.0,0.355,0.321,MMR
1533,2014,1.0,0.352,0.335,MMR
1534,2015,1.0,0.366,0.374,MMR
1535,2016,1.0,0.399,0.476,MMR
1536,2017,1.0,0.4,0.478,MMR
1537,2018,1.0,0.395,0.499,MMR
1538,2019,1.0,0.422,0.503,MMR
1539,2020,1.0,0.427,0.514,MMR
1540,2021,0.0,0.107,0.047,MMR
1541,2022,0.0,0.092,0.04,MMR
1542,2023,0.0,0.08,0.04,MMR
1705,1950,0.0,0.102,0.032,RUS
1706,1951,0.0,0.103,0.032,RUS
1707,1952,0.0,0.103,0.032,RUS
1708,1953,0.0,0.103,0.033,RUS
1709,1954,0.0,0.105,0.054,RUS
1710,1955,0.0,0.105,0.054,RUS
1711,1956,0.0,0.105,0.059,RUS
1712,1957,0.0,0.105,0.061,RUS
1713,1958,0.0,0.106,0.062,RUS
1714,1959,0.0,0.107,0.062,RUS
1715,1960,0.0,0.106,0.063,RUS
1716,1961,0.0,0.106,0.064,RUS
1717,1962,0.0,0.096,0.064,RUS
1718,1963,0.0,0.093,0.065,RUS
1719,1964,0.0,0.093,0.065,RUS
1720,1965,0.0,0.093,0.066,RUS
1721,1966,0.0,0.092,0.066,RUS
1722,1967,0.0,0.091,0.066,RUS
1723,1968,0.0,0.091,0.066,RUS
1724,1969,0.0,0.091,0.065,RUS
1725,1970,0.0,0.101,0.065,RUS
1726,1971,0.0,0.109,0.066,RUS
1727,1972,0.0,0.109,0.066,RUS
1728,1973,0.0,0.108,0.066,RUS
1729,1974,0.0,0.108,0.066,RUS
1730,1975,0.0,0.108,0.066,RUS
1731,1976,0.0,0.108,0.066,RUS
1732,1977,0.0,0.108,0.065,RUS
1733,1978,0.0,0.108,0.065,RUS
1734,1979,0.0,0.109,0.066,RUS
1735,1980,0.0,0.109,0.076,RUS
1736,1981,0.0,0.109,0.075,RUS
1737,1982,0.0,0.109,0.075,RUS
1738,1983,0.0,0.109,0.072,RUS
1739,1984,0.0,0.106,0.072,RUS
1740,1985,0.0,0.109,0.079,RUS
1741,1986,0.0,0.117,0.105,RUS
1742,1987,0.0,0.143,0.108,RUS
1743,1988,0.0,0.144,0.11,RUS
1744,1989,0.0,0.174,0.164,RUS
1745,1990,0.0,0.236,0.234,RUS
1746,1991,1.0,0.255,0.325,RUS
1747,1992,1.0,0.498,0.513,RUS
1748,1993,1.0,0.479,0.525,RUS
1749,1994,1.0,0.477,0.53,RUS
1750,1995,1.0,0.476,0.536,RUS
1751,1996,1.0,0.463,0.54,RUS
1752,1997,1.0,0.458,0.529,RUS
1753,1998,1.0,0.458,0.525,RUS
1754,1999,1.0,0.462,0.525,RUS
1755,2000,1.0,0.407,0.432,RUS
1756,2001,1.0,0.38,0.409,RUS
1757,2002,1.0,0.351,0.366,RUS
