line_Treat 0,line_Treat 1,bin_Treat 0,bin_Treat 1
1.4052277487491593,0.005338950656614115,0.0016,0.07939761904761908
1.667156131091039,0.013027402804679938,0.0347485119047619,0.13693526785714288
1.9071847319202389,0.02953355461072608,0.06789702380952381,0.1944729166666667
2.103759931931719,0.06220560887781205,0.10104553571428572,0.2520105654761905
2.2376209933322353,0.12173047439871985,0.1341940476190476,0.30954821428571433
2.294900217733979,0.22132222545322713,0.1673425595238095,0.36708586309523816
2.269488659822509,0.3738580077623325,0.20049107142857142,0.4246235119047619
2.1641091310444907,0.5867381011829288,0.23363958333333332,0.4821611607142857
1.9898357466057237,0.8555351148860861,0.2667880952380952,0.5396988095238096
1.7641773023508915,1.159010399971447,0.29993660714285714,0.5972364583333334
1.5081834213123684,1.4587899786536371,0.333085119047619,0.6547741071428572
1.2432344199238827,1.7059022982678147,0.36623363095238093,0.7123117559523809
0.9881862779196525,1.8534099160590152,0.39938214285714285,0.7698494047619048
0.7573760072083313,1.8708749283369683,0.4325306547619047,0.8273870535714286
0.559720479875593,1.7545832241038104,0.46567916666666664,0.8849247023809523
0.39885751868781744,1.52882978504388,0.4988276785714285,0.9424623511904762
0.2740635627456668,1.2376568290755352,0.5319761904761905,1.0
0.1815815611828131,NaN,0.5651247023809524,NaN
0.11600564493976055,NaN,0.5982732142857143,NaN
0.07146171436567623,NaN,0.6314217261904762,NaN
0.04244774944313056,NaN,0.6645702380952381,NaN
0.024312120419303047,NaN,0.69771875,NaN
0.013426967503068828,NaN,0.7308672619047619,NaN
0.007150229278474249,NaN,0.7640157738095238,NaN
0.0036715456210457604,NaN,0.7971642857142858,NaN
0.00181787836241696,NaN,0.8303127976190476,NaN
0.0008678959115415229,NaN,0.8634613095238095,NaN
0.0003995373596276038,NaN,0.8966098214285714,NaN
0.00017735117843073472,NaN,0.9297583333333334,NaN
